loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig16127	nan	nan	nan	nan	nan	nan
Contig29702	nan	nan	nan	nan	nan	nan
Contig26825	108	0.333333333333	50	0.2	58	0.448275862069
Contig6561	nan	nan	nan	nan	nan	nan
Contig18450	nan	nan	nan	nan	nan	nan
Contig35743	620	0.377419354839	nan	nan	620	0.377419354839
Contig15297	nan	nan	nan	nan	nan	nan
Contig15291	nan	nan	nan	nan	nan	nan
Contig15293	nan	nan	nan	nan	nan	nan
Contig408	nan	nan	nan	nan	nan	nan
Contig400	nan	nan	nan	nan	nan	nan
Contig31111	404	0.336633663366	404	0.336633663366	nan	nan
Contig31116	nan	nan	nan	nan	nan	nan
Contig23838	128	0.28125	128	0.28125	nan	nan
Contig35355	198	0.313131313131	198	0.313131313131	nan	nan
Contig17292	nan	nan	nan	nan	nan	nan
Contig23833	nan	nan	nan	nan	nan	nan
Contig35350	nan	nan	nan	nan	nan	nan
Contig3157	210	0.32380952381	94	0.297872340426	116	0.344827586207
Contig6392	nan	nan	nan	nan	nan	nan
Contig12117	nan	nan	nan	nan	nan	nan
Contig17474	nan	nan	nan	nan	nan	nan
Contig7473	nan	nan	nan	nan	nan	nan
Contig21882	nan	nan	nan	nan	nan	nan
Contig12118	2152	0.309944237918	1152	0.284722222222	1000	0.339
Contig21884	nan	nan	nan	nan	nan	nan
Contig2729	nan	nan	nan	nan	nan	nan
Contig2728	336	0.357142857143	336	0.357142857143	nan	nan
Contig2899	250	0.376	nan	nan	250	0.376
Contig2896	466	0.315450643777	312	0.288461538462	154	0.37012987013
Contig2895	108	0.481481481481	108	0.481481481481	nan	nan
Contig2893	296	0.361486486486	296	0.361486486486	nan	nan
Contig2892	nan	nan	nan	nan	nan	nan
Contig2891	nan	nan	nan	nan	nan	nan
Contig2722	nan	nan	nan	nan	nan	nan
Contig35741	nan	nan	nan	nan	nan	nan
Contig9714	nan	nan	nan	nan	nan	nan
Contig7556	nan	nan	nan	nan	nan	nan
Contig3418	nan	nan	nan	nan	nan	nan
Contig3419	656	0.379573170732	656	0.379573170732	nan	nan
Contig9847	nan	nan	nan	nan	nan	nan
Contig9846	nan	nan	nan	nan	nan	nan
Contig3410	316	0.246835443038	222	0.198198198198	94	0.36170212766
Contig3412	nan	nan	nan	nan	nan	nan
Contig2097	890	0.287640449438	nan	nan	884	0.287330316742
Contig2094	398	0.341708542714	398	0.341708542714	nan	nan
Contig2091	614	0.348534201954	614	0.348534201954	nan	nan
Contig22618	nan	nan	nan	nan	nan	nan
Contig22619	1078	0.385899814471	900	0.382222222222	178	0.404494382022
Contig2099	nan	nan	nan	nan	nan	nan
Contig2098	nan	nan	nan	nan	nan	nan
Contig27067	418	0.521531100478	nan	nan	418	0.521531100478
Contig27064	440	0.377272727273	420	0.385714285714	nan	nan
Contig33166	746	0.348525469169	596	0.385906040268	150	0.2
Contig33167	nan	nan	nan	nan	nan	nan
Contig26629	nan	nan	nan	nan	nan	nan
Contig2688	526	0.262357414449	526	0.262357414449	nan	nan
Contig2689	nan	nan	nan	nan	nan	nan
Contig13572	176	0.363636363636	nan	nan	176	0.363636363636
Contig18211	nan	nan	nan	nan	nan	nan
Contig27398	nan	nan	nan	nan	nan	nan
Contig28568	nan	nan	nan	nan	nan	nan
Contig27394	784	0.323979591837	784	0.323979591837	nan	nan
Contig28565	188	0.36170212766	188	0.36170212766	nan	nan
Contig22281	nan	nan	nan	nan	nan	nan
Contig22287	588	0.326530612245	266	0.360902255639	322	0.298136645963
Contig986	194	0.324742268041	194	0.324742268041	nan	nan
Contig980	68	0.441176470588	68	0.441176470588	nan	nan
Contig981	nan	nan	nan	nan	nan	nan
