loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig10001	333	0.510510510511	222	0.459459459459	111	0.612612612613	129	51.05	57.66	34.23	61.26	38.69	42.72	18.76	21.27	0.37	nan	nan	nan	nan	nan	nan	60.8319322409347
Contig10004	836	0.464114832536	558	0.440860215054	278	0.510791366906	82	46.52	46.59	41.58	51.08	55.22	55.91	27.69	27.43	0.23	nan	nan	nan	nan	nan	nan	14.0224813881012
Contig10008	336	0.395833333333	224	0.441964285714	112	0.303571428571	94	39.58	58.04	30.36	30.36	40.77	44	19.97	21.61	0.36	6492	0.383240911892	6492	0.383240911892	nan	nan	25.9281158204003
Contig10009	201	0.587064676617	134	0.60447761194	67	0.55223880597	63	58.71	58.21	62.69	55.22	38.82	40.32	21.06	20.88	nan	nan	nan	nan	nan	nan	nan	20.1913469778075
Contig1001	807	0.43990086741	538	0.455390334572	269	0.408921933086	169	43.99	51.3	39.78	40.89	45.91	47.86	22.98	22.88	0.36	2618	0.3525592055	2618	0.3525592055	nan	nan	100.622208975007
Contig10011	1299	0.387220939184	866	0.429561200924	433	0.302540415704	65	38.72	44.57	41.34	30.25	43.59	53.38	22.89	27.02	0.2	38	0.263157894737	26	0.230769230769	nan	nan	-1.28285210521551
Contig10012	296	0.378378378378	198	0.414141414141	98	0.30612244898	131	38.1	46.46	36.36	30.61	38.27	42.63	17.35	20.16	nan	nan	nan	nan	nan	nan	nan	67.8037474370124
Contig10016	597	0.500837520938	398	0.5	199	0.502512562814	45	50.08	59.8	40.2	50.25	46.75	50.51	21.08	24.75	0.25	232	0.508620689655	24	0.333333333333	208	0.528846153846	-14.4167032905102
Contig10018	684	0.466374269006	456	0.447368421053	228	0.504385964912	169	46.64	49.56	39.91	50.44	48.81	50.52	24.63	24.51	0.29	3790	0.425857519789	2954	0.441435341909	836	0.370813397129	100.666932570321
Contig10024	1236	0.476537216828	824	0.486650485437	412	0.456310679612	72	47.65	56.55	40.78	45.63	53.31	54.06	28.1	28.84	0.17	622	0.282958199357	622	0.282958199357	nan	nan	9.26304993212671
Contig10025	1239	0.369652945924	826	0.39588377724	413	0.317191283293	43	36.97	47.46	31.72	31.72	45.04	51.9	24.64	26.52	0.23	564	0.31914893617	564	0.31914893617	nan	nan	-15.8756884291968
Contig1003	531	0.406779661017	354	0.40395480226	177	0.412429378531	162	40.68	44.07	36.72	41.24	46.54	49.46	25.04	24.58	0.24	22082	0.349017299158	22082	0.349017299158	nan	nan	101.130496010663
