loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig1	500	0.47	334	0.547904191617	166	0.313253012048	29	47.19	54.49	55.09	31.33	42.48	42.99	19.54	23.51	0.36	nan	nan	nan	nan	nan	nan	-44.5110526339975
Contig100005	645	0.457364341085	430	0.413953488372	215	0.544186046512	90	45.74	43.26	39.53	54.42	46.83	47.66	20.82	21.43	0.35	1868	0.341541755889	1868	0.341541755889	nan	nan	20.7366295709266
Contig100012	1050	0.531428571429	700	0.512857142857	350	0.568571428571	27	53.14	60.86	41.71	56.86	51.31	53.80	26.57	27.42	0.24	188	0.31914893617	nan	nan	188	0.31914893617	-44.7187319469936
Contig100016	1080	0.422222222222	720	0.406944444444	360	0.452777777778	20	42.22	41.94	39.44	45.28	49.36	50.52	25.04	25.14	0.31	316	0.272151898734	316	0.272151898734	nan	nan	-50.0532009427221
Contig100035	870	0.468965517241	580	0.431034482759	290	0.544827586207	49	46.9	52.76	33.45	54.48	51.11	51.95	24.81	26.07	0.24	2496	0.352564102564	2496	0.352564102564	nan	nan	-19.2119676301286
Contig100044	918	0.494553376906	612	0.496732026144	306	0.490196078431	25	49.46	52.29	47.06	49.02	49.39	49.97	25.18	25.08	0.27	nan	nan	nan	nan	nan	nan	-45.6491627050377
Contig100076	747	0.456492637216	498	0.463855421687	249	0.441767068273	30	45.65	39.76	53.01	44.18	51.23	48.42	26.62	22.96	0.27	2712	0.322640117994	2712	0.322640117994	nan	nan	-37.7002331051642
Contig100078	249	0.502008032129	166	0.487951807229	83	0.530120481928	22	50.2	46.99	50.6	53.01	45.39	46.31	20.95	21.94	nan	404	0.356435643564	404	0.356435643564	nan	nan	-47.6344164772108
Contig10008	344	0.438953488372	230	0.4	114	0.517543859649	126	44.15	50.43	29.57	51.75	46.07	46.36	22.63	22.89	0.31	nan	nan	nan	nan	nan	nan	54.9714299883933
Contig100085	341	0.510263929619	228	0.473684210526	113	0.58407079646	109	51.33	55.26	39.47	58.41	43.31	44.87	22.17	23.05	0.35	202	0.267326732673	nan	nan	200	0.27	41.0518880118004
