loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig28627	1162	0.536144578313	775	0.543225806452	387	0.521963824289	10	53.66	61.08	47.55	52.20	50.45	53.63	26.32	26.63	0.22
Contig16129	714	0.439775910364	476	0.428571428571	238	0.46218487395	9	43.98	52.10	33.61	46.22	49.18	50.02	24.64	25.26	0.30
Contig29704	660	0.490909090909	440	0.479545454545	220	0.513636363636	19	49.09	55.00	40.91	51.36	47.77	47.74	26.10	26.58	0.24
Contig45937	499	0.498997995992	333	0.501501501502	166	0.493975903614	6	50.00	55.69	44.58	49.40	47.32	47.82	24.92	24.97	0.27
Contig16121	990	0.60101010101	660	0.516666666667	330	0.769696969697	21	60.10	62.73	40.61	76.97	41.80	51.99	22.01	27.12	0.22
Contig16120	208	0.557692307692	139	0.489208633094	69	0.695652173913	4	56.04	61.43	36.23	69.57	33.97	36.81	14.09	14.49	nan
Contig17555	432	0.460648148148	288	0.503472222222	144	0.375	9	46.06	58.33	42.36	37.50	43.26	45.78	20.84	22.58	0.31
Contig26822	669	0.488789237668	446	0.432735426009	223	0.600896860987	15	48.88	54.26	32.29	60.09	44.17	45.86	21.08	21.76	0.34
Contig18369	1209	0.495450785773	806	0.476426799007	403	0.533498759305	28	49.55	51.86	43.42	53.35	55.14	55.94	28.74	28.90	0.17
Contig26829	229	0.545851528384	153	0.496732026144	76	0.644736842105	4	54.82	48.05	51.32	64.47	40.29	43.11	19.94	18.32	nan
Contig36807	276	0.583333333333	184	0.592391304348	92	0.565217391304	9	58.33	60.87	57.61	56.52	35.75	37.82	16.64	16.23	nan
Contig38970	409	0.486552567237	273	0.52380952381	136	0.411764705882	7	48.77	59.85	44.85	41.18	40.30	42.73	20.61	20.95	0.41
Contig38971	217	0.516129032258	145	0.544827586207	72	0.458333333333	7	51.85	65.75	43.06	45.83	36.84	36.94	17.94	18.61	nan
Contig18459	495	0.458585858586	330	0.430303030303	165	0.515151515152	5	45.86	43.64	42.42	51.52	46.00	47.34	21.94	22.52	0.28
Contig45472	402	0.539800995025	268	0.462686567164	134	0.694029850746	9	53.98	56.72	35.82	69.40	38.00	42.16	14.96	17.20	0.50
Contig12804	681	0.566813509545	454	0.5	227	0.700440528634	23	56.68	56.39	43.61	70.04	41.80	47.36	20.48	22.81	0.37
Contig12806	253	0.418972332016	169	0.408284023669	84	0.440476190476	5	42.06	51.76	29.76	44.05	35.43	35.18	14.61	13.63	nan
Contig12800	459	0.522875816993	306	0.464052287582	153	0.640522875817	32	52.29	56.86	35.95	64.05	43.10	44.93	22.66	21.24	0.35
Contig35745	213	0.464788732394	142	0.457746478873	71	0.478873239437	4	46.48	59.15	32.39	47.89	34.11	36.62	15.24	15.32	nan
Contig35746	217	0.543778801843	145	0.510344827586	72	0.611111111111	6	54.63	49.32	52.78	61.11	43.25	44.06	22.42	22.70	nan
Contig18456	606	0.508250825083	404	0.418316831683	202	0.688118811881	16	50.83	50.99	32.67	68.81	43.43	47.81	22.23	24.57	0.22
Contig10668	210	0.414285714286	140	0.414285714286	70	0.414285714286	9	41.43	44.29	38.57	41.43	32.76	33.86	12.86	14.82	nan
Contig10669	861	0.562137049942	574	0.552264808362	287	0.581881533101	6	56.21	62.02	48.43	58.19	46.20	49.24	24.25	24.50	0.33
Contig15295	285	0.564912280702	190	0.594736842105	95	0.505263157895	7	56.49	56.84	62.11	50.53	43.35	43.63	22.24	22.78	nan
Contig21554	204	0.43137254902	136	0.397058823529	68	0.5	5	43.14	36.76	42.65	50.00	32.23	32.76	14.90	15.33	nan
Contig10662	339	0.578171091445	226	0.66814159292	113	0.398230088496	4	57.82	71.68	61.95	39.82	39.37	41.42	22.03	23.81	0.34
Contig10663	239	0.460251046025	160	0.4	79	0.582278481013	5	46.41	46.25	33.75	58.23	34.79	36.29	17.59	16.37	nan
Contig11138	267	0.501872659176	178	0.460674157303	89	0.584269662921	7	50.19	56.18	35.96	58.43	41.07	41.95	16.84	17.59	nan
