loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig100	232	0.448275862069	155	0.516129032258	77	0.311688311688	30	45.02	52.56	50.65	31.17	32.08	37.29	14.5	16.05	nan	nan	nan	nan	nan	nan	nan	1.2290977140802
Contig100003	213	0.408450704225	142	0.401408450704	71	0.422535211268	18	40.85	52.11	28.17	42.25	33.87	34.79	13.28	13.02	nan	nan	nan	nan	nan	nan	nan	-11.5570134955372
Contig100006	1305	0.491954022989	870	0.504597701149	435	0.466666666667	46	49.2	56.78	44.14	46.67	46	47.76	22.73	23.59	0.32	2564	0.363494539782	2564	0.363494539782	nan	nan	16.5134903492306
Contig100007	589	0.432937181664	393	0.442748091603	196	0.413265306122	20	43.37	54.31	34.18	41.33	43.25	45.31	19.41	20.57	0.45	nan	nan	nan	nan	nan	nan	-12.1906689298742
Contig100033	384	0.395833333333	256	0.390625	128	0.40625	23	39.58	35.94	42.19	40.62	41.49	45.66	19.76	20.92	0.25	1168	0.386130136986	1168	0.386130136986	nan	nan	-5.73051856804963
Contig100048	304	0.513157894737	203	0.512315270936	101	0.514851485149	14	51.49	64.71	37.62	51.49	41.85	42.54	20.6	20.53	0.39	nan	nan	nan	nan	nan	nan	-14.9798305594877
Contig100050	252	0.380952380952	168	0.363095238095	84	0.416666666667	35	38.1	40.48	32.14	41.67	40.3	41	16.85	17.35	nan	1438	0.293463143255	1300	0.293846153846	138	0.289855072464	8.22390298636504
Contig100062	207	0.405797101449	138	0.442028985507	69	0.333333333333	36	40.58	57.97	30.43	33.33	33.57	34.02	11.5	12.42	nan	1306	0.385911179173	1306	0.385911179173	nan	nan	3.82639608043197
Contig100073	205	0.487804878049	137	0.452554744526	68	0.558823529412	48	49.02	52.17	38.24	55.88	40.59	39.67	21.59	21.93	nan	nan	nan	nan	nan	nan	nan	15.7192773446868
Contig100081	214	0.429906542056	143	0.384615384615	71	0.521126760563	28	43.19	45.83	30.99	52.11	34.5	34.81	12.85	13.07	nan	nan	nan	nan	nan	nan	nan	-0.284898647110797
Contig100091	299	0.52508361204	200	0.5	99	0.575757575758	34	52.86	55	45	57.58	39.73	38.54	20.76	18.9	nan	nan	nan	nan	nan	nan	nan	4.18469966448134
Contig100092	1371	0.450765864333	914	0.44420131291	457	0.463894967177	33	45.08	49.02	39.82	46.39	46.64	47.01	21.02	21.56	0.34	328	0.286585365854	nan	nan	328	0.286585365854	0.779583239410805
Contig100101	208	0.4375	139	0.402877697842	69	0.507246376812	15	43.96	48.57	31.88	50.72	31.72	35.85	12.31	16.35	nan	92	0.369565217391	nan	nan	92	0.369565217391	-14.6725357123909
Contig100117	261	0.524904214559	174	0.505747126437	87	0.563218390805	13	52.49	54.02	47.13	56.32	39.29	38.64	17.61	16.48	nan	nan	nan	nan	nan	nan	nan	-16.4061989828655
Contig100132	1293	0.470997679814	862	0.480278422274	431	0.452436194896	46	47.1	57.08	38.98	45.24	47.97	49.71	21.84	22.84	0.33	7890	0.332319391635	7890	0.332319391635	nan	nan	14.7625989578105
Contig100133	681	0.477239353891	454	0.506607929515	227	0.418502202643	22	47.72	58.59	42.73	41.85	44.08	48.05	21.4	23.19	0.29	nan	nan	nan	nan	nan	nan	-7.34687970913587
Contig100145	213	0.50234741784	142	0.556338028169	71	0.394366197183	14	50.23	56.34	54.93	39.44	38.98	40.47	18.75	20.79	nan	nan	nan	nan	nan	nan	nan	-13.3808071154826
Contig100150	230	0.452173913043	154	0.435064935065	76	0.486842105263	16	45.61	51.95	35.06	48.68	40.43	39.19	18.29	17.54	nan	nan	nan	nan	nan	nan	nan	-15.9134693010703
Contig100152	794	0.486146095718	530	0.415094339623	264	0.628787878788	20	48.74	53.96	29.06	62.88	40.51	42.36	18.9	17.46	0.43	nan	nan	nan	nan	nan	nan	-10.6641994823719
Contig100172	222	0.342342342342	148	0.405405405405	74	0.216216216216	14	34.23	36.49	44.59	21.62	33.54	39.72	16.19	19.59	nan	nan	nan	nan	nan	nan	nan	-15.8756328764507
Contig100175	493	0.492900608519	329	0.531914893617	164	0.414634146341	20	49.39	59.39	46.95	41.46	44.1	44.33	22.42	22.97	0.31	nan	nan	nan	nan	nan	nan	-8.0978110578841
Contig10018	525	0.56	350	0.517142857143	175	0.645714285714	18	56	70.86	32.57	64.57	37.2	42.27	18.55	20.22	0.32	nan	nan	nan	nan	nan	nan	-10.7217503528338
Contig100181	567	0.435626102293	378	0.465608465608	189	0.375661375661	21	43.56	56.08	37.04	37.57	44.87	46.76	20.63	22.72	0.32	nan	nan	nan	nan	nan	nan	-11.040196946434
Contig100183	303	0.458745874587	202	0.475247524752	101	0.425742574257	53	45.87	62.38	32.67	42.57	39.92	46.99	17.75	19.17	0.41	nan	nan	nan	nan	nan	nan	21.4005950697357
Contig100197	458	0.465065502183	306	0.513071895425	152	0.368421052632	30	46.71	58.82	43.79	36.84	43.26	45.77	19.32	21.82	0.35	nan	nan	nan	nan	nan	nan	1.06436722100956
Contig100207	415	0.44578313253	277	0.483754512635	138	0.369565217391	25	44.69	49.64	47.1	36.96	43.32	45.6	19.25	18.14	0.4	nan	nan	nan	nan	nan	nan	-5.96171160378384
Contig100216	745	0.459060402685	497	0.442655935614	248	0.491935483871	35	45.97	55.42	33.06	49.19	45.81	47.57	21.93	22.35	0.34	nan	nan	nan	nan	nan	nan	2.81142457632198
Contig100230	900	0.442222222222	600	0.493333333333	300	0.34	29	44.22	50.67	48	34	46.93	51.47	21.49	24.27	0.27	nan	nan	nan	nan	nan	nan	-1.28651426735307
