loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig18369	1049	0.384175405148	700	0.427142857143	349	0.297994269341	24	38.49	48.57	36.86	29.80	45.75	52.53	20.73	25.50	0.24
Contig38974	404	0.428217821782	270	0.496296296296	134	0.291044776119	39	43.03	58.52	40.74	29.10	39.84	45.98	16.73	22.17	0.39
Contig38977	537	0.396648044693	358	0.472067039106	179	0.245810055866	16	39.66	56.98	37.43	24.58	35.46	44.58	17.22	22.22	0.36
Contig38971	750	0.428	500	0.458	250	0.368	101	42.80	58.00	33.60	36.80	47.02	49.67	23.00	23.56	0.34
Contig38972	237	0.459915611814	158	0.53164556962	79	0.316455696203	27	45.99	43.04	63.29	31.65	37.21	38.31	15.01	19.07	nan
Contig60549	666	0.376876876877	444	0.414414414414	222	0.301801801802	26	37.69	41.89	40.99	30.18	40.33	47.78	19.90	22.44	0.29
Contig60540	282	0.358156028369	188	0.356382978723	94	0.36170212766	43	35.82	41.49	29.79	36.17	37.55	41.19	16.89	19.79	nan
Contig18450	474	0.396624472574	316	0.408227848101	158	0.373417721519	75	39.66	53.16	28.48	37.34	44.86	46.62	20.90	21.81	0.38
Contig18457	312	0.400641025641	208	0.471153846154	104	0.259615384615	83	40.06	45.19	49.04	25.96	38.89	42.62	16.41	20.63	0.46
Contig15299	2787	0.399712952996	1858	0.429494079656	929	0.340150699677	74	39.97	46.18	39.72	34.02	49.58	55.33	24.64	27.95	0.21
Contig10669	468	0.429487179487	312	0.467948717949	156	0.352564102564	48	42.95	42.31	51.28	35.26	43.15	48.93	22.19	23.78	0.32
Contig15294	858	0.382284382284	572	0.426573426573	286	0.293706293706	29	38.23	49.30	36.01	29.37	40.25	49.04	20.11	25.49	0.21
Contig15291	642	0.434579439252	428	0.457943925234	214	0.38785046729	17	43.46	49.53	42.06	38.79	45.50	48.37	22.54	24.00	0.36
Contig10661	627	0.430622009569	418	0.437799043062	209	0.416267942584	78	43.06	55.02	32.54	41.63	41.87	43.16	21.67	21.27	0.40
Contig155141	1302	0.364823348694	868	0.402073732719	434	0.290322580645	16	36.48	49.54	30.88	29.03	41.84	50.18	20.70	23.88	0.24
Contig11139	311	0.430868167203	208	0.490384615385	103	0.31067961165	37	43.37	46.15	51.92	31.07	35.77	40.92	16.55	19.29	0.32
Contig112927	873	0.371134020619	582	0.386597938144	291	0.340206185567	35	37.11	43.30	34.02	34.02	48.21	53.05	23.43	25.59	0.24
Contig11134	480	0.43125	320	0.46875	160	0.35625	240	43.12	53.12	40.62	35.62	37.21	38.78	18.14	20.72	0.33
Contig112925	342	0.377192982456	228	0.429824561404	114	0.271929824561	59	37.72	51.75	34.21	27.19	42.68	48.61	19.26	22.72	0.32
Contig11131	846	0.388888888889	564	0.425531914894	282	0.315602836879	19	38.89	52.13	32.98	31.56	43.84	49.20	21.31	23.61	0.30
Contig11133	465	0.402150537634	310	0.422580645161	155	0.361290322581	112	40.22	53.55	30.97	36.13	39.57	42.55	19.38	19.56	0.35
Contig11132	489	0.359918200409	326	0.38036809816	163	0.319018404908	31	35.99	31.29	44.79	31.90	40.43	44.08	20.91	21.40	0.35
Contig89914	290	0.455172413793	194	0.582474226804	96	0.197916666667	33	45.83	61.86	54.64	19.79	36.36	42.84	17.01	22.60	nan
Contig99398	1026	0.390838206628	684	0.387426900585	342	0.397660818713	20	39.08	40.35	37.13	39.77	50.22	53.16	23.97	25.64	0.27
Contig8007	1086	0.379373848987	724	0.414364640884	362	0.309392265193	86	37.94	50.00	32.87	30.94	45.46	51.31	21.70	24.73	0.27
Contig8004	1776	0.38795045045	1184	0.431587837838	592	0.300675675676	17	38.80	48.65	37.67	30.07	45.49	55.05	23.40	28.66	0.17
Contig8000	684	0.40350877193	456	0.438596491228	228	0.333333333333	126	40.35	49.12	38.60	33.33	40.59	47.99	18.60	20.97	0.39
Contig57713	450	0.406666666667	300	0.423333333333	150	0.373333333333	245	40.67	39.33	45.33	37.33	39.91	44.97	20.84	24.59	0.26
Contig188648	2242	0.43086529884	1495	0.513712374582	747	0.265060240964	34	43.11	53.74	49.00	26.51	43.79	53.17	20.49	26.81	0.20
Contig53629	827	0.353083434099	552	0.344202898551	275	0.370909090909	24	35.39	43.84	25.00	37.09	39.42	46.60	16.75	18.73	0.46
Contig89500	210	0.380952380952	140	0.421428571429	70	0.3	20	38.10	48.57	35.71	30.00	33.07	36.46	14.10	16.68	nan
Contig89503	3170	0.410094637224	2114	0.458372753075	1056	0.313446969697	35	41.04	50.99	40.68	31.34	48.83	56.12	23.96	28.15	0.17
Contig53620	1273	0.406912804399	849	0.434628975265	424	0.35141509434	30	40.72	48.24	38.68	35.14	47.15	52.38	22.50	25.61	0.25
Contig53627	294	0.431972789116	196	0.454081632653	98	0.387755102041	242	43.20	43.88	46.94	38.78	42.12	43.53	16.44	18.31	nan
Contig53624	720	0.376388888889	480	0.410416666667	240	0.308333333333	56	37.64	49.17	32.92	30.83	40.48	48.18	17.79	21.45	0.37
Contig69148	267	0.426966292135	178	0.455056179775	89	0.370786516854	20	42.70	56.18	34.83	37.08	37.44	39.50	17.51	18.50	nan
Contig63168	1803	0.398779811425	1202	0.436772046589	601	0.322795341098	20	39.88	49.75	37.60	32.28	45.28	52.50	22.00	26.10	0.22
Contig31447	1076	0.378252788104	718	0.388579387187	358	0.357541899441	17	37.90	40.95	36.77	35.75	44.25	47.04	21.99	22.43	0.35
Contig31446	879	0.361774744027	586	0.392491467577	293	0.300341296928	48	36.18	48.46	30.03	30.03	40.60	49.58	19.79	24.91	0.29
Contig69141	681	0.348017621145	454	0.374449339207	227	0.295154185022	17	34.80	39.65	35.24	29.52	41.71	49.24	17.31	22.20	0.22
Contig63164	777	0.3861003861	518	0.415057915058	259	0.328185328185	20	38.61	48.26	34.75	32.82	46.33	50.41	22.11	24.66	0.29
Contig31440	1101	0.377838328792	734	0.426430517711	367	0.280653950954	34	37.78	40.60	44.69	28.07	42.19	51.68	18.05	23.87	0.30
Contig23834	354	0.401129943503	236	0.411016949153	118	0.381355932203	53	40.11	37.29	44.92	38.14	38.78	42.06	19.31	20.31	0.36
Contig35354	662	0.374622356495	442	0.438914027149	220	0.245454545455	34	37.58	55.20	32.58	24.55	38.69	50.32	19.82	26.55	0.26
Contig15834	854	0.401639344262	570	0.433333333333	284	0.338028169014	28	40.26	48.07	38.60	33.80	43.28	47.30	21.35	21.04	0.30
Contig15836	1050	0.401904761905	700	0.432857142857	350	0.34	33	40.19	46.29	40.29	34.00	46.26	48.59	20.54	24.43	0.26
Contig15837	378	0.325396825397	252	0.353174603175	126	0.269841269841	20	32.54	42.06	28.57	26.98	37.02	46.32	18.03	21.39	0.37
Contig19328	531	0.386064030132	354	0.415254237288	177	0.327683615819	90	38.61	46.33	36.72	32.77	40.95	47.85	19.50	24.62	0.25
Contig19329	453	0.381898454746	302	0.44701986755	151	0.251655629139	17	38.19	39.07	50.33	25.17	38.14	48.27	18.13	21.41	0.35
Contig19320	376	0.380319148936	251	0.382470119522	125	0.376	45	38.13	36.51	40.00	37.60	41.94	43.07	19.55	20.36	0.37
Contig19321	321	0.398753894081	214	0.46261682243	107	0.271028037383	134	39.88	51.40	41.12	27.10	38.43	43.35	20.32	21.65	0.35
Contig19322	912	0.40350877193	608	0.414473684211	304	0.381578947368	70	40.35	47.70	35.20	38.16	41.77	45.30	19.43	21.72	0.37
Contig83591	351	0.327635327635	234	0.337606837607	117	0.307692307692	17	32.76	49.57	17.95	30.77	40.09	41.93	17.04	17.61	0.30
Contig69415	360	0.341666666667	240	0.383333333333	120	0.258333333333	19	34.17	49.17	27.50	25.83	35.76	42.56	16.49	18.42	0.34
