loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig1	663	0.402714932127	442	0.37556561086	221	0.457013574661	38	40.27	42.99	32.13	45.7	50.96	51.62	24.79	25.09	0.26	3450	0.293913043478	2504	0.249201277955	946	0.412262156448	-1.39443078511447
Contig10	1137	0.415127528584	758	0.448548812665	379	0.348284960422	175	41.51	51.72	37.99	34.83	48.74	53.14	23.88	27.61	0.21	1130	0.254867256637	820	0.221951219512	310	0.341935483871	134.074430633255
Contig100	1023	0.347996089932	682	0.397360703812	341	0.24926686217	61	34.8	44.57	34.9	24.93	41.5	51.87	20.76	25.49	0.26	292	0.239726027397	nan	nan	292	0.239726027397	18.903950194054
Contig10007	894	0.381431767338	596	0.389261744966	298	0.365771812081	12	38.14	40.94	36.91	36.58	46.8	52.15	25.12	26.11	0.22	nan	nan	nan	nan	nan	nan	-29.3098063382069
Contig10008	1905	0.402099737533	1270	0.41811023622	635	0.370078740157	33	40.21	47.56	36.06	37.01	51.39	55.23	26.55	28.39	0.2	2852	0.260869565217	818	0.264058679707	2034	0.259587020649	-9.92053152804054
Contig10009	2178	0.351698806244	1452	0.373966942149	726	0.307162534435	42	35.17	41.32	33.47	30.72	47.64	56.77	26.94	29.92	0.14	1402	0.376604850214	454	0.220264317181	948	0.451476793249	2.85920172904122
Contig1001	378	0.428571428571	252	0.452380952381	126	0.380952380952	97	42.86	42.06	48.41	38.1	47.75	50.28	25.1	26.39	0.17	614	0.374592833876	218	0.339449541284	396	0.393939393939	56.5985590923725
Contig10012	339	0.604719764012	226	0.535398230088	113	0.743362831858	9	60.47	61.95	45.13	74.34	34.08	37.12	13.18	20.66	0.28	138	0.666666666667	nan	nan	138	0.666666666667	-18.0685122191548
Contig10013	951	0.398527865405	634	0.402208201893	317	0.391167192429	48	39.85	44.48	35.96	39.12	48.78	51.68	25.87	26.95	0.25	872	0.280963302752	384	0.283854166667	488	0.27868852459	5.5674161286866
Contig10016	513	0.325536062378	342	0.397660818713	171	0.181286549708	16	32.55	50.88	28.65	18.13	35.01	45.83	17.29	20.76	0.26	40	0.35	nan	nan	40	0.35	-26.119670561672
Contig10018	222	0.346846846847	148	0.371621621622	74	0.297297297297	42	34.68	45.95	28.38	29.73	37.63	42.63	16.36	19.99	nan	160	0.25	160	0.25	nan	nan	3.23710425903741
Contig1002	537	0.364990689013	358	0.357541899441	179	0.379888268156	42	36.5	40.78	30.73	37.99	46.95	48.95	21.94	23.47	0.35	388	0.363402061856	34	0.352941176471	354	0.364406779661	5.53161524840687
Contig10022	2076	0.522639691715	1384	0.472543352601	692	0.622832369942	26	52.26	52.02	42.49	62.28	50.66	53.4	24.19	26.66	0.21	452	0.464601769912	104	0.307692307692	348	0.511494252874	-10.9723558141756
Contig10023	1002	0.388223552894	668	0.419161676647	334	0.326347305389	11	38.82	47.31	36.53	32.63	45.55	52.75	23.01	26.13	0.26	nan	nan	nan	nan	nan	nan	-31.9245112722151
Contig10027	219	0.324200913242	146	0.36301369863	73	0.246575342466	9	32.42	35.62	36.99	24.66	34.34	35.85	14.51	13.74	nan	nan	nan	nan	nan	nan	nan	-28.355846746367
Contig1003	3138	0.391650732951	2092	0.448374760994	1046	0.278202676864	84	39.17	48.57	41.11	27.82	46.04	54.62	24.72	29.75	0.13	5608	0.327389443652	5282	0.329420673987	326	0.294478527607	43.0527947965229
Contig1004	852	0.354460093897	568	0.382042253521	284	0.299295774648	59	35.45	41.2	35.21	29.93	44.05	52.7	23.85	27.72	0.23	292	0.280821917808	nan	nan	292	0.280821917808	18.6294695754147
Contig10040	756	0.388888888889	504	0.371031746032	252	0.424603174603	63	38.89	46.43	27.78	42.46	45.95	48.09	22.33	23.16	0.32	336	0.345238095238	nan	nan	332	0.349397590361	24.3329715473597
Contig10042	2064	0.363856589147	1376	0.388081395349	688	0.315406976744	44	36.39	40.7	36.92	31.54	47.39	56.04	25.22	29.07	0.17	228	0.201754385965	nan	nan	218	0.211009174312	2.8299944881831
Contig10044	312	0.50641025641	208	0.509615384615	104	0.5	18	50.64	68.27	33.65	50	42	41.19	21.28	21.15	0.3	1250	0.4	1250	0.4	nan	nan	-12.3022705371984
Contig10046	738	0.357723577236	492	0.392276422764	246	0.288617886179	51	35.77	39.84	38.62	28.86	44.11	53.02	21.18	25.81	0.27	948	0.293248945148	nan	nan	948	0.293248945148	9.36196812419422
Contig10050	327	0.373088685015	218	0.362385321101	109	0.394495412844	9	37.31	44.95	27.52	39.45	40.83	44.24	17.72	18.77	0.39	212	0.424528301887	nan	nan	212	0.424528301887	-28.2535270112443
Contig10052	936	0.476495726496	624	0.448717948718	312	0.532051282051	25	47.65	48.72	41.03	53.21	48.98	50.27	24.65	24.63	0.3	88	0.295454545455	88	0.295454545455	nan	nan	-15.9043479755672
Contig10054	378	0.439153439153	252	0.428571428571	126	0.460317460317	8	43.92	53.97	31.75	46.03	44.74	45.74	21.2	20.89	0.33	nan	nan	nan	nan	nan	nan	-34.7517250057168
Contig10055	2616	0.418195718654	1744	0.438646788991	872	0.377293577982	18	41.82	51.03	36.7	37.73	54.37	57.68	29.21	30.01	0.14	36	0.611111111111	nan	nan	36	0.611111111111	-24.0285530484366
Contig1006	1227	0.334148329258	818	0.374083129584	409	0.254278728606	44	33.41	42.3	32.52	25.43	41.15	53.56	20.82	26.91	0.23	6948	0.375071963155	54	0.185185185185	6894	0.376559326951	4.8406456468938
Contig10060	951	0.39221871714	634	0.413249211356	317	0.350157728707	9	39.22	45.74	36.91	35.02	47.65	50.77	23.6	25.36	0.3	nan	nan	nan	nan	nan	nan	-33.8582861219369
Contig10066	2484	0.367552334944	1656	0.403985507246	828	0.294685990338	43	36.76	46.74	34.06	29.47	41.9	51.87	22.43	26.33	0.24	54	0.222222222222	48	0.208333333333	nan	nan	0.467599642472486
Contig10068	351	0.304843304843	234	0.363247863248	117	0.188034188034	9	30.48	44.44	28.21	18.8	29.12	39.5	13.19	20.19	0.31	nan	nan	nan	nan	nan	nan	-28.3940029114982
Contig1007	297	0.326599326599	198	0.328282828283	99	0.323232323232	83	32.66	39.39	26.26	32.32	38.37	40.18	17.82	15.65	nan	932	0.335836909871	nan	nan	932	0.335836909871	51.1401238308674
