loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig20940	nan	nan	nan	nan	nan	nan
Contig1860	nan	nan	nan	nan	nan	nan
Contig29709	22	0.454545454545	nan	nan	22	0.454545454545
Contig11211	1588	0.357682619647	1488	0.345430107527	100	0.54
Contig30550	nan	nan	nan	nan	nan	nan
Contig16123	nan	nan	nan	nan	nan	nan
Contig16244	398	0.361809045226	398	0.361809045226	nan	nan
Contig20664	nan	nan	nan	nan	nan	nan
Contig23945	3540	0.353389830508	3540	0.353389830508	nan	nan
Contig12075	nan	nan	nan	nan	nan	nan
Contig15612	nan	nan	nan	nan	nan	nan
Contig15583	nan	nan	nan	nan	nan	nan
Contig26825	nan	nan	nan	nan	nan	nan
Contig26824	1802	0.436182019978	1802	0.436182019978	nan	nan
Contig23943	nan	nan	nan	nan	nan	nan
Contig15345	2144	0.456156716418	2144	0.456156716418	nan	nan
Contig29736	nan	nan	nan	nan	nan	nan
Contig15619	4526	0.355059655325	640	0.375	3886	0.351775604735
Contig25715	nan	nan	nan	nan	nan	nan
Contig25713	3424	0.40683411215	3424	0.40683411215	nan	nan
Contig28626	nan	nan	nan	nan	nan	nan
Contig30126	856	0.434579439252	682	0.422287390029	174	0.48275862069
Contig30609	762	0.435695538058	762	0.435695538058	nan	nan
Contig571	258	0.472868217054	258	0.472868217054	nan	nan
Contig11960	nan	nan	nan	nan	nan	nan
Contig573	940	0.379787234043	940	0.379787234043	nan	nan
Contig572	4008	0.399201596806	4008	0.399201596806	nan	nan
Contig18451	1884	0.358280254777	1864	0.357832618026	nan	nan
Contig1465	682	0.412023460411	682	0.412023460411	nan	nan
Contig16128	764	0.340314136126	764	0.340314136126	nan	nan
Contig1463	5140	0.350972762646	5140	0.350972762646	nan	nan
Contig578	5182	0.387881126978	5182	0.387881126978	nan	nan
Contig12802	nan	nan	nan	nan	nan	nan
Contig5846	1658	0.380579010856	1658	0.380579010856	nan	nan
Contig10668	26	0.384615384615	nan	nan	26	0.384615384615
Contig30151	3914	0.350536535514	3790	0.348812664908	124	0.403225806452
Contig33173	56	0.642857142857	56	0.642857142857	nan	nan
Contig1262	2806	0.454739843193	2806	0.454739843193	nan	nan
Contig30521	1774	0.366967305524	1774	0.366967305524	nan	nan
Contig25397	998	0.430861723447	998	0.430861723447	nan	nan
Contig30734	2924	0.344049247606	2924	0.344049247606	nan	nan
Contig1266	538	0.433085501859	538	0.433085501859	nan	nan
Contig15613	2830	0.365371024735	2830	0.365371024735	nan	nan
Contig15222	4296	0.419459962756	4296	0.419459962756	nan	nan
Contig31200	368	0.358695652174	368	0.358695652174	nan	nan
Contig23498	1278	0.352112676056	1278	0.352112676056	nan	nan
Contig12242	200	0.28	200	0.28	nan	nan
Contig23495	4100	0.391707317073	4100	0.391707317073	nan	nan
Contig12246	1186	0.441821247892	1120	0.435714285714	66	0.545454545455
Contig20357	918	0.429193899782	918	0.429193899782	nan	nan
Contig26553	3000	0.400666666667	3000	0.400666666667	nan	nan
Contig24141	nan	nan	nan	nan	nan	nan
Contig11911	224	0.34375	nan	nan	224	0.34375
Contig24338	92	0.630434782609	92	0.630434782609	nan	nan
Contig23972	1312	0.400914634146	1312	0.400914634146	nan	nan
Contig8004	252	0.404761904762	252	0.404761904762	nan	nan
Contig11918	150	0.46	150	0.46	nan	nan
Contig28085	904	0.353982300885	904	0.353982300885	nan	nan
Contig408	7590	0.388801054018	7590	0.388801054018	nan	nan
Contig24574	486	0.337448559671	486	0.337448559671	nan	nan
Contig25404	1044	0.369731800766	1044	0.369731800766	nan	nan
Contig15343	nan	nan	nan	nan	nan	nan
Contig5849	4116	0.387512147716	4116	0.387512147716	nan	nan
Contig25408	nan	nan	nan	nan	nan	nan
Contig23515	108	0.351851851852	108	0.351851851852	nan	nan
Contig29035	290	0.524137931034	nan	nan	290	0.524137931034
Contig25497	466	0.381974248927	466	0.381974248927	nan	nan
Contig406	nan	nan	nan	nan	nan	nan
Contig27650	72	0.361111111111	72	0.361111111111	nan	nan
Contig17724	920	0.391304347826	894	0.393736017897	26	0.307692307692
Contig12933	nan	nan	nan	nan	nan	nan
Contig18850	nan	nan	nan	nan	nan	nan
Contig31337	4958	0.432432432432	4958	0.432432432432	nan	nan
Contig11622	nan	nan	nan	nan	nan	nan
Contig8602	2492	0.392455858748	2492	0.392455858748	nan	nan
Contig29389	500	0.364	500	0.364	nan	nan
Contig17059	2948	0.394165535957	2948	0.394165535957	nan	nan
Contig17509	2574	0.340326340326	2574	0.340326340326	nan	nan
Contig12026	1568	0.322704081633	1568	0.322704081633	nan	nan
Contig12027	2588	0.352782071097	2588	0.352782071097	nan	nan
