loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig16129	687	0.419213973799	458	0.419213973799	229	0.419213973799	30	41.92	47.60	36.24	41.92	47.93	50.72	24.63	26.09	0.31
Contig16123	2367	0.453316434305	1578	0.438529784537	789	0.48288973384	115	45.33	50.32	37.39	48.29	54.05	55.04	27.64	27.92	0.22
Contig29700	828	0.489130434783	552	0.451086956522	276	0.565217391304	153	48.91	55.43	34.78	56.52	45.97	46.86	23.44	24.92	0.23
Contig6201	1275	0.483137254902	850	0.427058823529	425	0.595294117647	26	48.31	57.65	27.76	59.53	47.84	48.11	22.07	21.75	0.38
Contig10666	513	0.46783625731	342	0.459064327485	171	0.485380116959	151	46.78	45.03	46.78	48.54	53.28	54.51	28.10	28.48	0.16
Contig15297	591	0.492385786802	394	0.439086294416	197	0.598984771574	65	49.24	52.79	35.03	59.90	46.32	46.70	22.76	23.94	0.29
Contig10662	2157	0.433936022253	1438	0.433936022253	719	0.433936022253	82	43.39	44.78	42.00	43.39	53.49	56.36	26.49	28.48	0.16
Contig15293	1308	0.464831804281	872	0.488532110092	436	0.417431192661	35	46.48	53.67	44.04	41.74	51.86	53.04	24.90	26.36	0.30
Contig11139	1380	0.447826086957	920	0.439130434783	460	0.465217391304	37	44.78	55.65	32.17	46.52	50.06	49.46	25.74	24.91	0.28
Contig11132	629	0.432432432432	420	0.478571428571	209	0.33971291866	36	43.38	50.00	45.71	33.97	42.83	45.52	19.27	22.30	0.36
Contig108016	354	0.423728813559	236	0.427966101695	118	0.415254237288	30	42.37	57.63	27.97	41.53	42.59	41.35	19.60	18.12	0.37
Contig401	2271	0.437252311757	1514	0.422721268164	757	0.466314398943	95	43.73	52.44	32.10	46.63	50.67	51.79	24.55	24.88	0.22
Contig402	648	0.472222222222	432	0.43287037037	216	0.550925925926	97	47.22	50.46	36.11	55.09	42.83	46.74	21.74	22.62	0.35
Contig406	2187	0.43072702332	1458	0.421810699588	729	0.448559670782	54	43.07	49.93	34.43	44.86	50.64	51.57	24.66	24.68	0.24
Contig133445	1842	0.479370249729	1228	0.49348534202	614	0.451140065147	64	47.94	57.82	40.88	45.11	53.07	53.24	25.03	26.07	0.23
Contig24282	1641	0.457647775746	1094	0.475319926874	547	0.422303473492	73	45.76	52.29	42.78	42.23	51.13	53.60	25.93	27.00	0.21
Contig24280	984	0.480691056911	656	0.460365853659	328	0.521341463415	26	48.07	44.51	47.56	52.13	51.64	52.69	27.37	27.32	0.24
Contig17298	333	0.429429429429	222	0.400900900901	111	0.486486486486	52	42.94	54.95	25.23	48.65	40.66	42.97	19.38	19.45	0.39
Contig17299	441	0.419501133787	294	0.428571428571	147	0.401360544218	83	41.95	49.66	36.05	40.14	44.96	46.71	21.28	22.34	0.40
Contig24289	720	0.552777777778	480	0.5	240	0.658333333333	237	55.28	63.75	36.25	65.83	45.06	50.11	21.42	25.03	0.27
Contig23831	1374	0.453420669578	916	0.477074235808	458	0.406113537118	31	45.34	50.66	44.76	40.61	50.72	53.52	24.96	26.45	0.21
Contig17293	1467	0.407634628494	978	0.425357873211	489	0.372188139059	47	40.76	47.85	37.22	37.22	48.86	52.94	23.14	25.75	0.27
Contig17290	906	0.409492273731	604	0.382450331126	302	0.46357615894	64	40.95	42.05	34.44	46.36	45.31	47.76	23.41	23.89	0.36
Contig41026	273	0.498168498168	182	0.467032967033	91	0.56043956044	302	49.82	54.95	38.46	56.04	37.18	37.18	17.42	16.84	nan
Contig15836	447	0.474272930649	298	0.48322147651	149	0.456375838926	99	47.43	49.66	46.98	45.64	45.73	46.07	23.17	23.25	0.31
Contig19324	834	0.387290167866	556	0.41726618705	278	0.327338129496	70	38.73	46.40	37.05	32.73	47.27	52.59	24.78	25.87	0.26
Contig19325	618	0.393203883495	412	0.412621359223	206	0.354368932039	39	39.32	56.80	25.73	35.44	41.11	47.54	19.60	23.18	0.32
Contig3154	3057	0.438338240105	2038	0.468105986261	1019	0.378802747792	73	43.83	48.18	45.44	37.88	49.45	54.24	23.57	26.65	0.26
Contig6397	393	0.36641221374	262	0.332061068702	131	0.435114503817	26	36.64	35.88	30.53	43.51	42.69	44.97	20.73	20.78	0.34
Contig12113	660	0.481818181818	440	0.497727272727	220	0.45	36	48.18	51.36	48.18	45.00	49.66	50.62	25.02	25.91	0.22
Contig12110	405	0.481481481481	270	0.474074074074	135	0.496296296296	176	48.15	54.07	40.74	49.63	44.23	45.45	24.74	24.90	0.30
Contig928	629	0.446740858506	420	0.438095238095	209	0.464114832536	54	44.82	50.48	37.14	46.41	46.75	48.92	22.79	24.42	0.31
Contig929	312	0.378205128205	208	0.350961538462	104	0.432692307692	83	37.82	36.54	33.65	43.27	44.41	45.77	22.57	23.53	0.18
Contig2899	3087	0.443796566246	2058	0.446550048591	1029	0.438289601555	49	44.38	42.27	47.04	43.83	54.21	55.14	28.11	28.44	0.17
Contig142293	421	0.439429928741	281	0.455516014235	140	0.407142857143	26	44.05	40.43	50.71	40.71	46.06	49.34	24.86	27.31	0.22
Contig2897	1473	0.443312966735	982	0.420570264766	491	0.488798370672	63	44.33	52.55	31.57	48.88	50.05	50.47	24.51	24.39	0.29
Contig2727	474	0.457805907173	316	0.424050632911	158	0.525316455696	53	45.78	50.63	34.18	52.53	45.90	47.54	22.35	22.39	0.30
Contig2721	798	0.452380952381	532	0.483082706767	266	0.390977443609	34	45.24	50.38	46.24	39.10	45.91	48.66	21.07	23.34	0.30
Contig2720	510	0.345098039216	340	0.344117647059	170	0.347058823529	59	34.51	37.06	31.76	34.71	43.43	46.29	19.57	22.65	0.26
Contig2722	909	0.441144114411	606	0.419141914191	303	0.485148514851	36	44.11	49.83	33.99	48.51	53.98	54.03	27.49	27.67	0.23
Contig9719	1281	0.443403590945	854	0.448477751756	427	0.433255269321	83	44.34	51.76	37.94	43.33	49.61	50.43	24.48	24.18	0.34
Contig6309	297	0.380471380471	198	0.368686868687	99	0.40404040404	146	38.05	38.38	35.35	40.40	34.89	38.57	13.91	15.41	nan
Contig137485	582	0.371134020619	388	0.409793814433	194	0.29381443299	36	37.11	46.91	35.05	29.38	43.24	51.28	21.70	26.05	0.26
Contig7557	789	0.457541191381	526	0.496197718631	263	0.380228136882	59	45.75	46.01	53.23	38.02	47.24	49.91	26.18	26.67	0.20
Contig9841	2198	0.454049135578	1466	0.448158253752	732	0.465846994536	32	45.45	53.75	35.88	46.58	53.23	54.20	26.96	26.98	0.22
Contig9844	921	0.440825190011	614	0.449511400651	307	0.42345276873	87	44.08	45.28	44.63	42.35	54.18	56.27	28.57	29.53	0.17
Contig3414	567	0.463844797178	378	0.452380952381	189	0.486772486772	267	46.38	52.91	37.57	48.68	40.72	41.44	19.27	18.99	0.40
Contig6175	1341	0.413870246085	894	0.395973154362	447	0.44966442953	71	41.39	49.89	29.31	44.97	50.61	51.95	23.43	23.84	0.31
Contig6172	2100	0.422857142857	1400	0.431428571429	700	0.405714285714	44	42.29	52.71	33.57	40.57	49.04	51.16	22.96	24.74	0.27
Contig101034	284	0.443661971831	190	0.478947368421	94	0.372340425532	26	44.68	54.74	41.05	37.23	41.31	42.81	18.15	18.68	nan
Contig22610	513	0.524366471735	342	0.540935672515	171	0.491228070175	53	52.44	54.97	53.22	49.12	49.27	50.40	24.53	23.90	0.32
Contig2093	420	0.45	280	0.439285714286	140	0.471428571429	53	45.00	50.00	37.86	47.14	44.12	45.86	22.07	23.23	0.29
Contig2099	1929	0.406946604458	1286	0.43701399689	643	0.346811819596	64	40.69	43.70	43.70	34.68	46.54	52.68	22.12	25.95	0.26
Contig28703	324	0.456790123457	216	0.444444444444	108	0.481481481481	73	45.68	52.78	36.11	48.15	38.15	38.12	14.46	14.41	0.60
Contig28705	222	0.40990990991	148	0.412162162162	74	0.405405405405	188	40.99	52.70	29.73	40.54	34.86	37.00	15.20	15.10	nan
Contig140744	606	0.394389438944	404	0.408415841584	202	0.366336633663	51	39.44	44.06	37.62	36.63	46.12	49.62	25.02	25.40	0.28
Contig39447	288	0.583333333333	192	0.510416666667	96	0.729166666667	228	58.33	63.54	38.54	72.92	35.27	38.10	17.66	19.50	nan
Contig22534	453	0.465783664459	302	0.470198675497	151	0.456953642384	57	46.58	53.64	40.40	45.70	46.93	47.73	24.59	24.43	0.28
Contig22531	360	0.436111111111	240	0.4375	120	0.433333333333	157	43.61	52.50	35.00	43.33	39.12	40.73	15.75	16.61	0.49
Contig13576	312	0.416666666667	208	0.447115384615	104	0.355769230769	27	41.67	50.96	38.46	35.58	39.43	43.43	21.77	23.18	0.23
Contig18214	801	0.421972534332	534	0.440074906367	267	0.385767790262	60	42.20	64.04	23.97	38.58	48.44	51.29	22.53	24.66	0.31
Contig18213	1345	0.431226765799	897	0.435897435897	448	0.421875	44	43.15	51.67	35.49	42.19	49.48	52.66	24.78	26.12	0.23
Contig18210	2033	0.47220855878	1356	0.463126843658	677	0.490398818316	39	47.27	50.88	41.74	49.04	51.96	53.34	27.03	27.26	0.21
Contig10661	786	0.398218829517	524	0.402671755725	262	0.389312977099	26	39.82	48.47	32.06	38.93	49.19	52.40	26.96	26.56	0.24
Contig5150	711	0.413502109705	474	0.419831223629	237	0.400843881857	390	41.35	48.10	35.86	40.08	45.11	47.62	23.33	24.66	0.25
Contig5156	501	0.512974051896	334	0.505988023952	167	0.526946107784	29	51.30	52.69	48.50	52.69	48.17	48.57	23.57	23.33	0.30
Contig5154	450	0.408888888889	300	0.42	150	0.386666666667	31	40.89	55.33	28.67	38.67	41.39	43.30	20.75	22.36	0.29
Contig986	630	0.457142857143	420	0.440476190476	210	0.490476190476	349	45.71	48.10	40.00	49.05	46.63	44.79	21.70	21.57	0.28
Contig987	606	0.493399339934	404	0.49504950495	202	0.490099009901	36	49.34	46.53	52.48	49.01	47.36	46.20	25.48	25.33	0.24
Contig980	1542	0.446173800259	1028	0.441634241245	514	0.455252918288	66	44.62	44.94	43.39	45.53	51.59	51.42	24.50	24.82	0.25
Contig16916	305	0.390163934426	204	0.421568627451	101	0.326732673267	132	38.89	46.08	38.24	32.67	41.09	46.11	19.26	19.03	0.22
Contig16911	582	0.481099656357	388	0.525773195876	194	0.39175257732	66	48.11	50.52	54.64	39.18	45.39	48.14	20.22	25.22	0.21
Contig4827	801	0.414481897628	534	0.466292134831	267	0.310861423221	30	41.45	55.81	37.45	31.09	45.76	50.93	23.64	26.70	0.27
Contig4820	363	0.451790633609	242	0.446280991736	121	0.462809917355	70	45.18	49.59	39.67	46.28	41.41	41.63	17.21	17.97	0.48
Contig4823	819	0.443223443223	546	0.421245421245	273	0.487179487179	44	44.32	48.35	35.90	48.72	49.08	48.36	24.74	23.55	0.26
Contig35915	627	0.539074960128	418	0.521531100478	209	0.574162679426	30	53.91	63.64	40.67	57.42	47.93	49.24	25.44	24.83	0.30
Contig189	215	0.483720930233	144	0.541666666667	71	0.366197183099	80	48.83	61.11	47.22	36.62	35.39	35.87	18.50	19.00	nan
Contig187	1275	0.374117647059	850	0.367058823529	425	0.388235294118	46	37.41	41.18	32.24	38.82	50.44	53.12	24.20	26.14	0.26
Contig180	1121	0.447814451383	748	0.482620320856	373	0.378016085791	36	44.86	52.94	43.58	37.80	47.19	49.19	24.85	24.35	0.30
Contig181	228	0.456140350877	152	0.440789473684	76	0.486842105263	53	45.61	51.32	36.84	48.68	36.84	39.43	17.25	18.72	nan
