loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig84521	897	0.432552954292	598	0.416387959866	299	0.464882943144	13	43.26	48.49	34.78	46.49	53.74	54.46	27.01	27.53	0.20
Contig50598	1719	0.429901105294	1146	0.39965095986	573	0.490401396161	35	42.99	46.25	33.68	49.04	54.72	55.12	28.66	28.66	0.19
Contig95565	537	0.402234636872	358	0.382681564246	179	0.441340782123	45	40.22	41.90	34.64	44.13	41.43	44.63	20.99	22.84	0.30
Contig16128	1662	0.552948255114	1108	0.481046931408	554	0.696750902527	32	55.29	57.58	38.63	69.68	48.38	55.59	22.74	28.14	0.19
Contig29705	2043	0.41507586882	1362	0.377386196769	681	0.490455212922	142	41.51	44.20	31.28	49.05	55.47	55.77	27.78	28.01	0.20
Contig16126	324	0.518518518519	216	0.462962962963	108	0.62962962963	109	51.85	50.93	41.67	62.96	43.32	43.89	20.41	20.49	0.41
Contig16125	1536	0.541015625	1024	0.46875	512	0.685546875	169	54.10	54.69	39.06	68.55	47.57	52.27	24.82	26.70	0.23
Contig16124	1266	0.519747235387	844	0.49644549763	422	0.5663507109	39	51.97	58.77	40.52	56.64	53.45	53.44	27.71	28.32	0.21
Contig50590	297	0.569023569024	198	0.494949494949	99	0.717171717172	39	56.90	47.47	51.52	71.72	38.52	40.07	17.28	17.44	nan
Contig26821	1884	0.467091295117	1256	0.458598726115	628	0.484076433121	33	46.71	52.71	39.01	48.41	54.58	55.10	27.56	28.40	0.21
Contig17555	246	0.418699186992	164	0.44512195122	82	0.365853658537	55	41.87	54.88	34.15	36.59	33.75	36.10	16.93	17.02	nan
Contig56503	419	0.634844868735	280	0.589285714286	139	0.726618705036	18	63.79	64.29	53.57	72.66	40.08	45.59	22.58	24.99	0.29
Contig26822	372	0.543010752688	248	0.463709677419	124	0.701612903226	266	54.30	56.45	36.29	70.16	42.36	45.73	21.61	22.76	0.33
Contig38979	1296	0.320216049383	864	0.354166666667	432	0.252314814815	36	32.02	37.96	32.87	25.23	41.91	52.84	19.54	24.91	0.24
Contig87126	700	0.331428571429	467	0.364025695931	233	0.266094420601	17	33.19	39.74	33.05	26.61	42.03	48.84	20.58	24.32	0.35
Contig26826	767	0.475880052151	512	0.451171875	255	0.525490196078	36	47.71	48.44	41.80	52.55	53.65	53.61	27.76	27.77	0.20
Contig38974	414	0.485507246377	276	0.438405797101	138	0.579710144928	183	48.55	50.72	36.96	57.97	44.63	45.33	21.51	20.87	0.27
Contig17009	1802	0.496115427303	1202	0.452579034942	600	0.583333333333	90	49.67	50.75	39.77	58.33	51.47	53.23	24.80	25.99	0.29
Contig35749	1227	0.460472697637	818	0.437652811736	409	0.506112469438	31	46.05	49.88	37.65	50.61	54.33	54.04	27.46	27.55	0.18
Contig79548	495	0.379797979798	330	0.39696969697	165	0.345454545455	15	37.98	45.45	33.94	34.55	46.79	51.02	24.53	26.15	0.28
Contig12808	650	0.443076923077	434	0.456221198157	216	0.416666666667	181	44.44	54.84	36.41	41.67	45.48	48.11	19.98	23.34	0.34
Contig18451	252	0.507936507937	168	0.535714285714	84	0.452380952381	137	50.79	64.29	42.86	45.24	40.98	41.71	23.48	23.28	nan
