loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig18369	nan	nan	nan	nan	nan	nan
Contig38976	nan	nan	nan	nan	nan	nan
Contig38970	nan	nan	nan	nan	nan	nan
Contig60548	120	0.533333333333	120	0.533333333333	nan	nan
Contig18458	nan	nan	nan	nan	nan	nan
Contig18451	234	0.384615384615	170	0.364705882353	64	0.4375
Contig18452	212	0.358490566038	212	0.358490566038	nan	nan
Contig18455	nan	nan	nan	nan	nan	nan
Contig18456	nan	nan	nan	nan	nan	nan
Contig10669	64	0.28125	64	0.28125	nan	nan
Contig10666	308	0.470779220779	252	0.503968253968	56	0.321428571429
Contig10665	nan	nan	nan	nan	nan	nan
Contig10660	796	0.412060301508	78	0.538461538462	718	0.398328690808
Contig10661	146	0.356164383562	146	0.356164383562	nan	nan
Contig11139	nan	nan	nan	nan	nan	nan
Contig11138	84	0.357142857143	62	0.322580645161	22	0.454545454545
Contig112929	nan	nan	nan	nan	nan	nan
Contig11134	nan	nan	nan	nan	nan	nan
Contig11136	nan	nan	nan	nan	nan	nan
Contig11131	nan	nan	nan	nan	nan	nan
Contig11132	94	0.212765957447	nan	nan	94	0.212765957447
Contig8006	nan	nan	nan	nan	nan	nan
Contig8007	98	0.428571428571	nan	nan	96	0.4375
Contig8005	3004	0.391478029294	3004	0.391478029294	nan	nan
Contig8003	1376	0.421511627907	1376	0.421511627907	nan	nan
Contig89508	196	0.316326530612	196	0.316326530612	nan	nan
Contig89503	nan	nan	nan	nan	nan	nan
Contig53626	nan	nan	nan	nan	nan	nan
Contig31448	nan	nan	nan	nan	nan	nan
Contig31446	980	0.369387755102	980	0.369387755102	nan	nan
Contig31445	466	0.300429184549	366	0.319672131148	100	0.23
Contig63163	1494	0.313253012048	1494	0.313253012048	nan	nan
Contig88675	nan	nan	nan	nan	nan	nan
Contig23839	86	0.395348837209	nan	nan	86	0.395348837209
Contig23837	nan	nan	nan	nan	nan	nan
Contig35353	nan	nan	nan	nan	nan	nan
Contig23833	nan	nan	nan	nan	nan	nan
Contig15838	444	0.391891891892	444	0.391891891892	nan	nan
Contig15830	198	0.444444444444	170	0.458823529412	28	0.357142857143
Contig15831	86	0.406976744186	nan	nan	86	0.406976744186
Contig122463	nan	nan	nan	nan	nan	nan
Contig15834	796	0.335427135678	762	0.328083989501	34	0.5
Contig15835	nan	nan	nan	nan	nan	nan
Contig122466	nan	nan	nan	nan	nan	nan
Contig19329	nan	nan	nan	nan	nan	nan
Contig19321	nan	nan	nan	nan	nan	nan
Contig19322	1862	0.363587540279	1862	0.363587540279	nan	nan
Contig19323	3888	0.399434156379	3888	0.399434156379	nan	nan
Contig19324	nan	nan	nan	nan	nan	nan
Contig19325	nan	nan	nan	nan	nan	nan
Contig19327	nan	nan	nan	nan	nan	nan
Contig48059	nan	nan	nan	nan	nan	nan
Contig48054	nan	nan	nan	nan	nan	nan
Contig48056	74	0.486486486486	74	0.486486486486	nan	nan
Contig17473	1840	0.264130434783	1732	0.269053117783	108	0.185185185185
Contig118448	nan	nan	nan	nan	nan	nan
Contig17475	2052	0.351851851852	2020	0.356435643564	32	0.0625
Contig2729	nan	nan	nan	nan	nan	nan
Contig74720	nan	nan	nan	nan	nan	nan
Contig2722	nan	nan	nan	nan	nan	nan
Contig9841	460	0.321739130435	460	0.321739130435	nan	nan
Contig9840	nan	nan	nan	nan	nan	nan
Contig9843	nan	nan	nan	nan	nan	nan
Contig9844	868	0.438940092166	868	0.438940092166	nan	nan
Contig9846	1644	0.360097323601	1634	0.358629130967	nan	nan
Contig9848	nan	nan	nan	nan	nan	nan
Contig72762	nan	nan	nan	nan	nan	nan
Contig86412	nan	nan	nan	nan	nan	nan
Contig2097	nan	nan	nan	nan	nan	nan
Contig2094	336	0.416666666667	336	0.416666666667	nan	nan
Contig2093	nan	nan	nan	nan	nan	nan
Contig2091	nan	nan	nan	nan	nan	nan
Contig2090	94	0.36170212766	82	0.365853658537	nan	nan
Contig37841	198	0.292929292929	124	0.338709677419	74	0.216216216216
Contig37845	nan	nan	nan	nan	nan	nan
Contig123730	222	0.391891891892	222	0.391891891892	nan	nan
Contig123734	nan	nan	nan	nan	nan	nan
Contig67328	nan	nan	nan	nan	nan	nan
Contig84816	nan	nan	nan	nan	nan	nan
Contig67320	nan	nan	nan	nan	nan	nan
Contig82244	nan	nan	nan	nan	nan	nan
Contig62784	nan	nan	nan	nan	nan	nan
Contig62785	nan	nan	nan	nan	nan	nan
Contig82241	52	0.384615384615	nan	nan	52	0.384615384615
Contig18931	34	0.352941176471	34	0.352941176471	nan	nan
Contig15297	264	0.257575757576	264	0.257575757576	nan	nan
Contig15292	346	0.260115606936	346	0.260115606936	nan	nan
Contig49828	354	0.330508474576	354	0.330508474576	nan	nan
Contig49829	124	0.338709677419	nan	nan	124	0.338709677419
Contig107177	nan	nan	nan	nan	nan	nan
Contig49824	254	0.377952755906	254	0.377952755906	nan	nan
Contig49825	nan	nan	nan	nan	nan	nan
Contig65788	nan	nan	nan	nan	nan	nan
Contig65786	nan	nan	nan	nan	nan	nan
Contig65783	nan	nan	nan	nan	nan	nan
Contig100422	nan	nan	nan	nan	nan	nan
Contig107288	550	0.334545454545	550	0.334545454545	nan	nan
Contig102678	nan	nan	nan	nan	nan	nan
Contig8821	132	0.409090909091	132	0.409090909091	nan	nan
Contig8824	816	0.313725490196	816	0.313725490196	nan	nan
Contig8826	406	0.435960591133	406	0.435960591133	nan	nan
