loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig6561	454	0.557268722467	303	0.448844884488	151	0.774834437086	29	55.85	55.26	34.44	77.48	38.50	46.36	20.30	24.35	0.22
Contig12809	441	0.519274376417	294	0.493197278912	147	0.571428571429	19	51.93	55.78	42.86	57.14	45.98	46.69	22.65	22.03	0.37
Contig12805	633	0.505529225908	422	0.454976303318	211	0.60663507109	20	50.55	54.50	36.49	60.66	41.55	43.84	20.64	19.65	0.43
Contig12807	233	0.459227467811	156	0.448717948718	77	0.480519480519	26	46.32	37.18	52.56	48.05	35.13	35.30	16.22	17.38	nan
Contig12801	522	0.484674329502	348	0.491379310345	174	0.471264367816	20	48.47	56.90	41.38	47.13	46.92	46.82	22.09	22.03	0.34
Contig10666	567	0.513227513228	378	0.473544973545	189	0.592592592593	19	51.32	52.38	42.33	59.26	45.24	46.59	22.59	23.04	0.30
Contig10667	207	0.545893719807	138	0.492753623188	69	0.652173913043	14	54.59	56.52	42.03	65.22	39.16	44.18	18.43	21.80	nan
Contig10665	258	0.542635658915	172	0.46511627907	86	0.697674418605	19	54.26	50.00	43.02	69.77	36.13	38.61	18.14	18.20	nan
Contig10662	231	0.471861471861	154	0.435064935065	77	0.545454545455	16	47.19	50.65	36.36	54.55	34.89	38.47	17.86	19.47	nan
Contig11137	473	0.501057082452	316	0.465189873418	157	0.573248407643	16	50.32	56.96	36.08	57.32	44.42	46.84	21.89	23.57	0.34
Contig11131	230	0.521739130435	154	0.493506493506	76	0.578947368421	52	52.63	66.23	32.47	57.89	38.53	42.17	20.63	20.36	nan
Contig8008	246	0.548780487805	164	0.506097560976	82	0.634146341463	20	54.88	48.78	52.44	63.41	35.69	37.75	15.11	17.92	nan
Contig8009	202	0.480198019802	135	0.422222222222	67	0.597014925373	11	48.26	45.59	38.81	59.70	34.65	39.95	14.01	15.30	nan
Contig8000	354	0.516949152542	236	0.542372881356	118	0.466101694915	12	51.69	54.24	54.24	46.61	42.28	42.37	21.98	22.54	0.38
