loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig1	264	0.352272727273	176	0.323863636364	88	0.409090909091	79	35.23	36.36	28.41	40.91	38.1	39.28	19.2	20.4	nan	1954	0.410440122825	1954	0.410440122825	nan	nan	45.178038406007
Contig1000	756	0.530423280423	504	0.494047619048	252	0.603174603175	116	53.04	57.14	41.67	60.32	47.44	50.08	24.03	25.63	0.27	6144	0.45166015625	4410	0.427664399093	1734	0.512687427912	75.7396095879614
Contig100003	231	0.532467532468	154	0.519480519481	77	0.558441558442	15	53.25	61.04	42.86	55.84	36.95	35.72	19.89	18.27	nan	nan	nan	nan	nan	nan	nan	-23.6355753183656
Contig100006	277	0.537906137184	185	0.535135135135	92	0.54347826087	27	53.99	52.69	54.35	54.35	40.09	41.73	18.2	19.64	nan	nan	nan	nan	nan	nan	nan	-10.4077218224262
Contig100019	348	0.448275862069	232	0.469827586207	116	0.405172413793	31	44.83	53.45	40.52	40.52	43.47	45.28	18.98	19.23	0.45	nan	nan	nan	nan	nan	nan	-8.9233248186945
Contig100029	246	0.447154471545	164	0.432926829268	82	0.475609756098	52	44.72	53.66	32.93	47.56	37.58	39	16.57	17.92	nan	880	0.352272727273	880	0.352272727273	nan	nan	15.1459849078708
Contig100073	225	0.391111111111	150	0.386666666667	75	0.4	11	39.11	44	33.33	40	35.06	38.8	16.56	19.71	nan	nan	nan	nan	nan	nan	nan	-20.7250830802311
Contig100083	658	0.411854103343	439	0.421412300683	219	0.392694063927	24	41.25	48.64	35.62	39.27	43.93	47.85	21.14	23.73	0.27	nan	nan	nan	nan	nan	nan	-11.3994314286704
Contig100091	822	0.524330900243	548	0.452554744526	274	0.667883211679	50	52.43	55.47	35.04	66.79	42	46.68	19.66	21.18	0.39	nan	nan	nan	nan	nan	nan	11.3347380131765
Contig100109	831	0.527075812274	554	0.554151624549	277	0.472924187726	31	52.71	54.87	55.96	47.29	45.9	46.56	23.48	23.81	0.36	nan	nan	nan	nan	nan	nan	-5.10705605718369
Contig100116	207	0.56038647343	138	0.521739130435	69	0.63768115942	22	56.04	68.12	36.23	63.77	34.83	36.9	16.81	16.23	nan	nan	nan	nan	nan	nan	nan	-16.4511645330613
Contig100119	223	0.443946188341	149	0.442953020134	74	0.445945945946	11	44.59	54.67	33.78	44.59	40.59	42.02	18.85	20	nan	nan	nan	nan	nan	nan	nan	-26.8324896867599
Contig100125	668	0.49251497006	446	0.42600896861	222	0.626126126126	29	49.4	49.78	35.43	62.61	43.54	47.64	21.69	21.67	0.37	nan	nan	nan	nan	nan	nan	-7.01363870669066
Contig100142	373	0.463806970509	249	0.44578313253	124	0.5	21	46.51	56.8	32.26	50	43.8	45.35	22.49	22.82	0.33	nan	nan	nan	nan	nan	nan	-17.0779563009035
Contig100143	365	0.556164383562	244	0.561475409836	121	0.545454545455	45	55.92	66.39	45.9	54.55	40.38	40.52	18.17	18.56	0.51	nan	nan	nan	nan	nan	nan	9.33350007394529
Contig100144	216	0.444444444444	144	0.506944444444	72	0.319444444444	22	44.44	52.78	48.61	31.94	33.57	36.44	14.76	15.45	nan	nan	nan	nan	nan	nan	nan	-17.6009457166963
Contig100148	226	0.41592920354	151	0.417218543046	75	0.413333333333	13	41.78	40.79	42.67	41.33	37.08	39.65	16.21	16.84	nan	nan	nan	nan	nan	nan	nan	-21.8262770174765
Contig100158	294	0.465986394558	196	0.387755102041	98	0.622448979592	22	46.6	48.98	28.57	62.24	38.47	40.3	17.37	17.94	nan	nan	nan	nan	nan	nan	nan	-9.78993881091014
Contig100169	232	0.366379310345	155	0.316129032258	77	0.467532467532	12	36.8	28.21	35.06	46.75	34.32	37.58	12.44	13.96	nan	nan	nan	nan	nan	nan	nan	-22.8743514051486
Contig10018	486	0.489711934156	324	0.466049382716	162	0.537037037037	26	48.97	48.15	45.06	53.7	46.48	47.12	22.98	23.05	0.31	52	0.423076923077	nan	nan	52	0.423076923077	-13.6939090964291
Contig100187	199	0.527638190955	133	0.511278195489	66	0.560606060606	23	53.03	49.25	53.03	56.06	38.83	40.7	19.92	20.28	nan	46	0.652173913043	nan	nan	46	0.652173913043	-16.2877769804107
Contig100188	249	0.477911646586	166	0.518072289157	83	0.397590361446	18	47.79	62.65	40.96	39.76	36.88	41.98	17.99	17.95	nan	nan	nan	nan	nan	nan	nan	-20.7503891666357
Contig100195	216	0.430555555556	144	0.416666666667	72	0.458333333333	12	43.06	45.83	37.5	45.83	37.68	38.33	18.68	19.41	nan	nan	nan	nan	nan	nan	nan	-22.7510450974441
Contig1002	1160	0.547413793103	774	0.452196382429	386	0.738341968912	53	54.84	57.36	33.07	73.83	40.04	47.17	20.14	22.35	0.37	nan	nan	nan	nan	nan	nan	14.3663618465064
Contig100204	876	0.553652968037	584	0.518835616438	292	0.623287671233	71	55.37	65.41	38.36	62.33	43.55	45.88	21.75	22.38	0.34	nan	nan	nan	nan	nan	nan	32.3117934312511
Contig100205	290	0.496551724138	194	0.458762886598	96	0.572916666667	32	50	53.61	38.14	57.29	39.9	39.55	16.73	16.19	nan	nan	nan	nan	nan	nan	nan	-7.19180588633682
Contig100211	241	0.452282157676	161	0.434782608696	80	0.4875	16	45.42	46.91	40	48.75	35.52	35.84	17.68	17.33	nan	nan	nan	nan	nan	nan	nan	-21.0539359237383
Contig100225	201	0.417910447761	134	0.417910447761	67	0.417910447761	20	41.79	50.75	32.84	41.79	38.24	39.68	15.38	16.02	nan	nan	nan	nan	nan	nan	nan	-14.9207963148487
Contig100232	822	0.423357664234	548	0.467153284672	274	0.335766423358	44	42.34	57.3	36.13	33.58	44.66	50.25	22.67	25.2	0.21	nan	nan	nan	nan	nan	nan	4.23661956939359
Contig100243	1104	0.468297101449	736	0.552989130435	368	0.298913043478	42	46.83	64.4	46.2	29.89	45.63	50.82	23.3	26.7	0.22	nan	nan	nan	nan	nan	nan	5.8198395970005
Contig100255	223	0.560538116592	149	0.55033557047	74	0.581081081081	19	56.31	48	62.16	58.11	34.52	35.53	20.11	19.46	nan	nan	nan	nan	nan	nan	nan	-17.3502344396111
Contig100268	202	0.509900990099	135	0.496296296296	67	0.537313432836	18	51.24	48.53	50.75	53.73	35.18	33.97	15.97	15.87	nan	nan	nan	nan	nan	nan	nan	-22.1845100954396
Contig100273	288	0.4375	192	0.4375	96	0.4375	31	43.75	47.92	39.58	43.75	40.57	42.14	18.56	18.77	nan	44	0.545454545455	44	0.545454545455	nan	nan	-6.32881885398304
Contig100280	575	0.412173913043	384	0.419270833333	191	0.397905759162	32	41.36	47.4	36.46	39.79	46.53	49	22.17	22.12	0.34	nan	nan	nan	nan	nan	nan	-3.10695261706518
Contig100298	216	0.550925925926	144	0.5	72	0.652777777778	27	55.09	48.61	51.39	65.28	36.6	38.76	17.48	18.19	nan	nan	nan	nan	nan	nan	nan	-13.0188455115652
Contig1003	528	0.524621212121	352	0.440340909091	176	0.693181818182	100	52.46	55.11	32.95	69.32	41.4	44.35	19.75	20.38	0.35	4760	0.393277310924	4760	0.393277310924	nan	nan	62.4022796613628
