loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig80016	64	0.3125	nan	nan	64	0.3125
Contig50598	nan	nan	nan	nan	nan	nan
Contig16129	nan	nan	nan	nan	nan	nan
Contig80013	5948	0.415097511769	3364	0.424791914388	2584	0.402476780186
Contig29705	1114	0.352782764811	1114	0.352782764811	nan	nan
Contig16125	6260	0.425239616613	6260	0.425239616613	nan	nan
Contig80018	130	0.630769230769	nan	nan	130	0.630769230769
Contig50591	nan	nan	nan	nan	nan	nan
Contig26821	204	0.313725490196	nan	nan	204	0.313725490196
Contig285780	nan	nan	nan	nan	nan	nan
Contig20667	244	0.418032786885	96	0.3125	148	0.486486486486
Contig127387	156	0.365384615385	156	0.365384615385	nan	nan
Contig270984	nan	nan	nan	nan	nan	nan
Contig131884	142	0.267605633803	142	0.267605633803	nan	nan
Contig286251	92	0.271739130435	92	0.271739130435	nan	nan
Contig28626	nan	nan	nan	nan	nan	nan
Contig18459	980	0.365306122449	980	0.365306122449	nan	nan
Contig99511	1088	0.370404411765	1088	0.370404411765	nan	nan
Contig79542	672	0.462797619048	nan	nan	672	0.462797619048
Contig12805	nan	nan	nan	nan	nan	nan
Contig18453	480	0.45	480	0.45	nan	nan
Contig12807	2862	0.369322152341	972	0.279835390947	1890	0.415343915344
Contig338253	nan	nan	nan	nan	nan	nan
Contig79547	48	0.375	nan	nan	48	0.375
Contig18457	760	0.377631578947	760	0.377631578947	nan	nan
Contig109218	1728	0.353009259259	nan	nan	1728	0.353009259259
Contig15298	7104	0.449887387387	2952	0.528455284553	4152	0.394026974952
Contig10669	302	0.417218543046	170	0.458823529412	132	0.363636363636
Contig138820	nan	nan	nan	nan	nan	nan
Contig10667	nan	nan	nan	nan	nan	nan
Contig71715	3350	0.37223880597	2642	0.357683573051	708	0.426553672316
Contig130670	nan	nan	nan	nan	nan	nan
Contig71711	nan	nan	nan	nan	nan	nan
Contig10661	nan	nan	nan	nan	nan	nan
Contig114554	nan	nan	nan	nan	nan	nan
Contig158393	868	0.337557603687	648	0.299382716049	220	0.45
Contig214391	nan	nan	nan	nan	nan	nan
Contig11139	nan	nan	nan	nan	nan	nan
Contig78744	518	0.326254826255	nan	nan	518	0.326254826255
Contig114000	152	0.506578947368	152	0.506578947368	nan	nan
Contig291387	nan	nan	nan	nan	nan	nan
Contig135697	nan	nan	nan	nan	nan	nan
Contig165051	nan	nan	nan	nan	nan	nan
Contig248024	58	0.620689655172	58	0.620689655172	nan	nan
Contig95501	896	0.422991071429	896	0.422991071429	nan	nan
Contig80019	2126	0.335841956726	134	0.305970149254	1992	0.337851405622
Contig106170	934	0.231263383298	934	0.231263383298	nan	nan
Contig69851	nan	nan	nan	nan	nan	nan
Contig69852	1336	0.400449101796	1336	0.400449101796	nan	nan
Contig70000	nan	nan	nan	nan	nan	nan
Contig122655	nan	nan	nan	nan	nan	nan
Contig95674	nan	nan	nan	nan	nan	nan
Contig70003	nan	nan	nan	nan	nan	nan
Contig70006	nan	nan	nan	nan	nan	nan
Contig101276	700	0.382857142857	700	0.382857142857	nan	nan
Contig96644	242	0.338842975207	242	0.338842975207	nan	nan
Contig15610	4658	0.59167024474	70	0.4	4588	0.594594594595
Contig122280	nan	nan	nan	nan	nan	nan
Contig113363	314	0.452229299363	314	0.452229299363	nan	nan
Contig320191	374	0.411764705882	374	0.411764705882	nan	nan
Contig403	nan	nan	nan	nan	nan	nan
Contig79725	1166	0.315608919383	982	0.313645621181	184	0.326086956522
Contig327657	1692	0.360520094563	1692	0.360520094563	nan	nan
Contig57715	nan	nan	nan	nan	nan	nan
Contig37427	1606	0.348069738481	1606	0.348069738481	nan	nan
Contig96220	nan	nan	nan	nan	nan	nan
