loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig10	222	0.445945945946	148	0.432432432432	74	0.472972972973	45	44.59	52.7	33.78	47.3	40.88	41.03	16.89	17.39	nan	nan	nan	nan	nan	nan	nan	16.3086542464841
Contig10000	387	0.542635658915	258	0.612403100775	129	0.403100775194	90	54.26	58.91	63.57	40.31	40.15	42.16	20.47	22.64	0.29	nan	nan	nan	nan	nan	nan	59.9853926157585
Contig100053	453	0.419426048565	302	0.460264900662	151	0.337748344371	14	41.94	41.72	50.33	33.77	43.97	48.56	22.28	23.84	0.32	nan	nan	nan	nan	nan	nan	-15.0309145193451
Contig100057	235	0.404255319149	157	0.369426751592	78	0.474358974359	8	40.6	36.71	37.18	47.44	39.94	41.91	16.16	16.38	nan	nan	nan	nan	nan	nan	nan	-18.4298243146728
Contig100074	276	0.452898550725	184	0.45652173913	92	0.445652173913	40	45.29	55.43	35.87	44.57	37.58	37.86	17.3	18.26	nan	840	0.394047619048	840	0.394047619048	nan	nan	10.9296854621862
Contig10020	555	0.398198198198	370	0.397297297297	185	0.4	32	39.82	44.32	35.14	40	43.59	46.04	21.86	21.82	0.37	344	0.270348837209	306	0.264705882353	38	0.315789473684	4.50515874763505
Contig10022	218	0.394495412844	146	0.458904109589	72	0.263888888889	21	39.81	61.64	30.14	26.39	32.34	35.54	13.88	16.66	nan	nan	nan	nan	nan	nan	nan	-8.04705119949434
Contig10023	387	0.444444444444	258	0.484496124031	129	0.364341085271	19	44.44	47.29	49.61	36.43	42.61	44.26	20.21	21.07	0.37	nan	nan	nan	nan	nan	nan	-9.57557466792489
Contig100269	387	0.395348837209	258	0.426356589147	129	0.333333333333	14	39.53	55.81	29.46	33.33	43.74	46.34	20.91	20.41	0.41	nan	nan	nan	nan	nan	nan	-14.4021944989593
Contig100454	441	0.412698412698	294	0.442176870748	147	0.353741496599	50	41.27	49.66	38.78	35.37	41.36	44.35	17.64	20.02	0.33	26	0.307692307692	26	0.307692307692	nan	nan	21.0310955097628
Contig100467	420	0.392857142857	280	0.403571428571	140	0.371428571429	36	39.29	42.86	37.86	37.14	42.36	48	20.86	24.51	0.28	188	0.404255319149	nan	nan	188	0.404255319149	8.31412172416334
Contig10052	282	0.45390070922	188	0.43085106383	94	0.5	91	45.39	43.62	42.55	50	35.22	37.79	17.91	19.99	nan	684	0.327485380117	684	0.327485380117	nan	nan	62.3836265205241
Contig100536	231	0.506493506494	154	0.493506493506	77	0.532467532468	17	50.65	59.74	38.96	53.25	39.92	41.41	19.47	20.82	nan	nan	nan	nan	nan	nan	nan	-11.3300986292192
Contig100568	267	0.464419475655	178	0.556179775281	89	0.280898876404	22	46.44	69.66	41.57	28.09	40.4	47.79	20.92	24.42	nan	nan	nan	nan	nan	nan	nan	-6.01957845833069
Contig100635	381	0.509186351706	254	0.523622047244	127	0.48031496063	16	50.92	54.33	50.39	48.03	46.03	45.85	22.97	23.12	0.31	74	0.527027027027	74	0.527027027027	nan	nan	-11.8515458980101
Contig100670	323	0.427244582043	216	0.444444444444	107	0.392523364486	19	42.99	49.07	39.81	39.25	39.65	42.2	21.26	21.28	0.36	nan	nan	nan	nan	nan	nan	-10.0096346325873
Contig100693	201	0.313432835821	134	0.335820895522	67	0.268656716418	15	31.34	47.76	19.4	26.87	34.46	37.76	12.58	15.52	nan	nan	nan	nan	nan	nan	nan	-10.5463088608545
Contig100707	834	0.396882494005	556	0.404676258993	278	0.381294964029	33	39.69	45.32	35.61	38.13	46.77	50.7	23	25.64	0.25	396	0.330808080808	396	0.330808080808	nan	nan	5.28217513520393
