loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig16127	nan	nan	nan	nan	nan	nan
Contig16125	nan	nan	nan	nan	nan	nan
Contig16124	nan	nan	nan	nan	nan	nan
Contig16123	nan	nan	nan	nan	nan	nan
Contig16122	nan	nan	nan	nan	nan	nan
Contig85008	nan	nan	nan	nan	nan	nan
Contig79549	nan	nan	nan	nan	nan	nan
Contig4511	nan	nan	nan	nan	nan	nan
Contig60540	8750	0.464457142857	3986	0.516808830908	4764	0.420654911839
Contig12805	nan	nan	nan	nan	nan	nan
Contig35744	nan	nan	nan	nan	nan	nan
Contig60547	2614	0.324789594491	2614	0.324789594491	nan	nan
Contig10668	nan	nan	nan	nan	nan	nan
Contig15294	nan	nan	nan	nan	nan	nan
Contig15295	nan	nan	nan	nan	nan	nan
Contig71714	382	0.434554973822	382	0.434554973822	nan	nan
Contig15292	nan	nan	nan	nan	nan	nan
Contig10661	nan	nan	nan	nan	nan	nan
Contig75014	1460	0.372602739726	1460	0.372602739726	nan	nan
Contig78237	nan	nan	nan	nan	nan	nan
Contig8006	nan	nan	nan	nan	nan	nan
Contig70001	nan	nan	nan	nan	nan	nan
Contig8004	nan	nan	nan	nan	nan	nan
Contig95671	nan	nan	nan	nan	nan	nan
Contig79728	nan	nan	nan	nan	nan	nan
Contig57713	nan	nan	nan	nan	nan	nan
Contig57714	nan	nan	nan	nan	nan	nan
Contig89501	nan	nan	nan	nan	nan	nan
Contig53622	158	0.341772151899	158	0.341772151899	nan	nan
Contig53620	nan	nan	nan	nan	nan	nan
Contig89057	nan	nan	nan	nan	nan	nan
Contig53157	nan	nan	nan	nan	nan	nan
Contig69149	nan	nan	nan	nan	nan	nan
Contig69148	nan	nan	nan	nan	nan	nan
Contig87546	nan	nan	nan	nan	nan	nan
Contig74852	nan	nan	nan	nan	nan	nan
Contig60155	nan	nan	nan	nan	nan	nan
Contig60151	nan	nan	nan	nan	nan	nan
Contig41028	nan	nan	nan	nan	nan	nan
Contig45227	804	0.338308457711	804	0.338308457711	nan	nan
Contig15830	nan	nan	nan	nan	nan	nan
Contig74497	nan	nan	nan	nan	nan	nan
Contig57909	1826	0.433734939759	1826	0.433734939759	nan	nan
Contig19321	nan	nan	nan	nan	nan	nan
Contig38791	nan	nan	nan	nan	nan	nan
Contig14404	nan	nan	nan	nan	nan	nan
Contig43778	nan	nan	nan	nan	nan	nan
Contig83596	nan	nan	nan	nan	nan	nan
Contig83597	nan	nan	nan	nan	nan	nan
Contig48505	nan	nan	nan	nan	nan	nan
Contig14409	1266	0.383096366509	1266	0.383096366509	nan	nan
Contig12114	nan	nan	nan	nan	nan	nan
Contig21882	nan	nan	nan	nan	nan	nan
Contig21880	nan	nan	nan	nan	nan	nan
Contig17479	nan	nan	nan	nan	nan	nan
Contig21886	104	0.288461538462	104	0.288461538462	nan	nan
Contig2729	3114	0.620102761721	nan	nan	3114	0.620102761721
Contig2898	nan	nan	nan	nan	nan	nan
Contig2725	nan	nan	nan	nan	nan	nan
Contig2896	nan	nan	nan	nan	nan	nan
Contig2895	nan	nan	nan	nan	nan	nan
Contig2893	nan	nan	nan	nan	nan	nan
Contig2723	458	0.56768558952	458	0.56768558952	nan	nan
Contig2890	1196	0.526755852843	1196	0.526755852843	nan	nan
Contig9710	nan	nan	nan	nan	nan	nan
Contig9712	nan	nan	nan	nan	nan	nan
Contig7554	nan	nan	nan	nan	nan	nan
Contig9840	nan	nan	nan	nan	nan	nan
Contig3418	4996	0.568855084067	nan	nan	4996	0.568855084067
Contig3419	262	0.458015267176	128	0.515625	134	0.402985074627
Contig6174	700	0.388571428571	700	0.388571428571	nan	nan
Contig3411	154	0.467532467532	154	0.467532467532	nan	nan
Contig3412	nan	nan	nan	nan	nan	nan
Contig72766	nan	nan	nan	nan	nan	nan
Contig2685	3542	0.576510446076	3542	0.576510446076	nan	nan
Contig86419	nan	nan	nan	nan	nan	nan
Contig68815	74	0.567567567568	74	0.567567567568	nan	nan
Contig36464	nan	nan	nan	nan	nan	nan
Contig36466	nan	nan	nan	nan	nan	nan
Contig2097	1952	0.501024590164	1952	0.501024590164	nan	nan
Contig22613	nan	nan	nan	nan	nan	nan
Contig2094	nan	nan	nan	nan	nan	nan
Contig55417	nan	nan	nan	nan	nan	nan
Contig58135	nan	nan	nan	nan	nan	nan
Contig57070	nan	nan	nan	nan	nan	nan
Contig66412	nan	nan	nan	nan	nan	nan
Contig20287	nan	nan	nan	nan	nan	nan
Contig20282	nan	nan	nan	nan	nan	nan
Contig64678	nan	nan	nan	nan	nan	nan
Contig27062	nan	nan	nan	nan	nan	nan
Contig40882	440	0.418181818182	440	0.418181818182	nan	nan
Contig40880	nan	nan	nan	nan	nan	nan
Contig95509	nan	nan	nan	nan	nan	nan
Contig3773	3534	0.477645727221	3182	0.455688246386	352	0.676136363636
Contig20289	nan	nan	nan	nan	nan	nan
Contig27065	nan	nan	nan	nan	nan	nan
Contig84810	nan	nan	nan	nan	nan	nan
Contig84365	nan	nan	nan	nan	nan	nan
Contig84816	572	0.458041958042	nan	nan	572	0.458041958042
Contig92959	nan	nan	nan	nan	nan	nan
Contig78900	nan	nan	nan	nan	nan	nan
Contig84819	nan	nan	nan	nan	nan	nan
Contig92404	1660	0.467469879518	1660	0.467469879518	nan	nan
Contig92406	nan	nan	nan	nan	nan	nan
Contig39445	202	0.475247524752	nan	nan	202	0.475247524752
Contig82244	nan	nan	nan	nan	nan	nan
Contig62784	nan	nan	nan	nan	nan	nan
Contig62785	nan	nan	nan	nan	nan	nan
Contig47855	nan	nan	nan	nan	nan	nan
Contig64980	nan	nan	nan	nan	nan	nan
Contig22534	nan	nan	nan	nan	nan	nan
Contig47850	nan	nan	nan	nan	nan	nan
Contig39449	nan	nan	nan	nan	nan	nan
Contig78018	nan	nan	nan	nan	nan	nan
Contig18211	nan	nan	nan	nan	nan	nan
Contig20750	nan	nan	nan	nan	nan	nan
Contig18218	nan	nan	nan	nan	nan	nan
Contig40081	nan	nan	nan	nan	nan	nan
Contig40080	nan	nan	nan	nan	nan	nan
Contig85214	nan	nan	nan	nan	nan	nan
Contig28567	nan	nan	nan	nan	nan	nan
Contig27396	nan	nan	nan	nan	nan	nan
Contig27390	nan	nan	nan	nan	nan	nan
Contig56295	nan	nan	nan	nan	nan	nan
Contig44508	1078	0.539888682746	nan	nan	1078	0.539888682746
Contig5157	184	0.45652173913	178	0.460674157303	nan	nan
Contig5156	nan	nan	nan	nan	nan	nan
Contig5155	262	0.484732824427	262	0.484732824427	nan	nan
Contig49823	nan	nan	nan	nan	nan	nan
Contig5159	5570	0.345242369838	5570	0.345242369838	nan	nan
Contig44507	nan	nan	nan	nan	nan	nan
Contig984	nan	nan	nan	nan	nan	nan
Contig985	1148	0.467770034843	1148	0.467770034843	nan	nan
Contig986	nan	nan	nan	nan	nan	nan
Contig32749	nan	nan	nan	nan	nan	nan
Contig65784	882	0.419501133787	882	0.419501133787	nan	nan
Contig4820	454	0.418502202643	nan	nan	454	0.418502202643
Contig4823	nan	nan	nan	nan	nan	nan
Contig94337	6506	0.367660620965	5894	0.363081099423	612	0.411764705882
Contig4828	142	0.253521126761	50	0.08	92	0.347826086957
Contig4829	346	0.465317919075	346	0.465317919075	nan	nan
Contig94332	nan	nan	nan	nan	nan	nan
Contig95315	nan	nan	nan	nan	nan	nan
Contig8820	nan	nan	nan	nan	nan	nan
Contig18660	5254	0.37171678721	5254	0.37171678721	nan	nan
Contig35912	nan	nan	nan	nan	nan	nan
Contig186	2850	0.557543859649	1106	0.582278481013	1744	0.541857798165
Contig35918	nan	nan	nan	nan	nan	nan
Contig183	nan	nan	nan	nan	nan	nan
Contig65256	164	0.634146341463	nan	nan	164	0.634146341463
Contig65255	nan	nan	nan	nan	nan	nan
Contig94067	nan	nan	nan	nan	nan	nan
Contig73386	nan	nan	nan	nan	nan	nan
Contig66537	nan	nan	nan	nan	nan	nan
Contig36019	nan	nan	nan	nan	nan	nan
Contig90834	nan	nan	nan	nan	nan	nan
Contig73380	nan	nan	nan	nan	nan	nan
Contig51416	nan	nan	nan	nan	nan	nan
Contig54421	nan	nan	nan	nan	nan	nan
Contig23223	nan	nan	nan	nan	nan	nan
Contig23225	nan	nan	nan	nan	nan	nan
Contig23226	nan	nan	nan	nan	nan	nan
Contig51411	nan	nan	nan	nan	nan	nan
Contig91760	nan	nan	nan	nan	nan	nan
Contig52149	nan	nan	nan	nan	nan	nan
Contig24701	nan	nan	nan	nan	nan	nan
Contig81260	nan	nan	nan	nan	nan	nan
Contig52147	nan	nan	nan	nan	nan	nan
Contig60975	nan	nan	nan	nan	nan	nan
Contig363	2624	0.46112804878	nan	nan	2624	0.46112804878
Contig37219	nan	nan	nan	nan	nan	nan
Contig367	2848	0.412570224719	2848	0.412570224719	nan	nan
Contig89336	nan	nan	nan	nan	nan	nan
Contig80244	100	0.46	100	0.46	nan	nan
Contig63958	nan	nan	nan	nan	nan	nan
Contig92122	nan	nan	nan	nan	nan	nan
Contig70106	nan	nan	nan	nan	nan	nan
Contig10423	nan	nan	nan	nan	nan	nan
Contig72926	3858	0.459823742872	2092	0.483747609943	1766	0.431483578709
Contig74260	nan	nan	nan	nan	nan	nan
Contig15336	nan	nan	nan	nan	nan	nan
Contig15626	nan	nan	nan	nan	nan	nan
Contig41908	150	0.453333333333	150	0.453333333333	nan	nan
Contig86409	nan	nan	nan	nan	nan	nan
Contig9276	nan	nan	nan	nan	nan	nan
Contig73969	92	0.391304347826	92	0.391304347826	nan	nan
Contig1702	nan	nan	nan	nan	nan	nan
Contig1701	54	0.333333333333	nan	nan	54	0.333333333333
Contig1706	76	0.289473684211	76	0.289473684211	nan	nan
Contig1707	nan	nan	nan	nan	nan	nan
Contig1705	nan	nan	nan	nan	nan	nan
Contig1255	544	0.571691176471	544	0.571691176471	nan	nan
Contig1256	nan	nan	nan	nan	nan	nan
Contig1250	6284	0.499840865691	6284	0.499840865691	nan	nan
Contig1251	nan	nan	nan	nan	nan	nan
Contig71036	nan	nan	nan	nan	nan	nan
Contig74005	518	0.478764478764	518	0.478764478764	nan	nan
Contig61142	nan	nan	nan	nan	nan	nan
Contig7700	nan	nan	nan	nan	nan	nan
Contig20112	nan	nan	nan	nan	nan	nan
Contig7702	nan	nan	nan	nan	nan	nan
Contig34744	nan	nan	nan	nan	nan	nan
Contig34804	nan	nan	nan	nan	nan	nan
Contig47689	nan	nan	nan	nan	nan	nan
Contig87042	nan	nan	nan	nan	nan	nan
Contig69440	nan	nan	nan	nan	nan	nan
Contig69441	nan	nan	nan	nan	nan	nan
Contig36927	nan	nan	nan	nan	nan	nan
Contig33271	224	0.544642857143	224	0.544642857143	nan	nan
Contig36920	nan	nan	nan	nan	nan	nan
Contig65800	nan	nan	nan	nan	nan	nan
Contig22848	nan	nan	nan	nan	nan	nan
Contig65808	370	0.421621621622	370	0.421621621622	nan	nan
Contig65809	nan	nan	nan	nan	nan	nan
Contig68319	nan	nan	nan	nan	nan	nan
Contig68318	nan	nan	nan	nan	nan	nan
Contig44341	nan	nan	nan	nan	nan	nan
Contig49591	nan	nan	nan	nan	nan	nan
Contig65047	nan	nan	nan	nan	nan	nan
Contig49227	nan	nan	nan	nan	nan	nan
Contig61496	nan	nan	nan	nan	nan	nan
Contig34291	nan	nan	nan	nan	nan	nan
Contig83298	nan	nan	nan	nan	nan	nan
Contig38097	nan	nan	nan	nan	nan	nan
Contig38094	nan	nan	nan	nan	nan	nan
Contig61499	nan	nan	nan	nan	nan	nan
Contig83292	152	0.736842105263	152	0.736842105263	nan	nan
Contig47537	nan	nan	nan	nan	nan	nan
Contig41275	nan	nan	nan	nan	nan	nan
Contig41274	nan	nan	nan	nan	nan	nan
Contig13744	nan	nan	nan	nan	nan	nan
Contig50046	3686	0.53336950624	1036	0.57528957529	2650	0.516981132075
Contig75359	nan	nan	nan	nan	nan	nan
Contig36643	nan	nan	nan	nan	nan	nan
Contig75600	nan	nan	nan	nan	nan	nan
