loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig16126	453	0.456953642384	302	0.486754966887	151	0.397350993377	19	45.70	63.58	33.77	39.74	42.61	45.43	20.23	21.83	0.34
Contig16125	717	0.422594142259	478	0.414225941423	239	0.439330543933	18	42.26	52.30	30.54	43.93	45.02	45.91	22.66	24.29	0.30
Contig12800	226	0.442477876106	151	0.450331125828	75	0.426666666667	22	44.44	55.26	34.67	42.67	36.96	36.51	16.94	17.13	nan
Contig12801	354	0.460451977401	236	0.474576271186	118	0.432203389831	15	46.05	55.08	39.83	43.22	37.66	39.79	18.59	19.95	0.34
Contig15298	249	0.401606425703	166	0.409638554217	83	0.385542168675	6	40.16	45.78	36.14	38.55	35.93	36.82	14.65	15.97	nan
Contig10669	206	0.436893203883	138	0.442028985507	68	0.426470588235	6	44.12	57.97	30.43	42.65	31.64	33.40	13.05	14.60	nan
Contig10667	222	0.427927927928	148	0.472972972973	74	0.337837837838	7	42.79	55.41	39.19	33.78	38.21	39.98	15.92	18.82	nan
Contig15296	372	0.443548387097	248	0.495967741935	124	0.338709677419	13	44.35	57.26	41.94	33.87	36.93	38.33	15.21	17.31	nan
Contig15291	606	0.447194719472	404	0.482673267327	202	0.376237623762	20	44.72	56.93	39.60	37.62	44.90	49.36	21.95	24.25	0.28
Contig11131	249	0.345381526104	166	0.355421686747	83	0.325301204819	65	34.54	33.73	37.35	32.53	34.72	41.58	16.64	16.88	nan
Contig8003	315	0.390476190476	210	0.438095238095	105	0.295238095238	10	39.05	53.33	34.29	29.52	41.16	45.73	21.05	23.18	0.30
Contig8000	221	0.389140271493	148	0.418918918919	73	0.328767123288	7	39.27	47.30	36.49	32.88	36.05	36.65	15.38	15.14	nan
Contig8001	272	0.5625	182	0.538461538462	90	0.611111111111	28	56.67	74.73	32.97	61.11	39.33	42.49	19.38	21.32	nan
Contig409	366	0.409836065574	244	0.434426229508	122	0.360655737705	41	40.98	50.82	36.07	36.07	37.65	40.94	16.70	19.41	0.46
Contig408	451	0.478935698448	301	0.455149501661	150	0.526666666667	86	48.00	55.63	35.33	52.67	30.30	32.32	12.99	14.14	0.54
Contig401	411	0.462287104623	274	0.467153284672	137	0.452554744526	11	46.23	59.85	33.58	45.26	41.22	42.40	19.32	19.73	0.43
Contig400	466	0.388412017167	311	0.48231511254	155	0.2	40	38.92	46.79	49.68	20.00	34.45	44.17	16.44	23.37	0.28
Contig403	1056	0.451704545455	704	0.490056818182	352	0.375	141	45.17	53.98	44.03	37.50	33.97	36.34	12.54	14.67	0.48
Contig402	492	0.426829268293	328	0.475609756098	164	0.329268292683	29	42.68	50.61	44.51	32.93	39.82	43.21	17.64	20.28	0.40
Contig404	531	0.395480225989	354	0.432203389831	177	0.322033898305	14	39.55	59.89	26.55	32.20	38.74	42.74	17.60	19.10	0.38
Contig15616	225	0.395555555556	150	0.446666666667	75	0.293333333333	12	39.56	58.67	30.67	29.33	32.21	36.41	14.96	17.32	nan
Contig17294	286	0.458041958042	191	0.539267015707	95	0.294736842105	9	45.96	56.25	51.58	29.47	39.06	42.55	20.21	24.15	nan
Contig17292	242	0.45867768595	162	0.438271604938	80	0.5	8	46.25	55.56	32.10	50.00	32.97	36.42	15.06	15.61	nan
Contig17293	631	0.451664025357	421	0.489311163895	210	0.37619047619	21	45.24	63.03	34.76	37.62	41.89	46.02	20.94	23.76	0.30
Contig17290	291	0.388316151203	194	0.407216494845	97	0.350515463918	7	38.83	45.36	36.08	35.05	36.65	41.60	17.01	19.44	nan
Contig15835	272	0.488970588235	182	0.505494505495	90	0.455555555556	15	49.26	58.24	42.86	45.56	34.84	34.37	13.30	13.67	nan
Contig19328	302	0.407284768212	202	0.420792079208	100	0.38	11	41.00	51.49	32.67	38.00	34.22	36.76	12.97	15.54	nan
Contig14404	459	0.450980392157	306	0.415032679739	153	0.522875816993	32	45.10	44.44	38.56	52.29	45.95	46.34	21.66	22.19	0.38
Contig14402	224	0.464285714286	150	0.466666666667	74	0.459459459459	11	46.85	54.67	38.67	45.95	36.11	39.51	16.26	17.88	nan
Contig14401	549	0.415300546448	366	0.434426229508	183	0.377049180328	15	41.53	54.64	32.24	37.70	44.03	47.82	21.44	24.53	0.26
Contig6394	226	0.41592920354	151	0.456953642384	75	0.333333333333	8	41.78	60.53	30.67	33.33	38.71	38.61	18.56	20.04	nan
Contig6396	294	0.363945578231	196	0.408163265306	98	0.275510204082	7	36.39	52.04	29.59	27.55	36.34	40.70	15.07	18.50	nan
Contig6397	237	0.464135021097	158	0.563291139241	79	0.26582278481	12	46.41	74.68	37.97	26.58	31.76	35.84	13.73	11.90	nan
Contig17473	219	0.420091324201	146	0.458904109589	73	0.342465753425	7	42.01	53.42	38.36	34.25	37.85	41.51	15.63	18.60	nan
Contig17477	273	0.424908424908	182	0.489010989011	91	0.296703296703	7	42.49	58.24	39.56	29.67	35.86	39.28	16.81	20.74	nan
Contig9633	318	0.446540880503	212	0.462264150943	106	0.415094339623	14	44.65	53.77	38.68	41.51	35.36	35.34	17.10	17.28	0.54
Contig2729	567	0.41975308642	378	0.44708994709	189	0.365079365079	15	41.98	51.32	38.10	36.51	40.79	47.39	18.85	21.26	0.42
Contig2728	561	0.475935828877	374	0.446524064171	187	0.534759358289	30	47.59	56.68	32.62	53.48	37.75	37.87	18.70	19.24	0.34
Contig2899	591	0.414551607445	394	0.428934010152	197	0.38578680203	20	41.46	46.70	39.09	38.58	49.89	52.10	24.33	26.64	0.21
Contig2897	328	0.493902439024	219	0.429223744292	109	0.623853211009	20	49.54	56.36	29.36	62.39	32.34	35.54	14.64	15.13	0.49
Contig2724	495	0.442424242424	330	0.436363636364	165	0.454545454545	26	44.24	52.73	34.55	45.45	47.94	49.19	24.27	25.24	0.31
Contig2895	435	0.395402298851	290	0.431034482759	145	0.324137931034	11	39.54	48.97	37.24	32.41	38.67	44.74	17.45	22.26	0.37
Contig2894	475	0.642105263158	317	0.807570977918	158	0.310126582278	77	64.35	86.16	75.32	31.01	25.35	23.70	9.03	16.17	0.67
Contig2892	232	0.431034482759	155	0.425806451613	77	0.441558441558	10	43.29	55.13	29.87	44.16	39.33	40.27	15.60	17.04	nan
Contig2723	507	0.461538461538	338	0.473372781065	169	0.437869822485	31	46.15	46.75	47.93	43.79	33.88	34.89	12.15	12.79	0.55
