loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig100077	243	0.617283950617	162	0.549382716049	81	0.753086419753	16	61.73	48.15	61.73	75.31	34.30	36.08	16.68	18.87	nan	nan	nan	nan	nan	nan	nan	-12.5708906110702
Contig100144	227	0.581497797357	152	0.453947368421	75	0.84	18	58.67	42.11	48.68	84	31.36	39.04	13.25	14.46	nan	nan	nan	nan	nan	nan	nan	-12.0575299128035
Contig100251	489	0.580777096115	326	0.521472392638	163	0.699386503067	66	58.08	63.19	41.1	69.94	44.48	48.75	24.03	25.12	0.25	nan	nan	nan	nan	nan	nan	36.2283799336135
Contig100420	420	0.566666666667	280	0.460714285714	140	0.778571428571	31	56.67	60.71	31.43	77.86	34.43	42.93	15.99	21.5	0.39	586	0.558020477816	nan	nan	586	0.558020477816	0.714574715886592
Contig100520	1779	0.607082630691	1186	0.476391231029	593	0.868465430017	53	60.71	56.16	39.12	86.85	34.90	52.60	17.87	29.35	0.12	366	0.360655737705	366	0.360655737705	nan	nan	22.4104464573999
Contig100527	607	0.553542009885	405	0.548148148148	202	0.564356435644	21	55.45	68.97	40.59	56.44	46.06	44.89	22.77	21.67	0.35	nan	nan	nan	nan	nan	nan	-7.61118870081035
Contig10053	471	0.581740976645	314	0.557324840764	157	0.630573248408	29	58.17	49.68	61.78	63.06	43.35	47.94	22.45	24.67	0.29	nan	nan	nan	nan	nan	nan	0.658261258247137
Contig100548	222	0.567567567568	148	0.486486486486	74	0.72972972973	23	56.76	51.35	45.95	72.97	34.89	42.61	14	18.05	nan	188	0.335106382979	188	0.335106382979	nan	nan	-7.63899301293247
Contig100560	228	0.513157894737	152	0.401315789474	76	0.736842105263	10	51.32	53.95	26.32	73.68	33.87	39.52	16.62	20.93	nan	nan	nan	nan	nan	nan	nan	-16.9354523573835
Contig100613	926	0.548596112311	618	0.482200647249	308	0.681818181818	34	54.98	57.28	39.16	68.18	45.31	50.07	22.73	25.34	0.25	nan	nan	nan	nan	nan	nan	3.36657004742494
Contig100707	342	0.353801169591	228	0.381578947368	114	0.298245614035	63	35.38	38.6	37.72	29.82	41.13	45.47	17.85	21.4	0.4	178	0.359550561798	nan	nan	178	0.359550561798	36.9855802983653
Contig100730	716	0.504189944134	478	0.435146443515	238	0.642857142857	84	50.56	49.79	37.24	64.29	37.41	38.47	18.15	17.12	0.46	nan	nan	nan	nan	nan	nan	54.8961862348877
Contig100808	293	0.549488054608	196	0.464285714286	97	0.721649484536	19	55.33	55.1	37.76	72.16	38.73	43.85	20.38	21.41	nan	nan	nan	nan	nan	nan	nan	-11.3804886172421
Contig100834	203	0.546798029557	136	0.441176470588	67	0.761194029851	17	55.22	57.35	30.88	76.12	35.76	40.83	16.19	17.46	nan	nan	nan	nan	nan	nan	nan	-12.4739963435124
Contig100904	372	0.604838709677	248	0.524193548387	124	0.766129032258	21	60.48	58.87	45.97	76.61	38.22	47.43	18.52	24.74	0.27	nan	nan	nan	nan	nan	nan	-8.63649157723945
Contig100908	198	0.525252525253	132	0.492424242424	66	0.590909090909	36	52.53	54.55	43.94	59.09	39.33	39.91	19.01	18.65	nan	56	0.357142857143	56	0.357142857143	nan	nan	5.38513712534121
Contig100925	457	0.564551422319	305	0.459016393443	152	0.776315789474	25	56.58	54.9	36.84	77.63	37.09	44.25	16.95	23.14	0.31	nan	nan	nan	nan	nan	nan	-5.23297058853586
Contig100940	209	0.598086124402	140	0.571428571429	69	0.652173913043	18	60.39	65.71	48.57	65.22	34.12	38.69	15.46	18.75	nan	nan	nan	nan	nan	nan	nan	-10.0628206333356
Contig100943	201	0.467661691542	134	0.455223880597	67	0.492537313433	20	46.77	41.79	49.25	49.25	38.43	41.51	19	20.11	nan	nan	nan	nan	nan	nan	nan	-10.1044115311474
Contig100944	582	0.623711340206	388	0.536082474227	194	0.798969072165	21	62.37	62.89	44.33	79.9	35.04	45.63	16.73	24.53	0.23	nan	nan	nan	nan	nan	nan	-8.07145392351725
Contig100978	360	0.5	240	0.391666666667	120	0.716666666667	27	50	43.33	35	71.67	36.52	38.97	18.41	19.9	0.42	nan	nan	nan	nan	nan	nan	0.548140545056309
Contig10098	765	0.569934640523	510	0.503921568627	255	0.701960784314	20	56.99	57.65	43.14	70.2	45.31	49.95	22.83	25.87	0.25	nan	nan	nan	nan	nan	nan	-10.4654558918425
Contig101006	258	0.658914728682	172	0.697674418605	86	0.581395348837	26	65.89	72.09	67.44	58.14	41.81	40.48	24.56	24.03	nan	nan	nan	nan	nan	nan	nan	-6.73082598701249
Contig101034	961	0.563995837669	641	0.511700468019	320	0.66875	30	56.46	57.94	44.38	66.88	45.61	49.83	20.43	23.68	0.36	nan	nan	nan	nan	nan	nan	-0.215843477441325
Contig101068	639	0.608763693271	426	0.565727699531	213	0.694835680751	36	60.88	53.52	59.62	69.48	39.51	45.25	19.98	21.71	0.38	66	0.484848484848	nan	nan	66	0.484848484848	7.84412145535632
Contig101129	883	0.577576443941	589	0.483870967742	294	0.765306122449	31	57.82	55.59	41.16	76.53	37.77	45.90	18.89	24.01	0.27	610	0.496721311475	nan	nan	610	0.496721311475	0.361849048984549
Contig101157	208	0.576923076923	139	0.446043165468	69	0.840579710145	17	57.97	48.57	40.58	84.06	31.12	41.30	13.42	20.33	nan	nan	nan	nan	nan	nan	nan	-12.7228809649888
Contig101177	248	0.487903225806	166	0.451807228916	82	0.560975609756	13	49.19	50.6	39.76	56.1	39.59	39.46	17.72	17.47	nan	nan	nan	nan	nan	nan	nan	-16.9746340639796
Contig10127	336	0.627976190476	224	0.526785714286	112	0.830357142857	25	62.8	62.5	42.86	83.04	31.49	43.19	13.88	21.62	0.37	220	0.359090909091	220	0.359090909091	nan	nan	-4.50730564182982
Contig101272	352	0.650568181818	235	0.514893617021	117	0.923076923077	29	65.24	60.17	42.74	92.31	28.58	43.41	14.41	18.25	0.35	nan	nan	nan	nan	nan	nan	-1.0816646775788
Contig10130	532	0.464285714286	355	0.433802816901	177	0.525423728814	25	46.52	55.62	31.07	52.54	44.94	44.28	20.43	20.04	0.45	216	0.458333333333	nan	nan	216	0.458333333333	-4.01407709599501
Contig101306	657	0.590563165906	438	0.504566210046	219	0.762557077626	18	59.06	63.47	37.44	76.26	40.83	49.58	19.87	25.17	0.27	nan	nan	nan	nan	nan	nan	-12.4501551241265
Contig101307	270	0.540740740741	180	0.461111111111	90	0.7	26	54.07	55.56	36.67	70	43.35	46.35	21.48	23.6	nan	236	0.347457627119	nan	nan	236	0.347457627119	-4.29703833291707
Contig101327	364	0.554945054945	243	0.444444444444	121	0.776859504132	11	55.65	59.02	29.75	77.69	36.17	40.58	18.8	19.87	0.32	nan	nan	nan	nan	nan	nan	-18.6452346266161
Contig101330	263	0.61216730038	176	0.511363636364	87	0.816091954023	14	61.69	65.91	36.36	81.61	34.62	41.80	16.6	22.87	nan	nan	nan	nan	nan	nan	nan	-16.229134964189
Contig101364	546	0.556776556777	364	0.453296703297	182	0.763736263736	23	55.68	54.95	35.71	76.37	38.53	47.02	21.05	24.24	0.26	724	0.411602209945	724	0.411602209945	nan	nan	-7.03290426183652
Contig101522	921	0.635179153094	614	0.524429967427	307	0.85667752443	46	63.52	60.26	44.63	85.67	34.48	50.84	16.56	25.22	0.27	352	0.659090909091	352	0.659090909091	nan	nan	16.3753051690116
Contig101532	1432	0.349860335196	955	0.357068062827	477	0.335429769392	39	35.01	43.51	27.88	33.54	48.59	52.89	23.31	26.54	0.24	nan	nan	nan	nan	nan	nan	13.7632907031714
Contig101552	258	0.511627906977	172	0.459302325581	86	0.616279069767	54	51.16	47.67	44.19	61.63	35.92	37.22	17.53	16.81	nan	nan	nan	nan	nan	nan	nan	23.7579618341931
Contig101566	391	0.572890025575	261	0.555555555556	130	0.607692307692	20	57.44	61.83	49.23	60.77	47.93	50.88	23.63	25.34	0.31	nan	nan	nan	nan	nan	nan	-8.38828232357673
