loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig80016	557	0.472172351885	372	0.448924731183	185	0.518918918919	7	47.39	50.54	39.25	51.89	47.69	46.90	25.38	24.31	0.28
Contig16120	621	0.479871175523	414	0.567632850242	207	0.304347826087	17	47.99	60.39	53.14	30.43	41.58	43.74	19.80	21.89	0.36
Contig20214	393	0.455470737913	262	0.450381679389	131	0.465648854962	6	45.55	52.67	37.40	46.56	47.33	46.57	23.54	22.66	0.31
Contig26825	570	0.412280701754	380	0.394736842105	190	0.447368421053	9	41.23	48.42	30.53	44.74	43.43	43.83	20.26	20.06	0.38
Contig26827	198	0.494949494949	132	0.492424242424	66	0.5	24	49.49	56.06	42.42	50.00	40.69	40.52	20.20	22.56	nan
Contig26829	210	0.528571428571	140	0.45	70	0.685714285714	7	52.86	54.29	35.71	68.57	31.10	34.67	14.68	16.84	nan
Contig38976	255	0.61568627451	170	0.758823529412	85	0.329411764706	7	61.57	78.82	72.94	32.94	35.62	40.04	21.51	24.58	nan
Contig38977	340	0.505882352941	227	0.488986784141	113	0.53982300885	7	50.74	50.88	46.90	53.98	42.05	41.13	21.46	21.10	0.36
Contig38972	399	0.428571428571	266	0.443609022556	133	0.398496240602	6	42.86	54.14	34.59	39.85	44.48	47.52	21.23	23.33	0.31
Contig18459	264	0.416666666667	176	0.386363636364	88	0.477272727273	6	41.67	48.86	28.41	47.73	41.57	43.51	17.89	18.00	nan
Contig12808	431	0.457076566125	288	0.475694444444	143	0.41958041958	16	45.92	47.92	47.22	41.96	48.01	49.20	24.25	25.15	0.30
Contig12805	292	0.486301369863	195	0.517948717949	97	0.422680412371	8	48.80	51.02	52.58	42.27	39.86	41.27	18.51	19.18	nan
Contig79547	274	0.434306569343	183	0.431693989071	91	0.43956043956	6	43.59	44.57	41.76	43.96	38.58	42.59	17.20	18.30	nan
Contig35747	498	0.489959839357	332	0.5	166	0.469879518072	7	49.00	60.24	39.76	46.99	46.07	47.97	23.64	24.26	0.29
Contig10669	255	0.392156862745	170	0.405882352941	85	0.364705882353	8	39.22	52.94	28.24	36.47	37.08	40.54	15.51	18.48	nan
Contig10667	423	0.522458628842	282	0.517730496454	141	0.531914893617	8	52.25	48.94	54.61	53.19	45.90	45.67	21.37	20.52	0.37
Contig10660	731	0.517099863201	488	0.465163934426	243	0.621399176955	9	51.85	49.18	43.85	62.14	47.12	49.56	26.59	26.85	0.23
Contig11138	222	0.472972972973	148	0.425675675676	74	0.567567567568	7	47.30	52.70	32.43	56.76	39.15	40.14	19.83	18.93	nan
Contig69850	387	0.503875968992	258	0.453488372093	129	0.604651162791	6	50.39	44.96	45.74	60.47	39.29	40.72	16.49	16.99	0.49
Contig8009	3483	0.495262704565	2322	0.450043066322	1161	0.585701981051	16	49.53	56.50	33.51	58.57	51.56	51.77	26.41	25.87	0.24
Contig95676	666	0.492492492492	444	0.5	222	0.477477477477	17	49.25	57.66	42.34	47.75	43.34	42.78	20.92	21.12	0.41
Contig8007	464	0.439655172414	310	0.474193548387	154	0.37012987013	7	44.16	61.29	33.55	37.01	39.92	42.28	16.84	18.69	0.45
Contig95675	492	0.510162601626	328	0.40243902439	164	0.725609756098	8	51.02	51.83	28.66	72.56	42.72	48.60	19.96	23.03	0.40
Contig8003	539	0.465677179963	360	0.477777777778	179	0.441340782123	9	46.74	52.22	43.33	44.13	48.73	49.08	24.04	24.09	0.28
Contig8001	852	0.50117370892	568	0.463028169014	284	0.577464788732	15	50.12	54.58	38.03	57.75	48.61	47.80	25.30	24.64	0.28
Contig49830	543	0.453038674033	362	0.430939226519	181	0.497237569061	10	45.30	59.67	26.52	49.72	41.52	44.39	16.97	18.61	0.53
Contig56958	279	0.494623655914	186	0.435483870968	93	0.612903225806	12	49.46	49.46	37.63	61.29	38.25	40.43	16.92	18.21	nan
Contig79728	309	0.472491909385	206	0.432038834951	103	0.553398058252	6	47.25	47.57	38.83	55.34	39.64	38.54	17.88	18.43	0.42
Contig57713	213	0.460093896714	142	0.443661971831	71	0.492957746479	6	46.01	46.48	42.25	49.30	37.91	38.38	15.67	15.89	nan
Contig403	2847	0.5138742536	1898	0.492096944152	949	0.557428872497	17	51.39	49.84	48.58	55.74	52.33	53.74	28.83	27.87	0.18
Contig402	825	0.522424242424	550	0.5	275	0.567272727273	37	52.24	57.45	42.55	56.73	48.37	49.77	25.11	24.82	0.30
Contig405	579	0.452504317789	386	0.463730569948	193	0.430051813472	26	45.25	52.33	40.41	43.01	45.32	46.89	22.65	23.69	0.31
Contig407	384	0.4609375	256	0.4296875	128	0.5234375	38	46.09	46.09	39.84	52.34	46.98	46.93	21.95	21.61	0.34
Contig37426	289	0.477508650519	193	0.471502590674	96	0.489583333333	6	47.92	53.61	40.62	48.96	40.00	42.87	20.78	21.59	nan
Contig37423	444	0.481981981982	296	0.486486486486	148	0.472972972973	10	48.20	56.08	41.22	47.30	47.08	46.52	23.55	24.71	0.21
Contig15440	394	0.489847715736	263	0.456273764259	131	0.557251908397	6	49.11	52.27	38.93	55.73	44.62	45.55	21.50	21.61	0.34
Contig53152	444	0.477477477477	296	0.435810810811	148	0.560810810811	14	47.75	47.97	39.19	56.08	47.22	47.54	22.26	22.47	0.39
Contig89056	396	0.575757575758	264	0.537878787879	132	0.651515151515	11	57.58	56.06	51.52	65.15	43.62	47.23	21.16	23.66	0.28
Contig89055	294	0.472789115646	196	0.484693877551	98	0.448979591837	6	47.28	54.08	42.86	44.90	41.90	42.64	20.04	19.87	nan
Contig58863	678	0.426253687316	452	0.440265486726	226	0.398230088496	6	42.63	49.12	38.94	39.82	46.96	48.91	21.67	22.89	0.29
Contig88679	659	0.427921092564	440	0.429545454545	219	0.424657534247	8	42.92	50.00	35.91	42.47	41.03	42.36	18.33	19.20	0.40
Contig69149	477	0.513626834382	318	0.540880503145	159	0.459119496855	11	51.36	62.89	45.28	45.91	40.65	40.30	22.03	22.35	0.35
Contig92885	591	0.489001692047	394	0.47461928934	197	0.517766497462	9	48.90	54.82	40.10	51.78	44.70	44.46	23.37	22.14	0.33
Contig31111	243	0.473251028807	162	0.425925925926	81	0.567901234568	7	47.33	55.56	29.63	56.79	40.30	39.68	19.84	19.51	nan
Contig88671	342	0.558479532164	228	0.5	114	0.675438596491	11	55.85	54.39	45.61	67.54	44.26	48.00	24.22	24.92	0.25
Contig63163	567	0.493827160494	378	0.468253968254	189	0.544973544974	7	49.38	60.32	33.33	54.50	43.34	44.57	21.86	21.94	0.36
Contig924	344	0.5	230	0.473913043478	114	0.552631578947	10	50.29	47.83	46.96	55.26	38.18	40.96	19.33	17.20	0.55
Contig31441	297	0.474747474747	198	0.459595959596	99	0.505050505051	6	47.47	52.53	39.39	50.51	40.28	40.02	17.05	17.68	nan
Contig18853	278	0.424460431655	186	0.451612903226	92	0.369565217391	9	42.75	47.31	43.01	36.96	42.54	44.65	19.20	20.57	nan
Contig925	819	0.526251526252	546	0.485347985348	273	0.608058608059	23	52.63	59.34	37.73	60.81	44.90	47.64	22.29	21.89	0.34
Contig17294	390	0.453846153846	260	0.473076923077	130	0.415384615385	7	45.38	53.85	40.77	41.54	42.29	43.81	20.15	21.14	0.40
Contig46616	320	0.565625	214	0.42523364486	106	0.849056603774	10	56.92	52.34	32.71	84.91	32.07	42.77	16.19	20.88	0.34
Contig57670	273	0.417582417582	182	0.428571428571	91	0.395604395604	6	41.76	38.46	47.25	39.56	38.39	40.69	17.61	17.47	nan
Contig3151	1060	0.481132075472	707	0.446958981612	353	0.549575070822	10	48.16	53.11	36.26	54.96	52.69	53.54	26.98	27.07	0.22
Contig57672	385	0.618181818182	257	0.63813229572	128	0.578125	7	61.98	65.12	62.50	57.81	44.68	44.42	22.60	21.81	0.35
Contig13834	1260	0.546825396825	840	0.566666666667	420	0.507142857143	12	54.68	55.95	57.38	50.71	53.18	53.43	27.23	27.12	0.24
Contig41020	569	0.453427065026	380	0.481578947368	189	0.396825396825	9	45.50	60.00	36.32	39.68	46.31	48.96	21.86	22.76	0.30
Contig41027	314	0.5	210	0.495238095238	104	0.509615384615	7	50.32	54.29	44.76	50.96	38.36	39.91	16.95	18.27	0.45
Contig74495	310	0.432258064516	207	0.400966183575	103	0.495145631068	7	43.37	49.04	31.07	49.51	38.23	39.24	17.78	17.87	0.55
Contig46966	360	0.469444444444	240	0.458333333333	120	0.491666666667	7	46.94	51.67	40.00	49.17	42.24	42.85	19.83	21.16	0.41
Contig89429	1494	0.454484605087	996	0.453815261044	498	0.455823293173	12	45.45	53.41	37.35	45.58	51.44	52.64	26.06	26.66	0.21
Contig46031	369	0.466124661247	246	0.451219512195	123	0.49593495935	8	46.61	64.23	26.02	49.59	46.59	45.55	21.75	21.79	0.32
Contig46033	408	0.492647058824	272	0.5	136	0.477941176471	10	49.26	66.18	33.82	47.79	40.00	41.50	20.80	21.53	0.40
Contig19322	375	0.554666666667	250	0.492	125	0.68	10	55.47	62.40	36.00	68.00	37.72	41.62	17.92	18.94	0.45
Contig46039	459	0.631808278867	306	0.627450980392	153	0.640522875817	8	63.18	71.24	54.25	64.05	44.96	49.41	26.62	26.24	0.23
Contig6398	1194	0.455611390285	796	0.45351758794	398	0.459798994975	10	45.56	59.80	30.90	45.98	45.28	45.79	20.65	20.97	0.36
Contig6399	462	0.504329004329	308	0.487012987013	154	0.538961038961	69	50.43	58.44	38.96	53.90	44.62	45.17	23.44	23.60	0.31
Contig14404	246	0.414634146341	164	0.426829268293	82	0.390243902439	6	41.46	53.66	31.71	39.02	37.24	37.69	16.87	16.18	nan
