loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig29709	501	0.449101796407	334	0.413173652695	167	0.520958083832	12	44.91	49.10	33.53	52.10	45.34	44.12	21.11	20.42	0.43
Contig16129	447	0.514541387025	298	0.469798657718	149	0.604026845638	8	51.45	53.02	40.94	60.40	44.31	46.61	21.94	22.09	0.37
Contig16127	222	0.527027027027	148	0.486486486486	74	0.608108108108	5	52.70	55.41	41.89	60.81	36.22	38.61	17.14	18.66	nan
Contig16126	213	0.352112676056	142	0.330985915493	71	0.394366197183	5	35.21	46.48	19.72	39.44	35.20	35.76	13.47	13.68	nan
Contig16124	399	0.639097744361	266	0.654135338346	133	0.609022556391	6	63.91	69.92	60.90	60.90	42.51	46.01	24.55	25.02	0.32
Contig29701	1272	0.573113207547	848	0.540094339623	424	0.639150943396	15	57.31	67.69	40.33	63.92	45.03	49.05	23.88	24.21	0.29
Contig29700	402	0.554726368159	268	0.526119402985	134	0.611940298507	12	55.47	54.48	50.75	61.19	42.77	45.17	20.48	21.08	0.37
Contig16121	252	0.353174603175	168	0.380952380952	84	0.297619047619	6	35.32	45.24	30.95	29.76	38.12	44.47	16.52	17.41	nan
Contig38978	567	0.396825396825	378	0.433862433862	189	0.322751322751	10	39.68	51.85	34.92	32.28	45.35	51.91	22.23	24.69	0.26
Contig38979	634	0.458990536278	423	0.442080378251	211	0.492890995261	10	45.97	50.47	37.91	49.29	49.46	51.18	24.17	24.43	0.26
Contig26827	507	0.520710059172	338	0.497041420118	169	0.568047337278	10	52.07	60.95	38.46	56.80	39.96	42.60	18.35	18.36	0.48
Contig26826	315	0.498412698413	210	0.561904761905	105	0.371428571429	6	49.84	54.29	58.10	37.14	36.29	42.00	20.22	22.90	0.33
Contig20666	468	0.519230769231	312	0.503205128205	156	0.551282051282	11	51.92	59.62	41.03	55.13	46.67	47.49	23.33	23.28	0.35
Contig21553	255	0.411764705882	170	0.411764705882	85	0.411764705882	5	41.18	56.47	25.88	41.18	36.71	40.62	14.50	16.33	nan
Contig19802	540	0.6	360	0.625	180	0.55	12	60.00	63.33	61.67	55.00	41.75	40.70	21.26	22.45	0.31
Contig38973	2295	0.489760348584	1530	0.477777777778	765	0.513725490196	17	48.98	55.03	40.52	51.37	51.95	52.55	25.63	25.42	0.30
Contig35748	232	0.456896551724	155	0.445161290323	77	0.480519480519	6	45.89	51.28	37.66	48.05	36.41	35.97	14.25	14.78	nan
Contig18458	219	0.34703196347	146	0.36301369863	73	0.315068493151	5	34.70	41.10	31.51	31.51	34.99	38.54	14.89	17.96	nan
