loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig16126	399	0.571428571429	266	0.548872180451	133	0.616541353383	21	57.14	52.63	57.14	61.65	42.69	44.18	21.67	22.31	0.35
Contig29701	273	0.494505494505	182	0.489010989011	91	0.505494505495	30	49.45	58.24	39.56	50.55	38.34	38.93	18.71	18.69	nan
Contig16122	1740	0.447126436782	1160	0.447413793103	580	0.446551724138	24	44.71	51.72	37.76	44.66	52.66	54.39	28.13	27.87	0.19
Contig26829	228	0.350877192982	152	0.381578947368	76	0.289473684211	12	35.09	39.47	36.84	28.95	37.02	39.84	18.34	21.77	nan
Contig38972	222	0.481981981982	148	0.513513513514	74	0.418918918919	13	48.20	59.46	43.24	41.89	41.77	44.33	21.18	23.72	nan
Contig35745	699	0.487839771102	466	0.480686695279	233	0.502145922747	14	48.78	56.22	39.91	50.21	47.59	47.20	21.61	21.67	0.38
Contig10669	624	0.533653846154	416	0.497596153846	208	0.605769230769	58	53.37	49.52	50.00	60.58	45.68	47.09	22.30	22.30	0.40
Contig10664	443	0.650112866817	296	0.523648648649	147	0.904761904762	21	65.31	64.19	40.54	90.48	31.03	47.11	16.60	24.14	0.27
Contig10662	420	0.490476190476	280	0.464285714286	140	0.542857142857	35	49.05	55.71	37.14	54.29	47.84	48.18	23.37	23.42	0.36
Contig50591	666	0.630630630631	444	0.461711711712	222	0.968468468468	25	63.06	57.21	35.14	96.85	26.85	45.71	13.41	23.74	0.28
Contig8000	585	0.413675213675	390	0.446153846154	195	0.348717948718	15	41.37	50.26	38.97	34.87	41.18	44.98	19.15	20.79	0.34
Contig409	852	0.433098591549	568	0.452464788732	284	0.394366197183	152	43.31	46.48	44.01	39.44	46.59	47.28	21.83	22.82	0.36
Contig57718	1173	0.395566922421	782	0.407928388747	391	0.37084398977	31	39.56	50.90	30.69	37.08	49.20	53.46	24.75	27.53	0.18
Contig402	387	0.387596899225	258	0.406976744186	129	0.348837209302	282	38.76	41.09	40.31	34.88	39.77	44.13	19.00	21.21	0.33
Contig407	1236	0.382686084142	824	0.427184466019	412	0.293689320388	24	38.27	49.51	35.92	29.37	45.63	53.43	24.78	28.42	0.20
Contig53153	357	0.52380952381	238	0.512605042017	119	0.546218487395	12	52.38	62.18	40.34	54.62	42.01	43.37	20.48	20.24	0.42
Contig53157	297	0.468013468013	198	0.469696969697	99	0.464646464646	13	46.80	46.46	47.47	46.46	42.66	44.40	21.38	21.35	nan
Contig53156	570	0.478947368421	380	0.502631578947	190	0.431578947368	13	47.89	48.42	52.11	43.16	48.20	47.44	23.41	24.86	0.26
Contig31118	429	0.475524475524	286	0.416083916084	143	0.594405594406	13	47.55	50.35	32.87	59.44	42.69	44.73	19.65	19.14	0.46
Contig31112	843	0.430604982206	562	0.421708185053	281	0.448398576512	19	43.06	45.91	38.43	44.84	48.44	49.90	22.45	23.00	0.33
Contig24281	1422	0.477496483826	948	0.492616033755	474	0.447257383966	136	47.75	57.38	41.14	44.73	53.68	54.07	28.48	28.34	0.17
Contig60157	222	0.459459459459	148	0.506756756757	74	0.364864864865	12	45.95	51.35	50.00	36.49	36.31	38.83	20.13	19.04	nan
Contig57905	349	0.624641833811	233	0.536480686695	116	0.801724137931	11	62.64	64.96	42.24	80.17	30.19	47.04	15.55	19.01	0.39
Contig57676	405	0.476543209877	270	0.514814814815	135	0.4	14	47.65	57.78	45.19	40.00	42.56	43.72	19.41	21.16	0.40
Contig6399	1152	0.581597222222	768	0.505208333333	384	0.734375	19	58.16	60.16	40.89	73.44	40.79	48.48	19.18	23.23	0.31
Contig6391	414	0.502415458937	276	0.442028985507	138	0.623188405797	43	50.24	53.62	34.78	62.32	42.87	45.09	18.46	20.09	0.33
Contig48050	216	0.444444444444	144	0.451388888889	72	0.430555555556	12	44.44	52.78	37.50	43.06	36.81	38.44	16.30	17.41	nan
Contig6395	600	0.435	400	0.455	200	0.395	12	43.50	54.50	36.50	39.50	47.95	49.82	24.60	24.75	0.26
Contig6396	342	0.546783625731	228	0.521929824561	114	0.59649122807	19	54.68	54.39	50.00	59.65	39.53	41.50	18.10	18.04	0.50
Contig6397	1920	0.418229166667	1280	0.41328125	640	0.428125	24	41.82	48.28	34.38	42.81	49.90	52.55	25.42	27.28	0.18
