loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig1	639	0.568075117371	426	0.504694835681	213	0.694835680751	149	56.81	58.69	42.25	69.48	41.27	46.36	22.57	25.82	0.32	906	0.602649006623	906	0.602649006623	nan	nan	113.887443324024
Contig100009	457	0.54704595186	305	0.540983606557	152	0.559210526316	16	54.82	69.93	38.16	55.92	43.74	45.8	21.35	22.61	0.42	nan	nan	nan	nan	nan	nan	-18.1883647551669
Contig100010	228	0.473684210526	152	0.401315789474	76	0.618421052632	13	47.37	47.37	32.89	61.84	35.78	37.36	16.68	15.64	nan	nan	nan	nan	nan	nan	nan	-13.8595530112531
Contig100035	210	0.561904761905	140	0.471428571429	70	0.742857142857	17	56.19	55.71	38.57	74.29	35.17	40.09	15.57	18.66	nan	nan	nan	nan	nan	nan	nan	-16.7769203317648
Contig100043	327	0.544342507645	218	0.454128440367	109	0.724770642202	19	54.43	58.72	32.11	72.48	33.35	36.63	13.87	15.26	0.57	nan	nan	nan	nan	nan	nan	-13.582908505935
Contig100053	468	0.467948717949	312	0.435897435897	156	0.532051282051	16	46.79	48.08	39.1	53.21	44.2	46.24	22.66	23.01	0.33	nan	nan	nan	nan	nan	nan	-14.7250446681239
Contig100054	351	0.495726495726	234	0.418803418803	117	0.649572649573	33	49.57	55.56	28.21	64.96	36.27	38.53	16.07	16.76	0.45	nan	nan	nan	nan	nan	nan	4.2749832311789
Contig100059	222	0.342342342342	148	0.378378378378	74	0.27027027027	13	34.23	41.89	33.78	27.03	35.4	41.45	16.21	18.64	nan	nan	nan	nan	nan	nan	nan	-12.1115166703361
Contig10006	222	0.608108108108	148	0.52027027027	74	0.783783783784	13	60.81	64.86	39.19	78.38	28.51	35.22	12.73	16.18	nan	nan	nan	nan	nan	nan	nan	-21.927374962363
Contig100088	256	0.5703125	171	0.53216374269	85	0.647058823529	16	57.25	55.81	50.59	64.71	34.03	36.24	15.89	16.99	nan	nan	nan	nan	nan	nan	nan	-18.529245661896
Contig100107	209	0.535885167464	140	0.528571428571	69	0.550724637681	13	54.11	52.86	52.86	55.07	33.17	33.43	19.68	20.37	nan	nan	nan	nan	nan	nan	nan	-21.6630015771089
Contig100114	239	0.539748953975	160	0.48125	79	0.658227848101	15	54.43	53.75	42.5	65.82	38.94	40.38	18.43	19.08	nan	nan	nan	nan	nan	nan	nan	-19.3307873618914
Contig100158	243	0.395061728395	162	0.450617283951	81	0.283950617284	12	39.51	46.91	43.21	28.4	36.79	42.3	15.93	20.98	nan	nan	nan	nan	nan	nan	nan	-20.2831249659109
Contig100188	459	0.43137254902	306	0.437908496732	153	0.418300653595	24	43.14	50.98	36.6	41.83	43.6	46.21	19.85	21.21	0.45	284	0.327464788732	284	0.327464788732	nan	nan	-6.94871727690875
Contig100190	219	0.51598173516	146	0.561643835616	73	0.424657534247	18	51.6	67.12	45.21	42.47	41.63	38.3	21.52	21.18	nan	nan	nan	nan	nan	nan	nan	-15.4617226474294
Contig1002	210	0.495238095238	140	0.507142857143	70	0.471428571429	22	49.52	50	51.43	47.14	40.78	43.05	21.21	21.08	nan	572	0.339160839161	572	0.339160839161	nan	nan	-13.1199223179115
Contig100222	220	0.472727272727	147	0.462585034014	73	0.493150684932	11	47.49	50	42.47	49.32	38.53	40.16	19.96	19.7	nan	nan	nan	nan	nan	nan	nan	-22.1940027567703
Contig100226	1059	0.417374881964	706	0.440509915014	353	0.371104815864	26	41.74	53.54	34.56	37.11	48.47	51.1	23.65	25.16	0.26	362	0.364640883978	362	0.364640883978	nan	nan	-5.23859615641289
Contig100236	366	0.456284153005	244	0.479508196721	122	0.409836065574	17	45.63	51.64	44.26	40.98	44.84	46.89	21.43	22.15	0.35	nan	nan	nan	nan	nan	nan	-17.2416741739765
Contig100243	221	0.402714932127	148	0.486486486486	73	0.232876712329	21	40.64	44.59	52.7	23.29	31.05	35.67	14.65	18.4	nan	nan	nan	nan	nan	nan	nan	-13.5754985019002
Contig100244	233	0.437768240343	156	0.435897435897	77	0.441558441558	20	44.16	42.31	44.87	44.16	36.73	38.77	17.96	17.29	nan	nan	nan	nan	nan	nan	nan	-10.7250446681239
Contig100274	207	0.545893719807	138	0.608695652174	69	0.420289855072	16	54.59	65.22	56.52	42.03	37.16	36.97	20.55	21.55	nan	nan	nan	nan	nan	nan	nan	-16.1746318480918
Contig100280	339	0.578171091445	226	0.513274336283	113	0.70796460177	19	57.82	55.75	46.9	70.8	38.32	45.29	19.39	21.87	0.32	nan	nan	nan	nan	nan	nan	-16.0735287754735
Contig100286	656	0.393292682927	438	0.381278538813	218	0.417431192661	27	39.45	34.25	42.01	41.74	41.59	44.84	22.25	22.01	0.41	nan	nan	nan	nan	nan	nan	1.71047880970788
Contig1003	401	0.583541147132	268	0.488805970149	133	0.774436090226	166	58.65	54.48	43.28	77.44	36.37	44.94	16.51	20.09	0.45	nan	nan	nan	nan	nan	nan	131.323672278236
Contig10033	282	0.556737588652	188	0.558510638298	94	0.553191489362	20	55.67	72.34	39.36	55.32	39.74	39.72	18.21	16.4	nan	nan	nan	nan	nan	nan	nan	-13.5651315704807
Contig100343	360	0.597222222222	240	0.541666666667	120	0.708333333333	64	59.72	60	48.33	70.83	39.42	45.79	20.74	22.95	0.32	nan	nan	nan	nan	nan	nan	29.8373836397384
Contig100363	468	0.459401709402	312	0.5	156	0.378205128205	21	45.94	61.54	38.46	37.82	43.01	45.23	21.28	22.98	0.3	nan	nan	nan	nan	nan	nan	-14.0472113486402
Contig100389	315	0.431746031746	210	0.428571428571	105	0.438095238095	16	43.17	49.52	36.19	43.81	42.9	44.64	19.24	21.66	0.28	nan	nan	nan	nan	nan	nan	-13.9005147299445
Contig10039	206	0.538834951456	138	0.536231884058	68	0.544117647059	13	54.41	63.77	43.48	54.41	36.95	35.43	15.12	14.94	nan	nan	nan	nan	nan	nan	nan	-21.3708546793068
Contig1004	543	0.48802946593	362	0.486187845304	181	0.491712707182	16	48.8	53.59	43.65	49.17	39.87	39.82	19.25	19.17	0.45	nan	nan	nan	nan	nan	nan	-18.5621817146823
Contig100427	576	0.559027777778	384	0.434895833333	192	0.807291666667	37	55.9	55.21	31.77	80.73	35.96	48.14	17.9	24.23	0.32	nan	nan	nan	nan	nan	nan	6.38543269962402
Contig100439	621	0.486312399356	414	0.437198067633	207	0.584541062802	25	48.63	47.34	40.1	58.45	48.52	49.34	23.74	23.38	0.37	nan	nan	nan	nan	nan	nan	-5.86951868789139
Contig100446	279	0.469534050179	186	0.494623655914	93	0.41935483871	15	46.95	55.91	43.01	41.94	41.25	42.02	19.54	20.56	nan	94	0.340425531915	94	0.340425531915	nan	nan	-19.8992187476072
Contig100447	216	0.425925925926	144	0.465277777778	72	0.347222222222	23	42.59	45.83	47.22	34.72	33.81	36.44	14.92	16.67	nan	198	0.353535353535	nan	nan	198	0.353535353535	-10.3738515779288
Contig10045	315	0.396825396825	210	0.390476190476	105	0.409523809524	17	39.68	45.71	32.38	40.95	39.17	41.51	19.94	20.83	0.36	nan	nan	nan	nan	nan	nan	-8.93622676241603
Contig100465	627	0.502392344498	418	0.497607655502	209	0.511961722488	51	50.24	52.63	46.89	51.2	51.02	51.27	25.43	25.57	0.3	3274	0.388515577276	3274	0.388515577276	nan	nan	16.0102303296457
Contig100486	210	0.428571428571	140	0.428571428571	70	0.428571428571	14	42.86	44.29	41.43	42.86	36.36	38.89	18.97	20.2	nan	nan	nan	nan	nan	nan	nan	-15.9005147299445
Contig100488	302	0.509933774834	202	0.480198019802	100	0.57	15	51.33	54.46	41.58	57	37.71	42.41	16.78	18.09	nan	nan	nan	nan	nan	nan	nan	-19.2774596688085
Contig100489	237	0.582278481013	158	0.556962025316	79	0.632911392405	14	58.23	65.82	45.57	63.29	32.25	33.25	16.11	15.47	nan	nan	nan	nan	nan	nan	nan	-19.6171198397141
Contig100495	249	0.369477911647	166	0.355421686747	83	0.397590361446	11	36.95	36.14	34.94	39.76	39.44	41.79	17.25	17.43	nan	nan	nan	nan	nan	nan	nan	-13.1376692790418
Contig100523	729	0.636488340192	486	0.537037037037	243	0.835390946502	61	63.65	60.91	46.5	83.54	35.05	48.23	19.05	22.89	0.27	nan	nan	nan	nan	nan	nan	26.6604843686118
Contig100534	237	0.396624472574	158	0.360759493671	79	0.46835443038	27	39.66	37.97	34.18	46.84	35.97	36.06	17.45	17.58	nan	94	0.382978723404	94	0.382978723404	nan	nan	2.7045460831839
Contig100549	414	0.446859903382	276	0.438405797101	138	0.463768115942	14	44.69	52.17	35.51	46.38	43.45	43.3	20.92	19.5	0.35	nan	nan	nan	nan	nan	nan	-17.0042059746374
Contig100553	231	0.562770562771	154	0.506493506494	77	0.675324675325	25	56.28	59.74	41.56	67.53	35.42	40.12	16.54	18.06	nan	nan	nan	nan	nan	nan	nan	-10.1195204343306
Contig100559	359	0.506963788301	240	0.495833333333	119	0.529411764706	20	50.98	59.17	40	52.94	43.24	42.81	22.75	22.04	0.39	nan	nan	nan	nan	nan	nan	-14.9382378360353
Contig100573	240	0.5375	160	0.4875	80	0.6375	13	53.75	60	37.5	63.75	35.51	40.8	15.72	15.43	nan	nan	nan	nan	nan	nan	nan	-21.6201654483677
Contig100578	417	0.453237410072	278	0.420863309353	139	0.517985611511	12	45.32	50.36	33.81	51.8	44.61	44.03	20.82	21.16	0.42	nan	nan	nan	nan	nan	nan	-16.9728461494585
Contig100583	248	0.395161290323	166	0.481927710843	82	0.219512195122	14	39.84	60.24	36.14	21.95	30.23	40.56	11.93	16.37	nan	nan	nan	nan	nan	nan	nan	-20.3643353985362
Contig100590	482	0.458506224066	322	0.512422360248	160	0.35	15	46.04	53.42	49.07	35	43.26	48.25	22.04	25.59	0.28	nan	nan	nan	nan	nan	nan	-20.0850330567258
Contig100594	327	0.467889908257	218	0.435779816514	109	0.532110091743	55	46.79	48.62	38.53	53.21	42.54	42.87	21.42	20.72	0.36	310	0.474193548387	310	0.474193548387	nan	nan	24.2879708457575
Contig100620	248	0.322580645161	166	0.343373493976	82	0.280487804878	13	32.52	44.58	24.1	28.05	35.98	40.96	15.58	16.93	nan	nan	nan	nan	nan	nan	nan	-10.9333042815042
Contig100622	393	0.590330788804	262	0.496183206107	131	0.778625954198	37	59.03	55.73	43.51	77.86	34.79	42.41	16.86	20.9	0.38	nan	nan	nan	nan	nan	nan	2.05104524061217
Contig100641	244	0.516393442623	163	0.435582822086	81	0.679012345679	17	51.85	50	37.04	67.9	33.83	37.54	14.63	14.47	nan	nan	nan	nan	nan	nan	nan	-13.6902532426324
Contig100643	253	0.525691699605	169	0.390532544379	84	0.797619047619	15	52.78	48.24	29.76	79.76	32.82	41.6	14.3	19.19	nan	nan	nan	nan	nan	nan	nan	-10.9405752370425
Contig10065	360	0.411111111111	240	0.4625	120	0.308333333333	22	41.11	60.83	31.67	30.83	38.81	41.65	18.81	21.98	0.48	nan	nan	nan	nan	nan	nan	-11.1882890253024
Contig100669	450	0.411111111111	300	0.426666666667	150	0.38	14	41.11	52.67	32.67	38	41.95	42.09	20.81	20.91	0.32	nan	nan	nan	nan	nan	nan	-15.6742507887765
Contig100678	428	0.509345794393	286	0.541958041958	142	0.443661971831	18	51.17	56.64	51.75	44.37	43.68	44.26	22.02	22.82	0.36	nan	nan	nan	nan	nan	nan	-16.1516695723242
Contig100682	309	0.537216828479	206	0.519417475728	103	0.572815533981	22	53.72	55.34	48.54	57.28	41.04	40.39	18.22	17.57	0.45	nan	nan	nan	nan	nan	nan	-12.9496118871574
Contig100684	753	0.41567065073	502	0.456175298805	251	0.334661354582	28	41.57	66.53	24.7	33.47	42.85	47.88	20.54	22.19	0.39	nan	nan	nan	nan	nan	nan	-4.74218942361075
Contig100687	200	0.445	134	0.462686567164	66	0.409090909091	15	44.95	38.81	53.73	40.91	37.09	39.7	19.15	18.02	nan	nan	nan	nan	nan	nan	nan	-18.2008203458145
Contig100704	216	0.421296296296	144	0.423611111111	72	0.416666666667	18	42.13	50	34.72	41.67	37.37	40.85	20.87	21.37	nan	nan	nan	nan	nan	nan	nan	-11.3057639492726
Contig100705	418	0.459330143541	279	0.415770609319	139	0.546762589928	15	46.04	55.71	27.34	54.68	44.16	45.33	22.55	20.97	0.36	nan	nan	nan	nan	nan	nan	-13.3670530369325
Contig100722	228	0.583333333333	152	0.5	76	0.75	12	58.33	61.84	38.16	75	33.34	37.38	15.87	17.59	nan	nan	nan	nan	nan	nan	nan	-23.0472113486402
Contig100742	347	0.469740634006	232	0.426724137931	115	0.55652173913	12	47.25	50.86	34.48	55.65	41.9	43.91	19.56	19.34	0.47	nan	nan	nan	nan	nan	nan	-17.6811278631925
Contig100743	1338	0.414050822123	892	0.461883408072	446	0.318385650224	55	41.41	54.26	38.12	31.84	46.65	52.92	23.61	26.55	0.23	70	0.257142857143	70	0.257142857143	nan	nan	21.8532653718504
Contig100762	825	0.533333333333	550	0.534545454545	275	0.530909090909	41	53.33	64.36	42.55	53.09	44.4	45.18	23.06	22.68	0.34	nan	nan	nan	nan	nan	nan	6.5630462553622
Contig100777	273	0.487179487179	182	0.417582417582	91	0.626373626374	19	48.72	51.65	31.87	62.64	38.23	38.69	19.31	17.69	nan	nan	nan	nan	nan	nan	nan	-9.57965860329919
Contig10079	331	0.468277945619	221	0.461538461538	110	0.481818181818	20	46.97	54.05	38.18	48.18	35.66	35.85	17.57	15.65	0.48	nan	nan	nan	nan	nan	nan	-13.1233784433742
Contig100790	282	0.439716312057	188	0.420212765957	94	0.478723404255	13	43.97	43.62	40.43	47.87	39.11	40.45	16.39	17.27	nan	nan	nan	nan	nan	nan	nan	-15.8943085954595
Contig100807	216	0.513888888889	144	0.534722222222	72	0.472222222222	11	51.39	54.17	52.78	47.22	38.4	40.98	17.95	17.88	nan	nan	nan	nan	nan	nan	nan	-23.4300279488247
Contig10081	290	0.520689655172	194	0.422680412371	96	0.71875	28	52.43	49.48	35.05	71.88	34.75	37.8	17.78	20.1	nan	nan	nan	nan	nan	nan	nan	-1.19293239444527
Contig100827	228	0.539473684211	152	0.565789473684	76	0.486842105263	13	53.95	68.42	44.74	48.68	38.05	35.46	18.25	18.39	nan	nan	nan	nan	nan	nan	nan	-20.3285071155609
Contig100829	501	0.435129740519	334	0.47005988024	167	0.365269461078	38	43.51	53.29	40.72	36.53	42.85	45.81	22.45	23.45	0.28	nan	nan	nan	nan	nan	nan	4.30965607894944
Contig100839	312	0.467948717949	208	0.471153846154	104	0.461538461538	27	46.79	44.23	50	46.15	39.51	44.66	18.35	18.58	0.45	274	0.489051094891	60	0.433333333333	214	0.504672897196	-6.75971582705661
Contig100864	828	0.425120772947	552	0.48731884058	276	0.300724637681	49	42.51	53.26	44.2	30.07	42.63	48.98	20.47	24.07	0.28	nan	nan	nan	nan	nan	nan	14.3877545954858
Contig100878	374	0.542780748663	250	0.532	124	0.564516129032	33	54.57	70.4	36	56.45	36.81	40.12	19.04	19.1	0.39	nan	nan	nan	nan	nan	nan	-1.53550486443254
Contig100881	330	0.675757575758	220	0.586363636364	110	0.854545454545	37	67.58	77.27	40	85.45	28.42	41.05	13.11	17.28	0.53	nan	nan	nan	nan	nan	nan	4.27411764032608
Contig100900	233	0.575107296137	156	0.544871794872	77	0.636363636364	14	58.01	61.54	47.44	63.64	38.93	41.9	19.23	21.01	nan	nan	nan	nan	nan	nan	nan	-20.0434059703806
Contig100914	204	0.519607843137	136	0.573529411765	68	0.411764705882	14	51.96	61.76	52.94	41.18	38.79	38.1	18.8	19.9	nan	nan	nan	nan	nan	nan	nan	-19.0905674798169
Contig100919	351	0.541310541311	234	0.594017094017	117	0.435897435897	21	54.13	60.68	58.12	43.59	39.57	40.01	19.56	20.36	0.41	314	0.449044585987	314	0.449044585987	nan	nan	-11.5254194685312
Contig100924	304	0.401315789474	203	0.423645320197	101	0.356435643564	15	40.26	52.94	31.68	35.64	38.08	39.86	16.61	19.8	0.27	nan	nan	nan	nan	nan	nan	-14.309909406718
Contig100934	415	0.368674698795	277	0.407942238267	138	0.289855072464	15	36.96	55.4	26.09	28.99	40.8	46.26	19.01	21.77	0.28	nan	nan	nan	nan	nan	nan	-12.510359051364
Contig100943	366	0.532786885246	244	0.483606557377	122	0.631147540984	22	53.28	54.92	41.8	63.11	41.46	45.02	21.04	21.4	0.35	nan	nan	nan	nan	nan	nan	-12.444669044623
Contig100946	367	0.591280653951	245	0.485714285714	122	0.803278688525	53	59.29	60.98	36.07	80.33	32.22	41.4	15.46	19.85	0.4	nan	nan	nan	nan	nan	nan	18.4590638573333
Contig100953	270	0.548148148148	180	0.55	90	0.544444444444	38	54.81	65.56	44.44	54.44	35.55	38.39	17.71	18.06	nan	26	0.384615384615	26	0.384615384615	nan	nan	4.1418759681011
Contig100955	282	0.400709219858	188	0.409574468085	94	0.382978723404	32	40.07	51.06	30.85	38.3	38.57	40.68	16.88	17.6	nan	nan	nan	nan	nan	nan	nan	4.31923612714857
Contig100967	387	0.571059431525	258	0.550387596899	129	0.612403100775	39	57.11	57.36	52.71	61.24	43.25	46.45	22.25	22.77	0.39	nan	nan	nan	nan	nan	nan	5.15560999663138
Contig100979	605	0.398347107438	404	0.405940594059	201	0.383084577114	23	39.97	45.54	35.64	38.31	38.74	40.5	16.82	17.36	0.49	78	0.358974358974	nan	nan	78	0.358974358974	-4.30684132674518
Contig100984	294	0.37074829932	196	0.357142857143	98	0.397959183673	15	37.07	47.96	23.47	39.8	36.81	38.84	16.05	17.41	nan	nan	nan	nan	nan	nan	nan	-9.18402318218801
Contig100988	280	0.439285714286	187	0.44385026738	93	0.430107526882	16	44.09	42.55	46.24	43.01	38.03	39.83	19.84	19.71	nan	nan	nan	nan	nan	nan	nan	-15.6044062483332
Contig100990	281	0.377224199288	188	0.436170212766	93	0.258064516129	14	37.99	50	37.23	25.81	37.06	42.75	16.92	20.68	nan	nan	nan	nan	nan	nan	nan	-16.7552663391889
Contig100999	804	0.480099502488	536	0.449626865672	268	0.541044776119	50	48.01	54.85	35.07	54.1	46.29	47.69	22.03	23.04	0.39	nan	nan	nan	nan	nan	nan	17.8085799860853
Contig1010	1017	0.497541789577	678	0.504424778761	339	0.483775811209	73	49.75	51.33	49.56	48.38	47.51	47.62	23.18	23.67	0.3	884	0.368778280543	884	0.368778280543	nan	nan	37.8893018041042
Contig101001	231	0.541125541126	154	0.487012987013	77	0.649350649351	36	54.11	55.84	41.56	64.94	36.79	40.07	16.06	17.18	nan	nan	nan	nan	nan	nan	nan	1.40119113723122
Contig101002	336	0.485119047619	224	0.491071428571	112	0.473214285714	20	48.51	53.57	44.64	47.32	44.01	44.47	20.66	21.06	0.42	nan	nan	nan	nan	nan	nan	-14.7691246259845
Contig101015	212	0.424528301887	142	0.457746478873	70	0.357142857143	12	42.86	57.75	33.8	35.71	37	39.46	18.18	22.71	nan	nan	nan	nan	nan	nan	nan	-20.8583924038715
Contig101029	363	0.402203856749	242	0.396694214876	121	0.413223140496	20	40.22	37.19	42.15	41.32	42.67	45.1	20.06	21.92	0.31	738	0.452574525745	738	0.452574525745	nan	nan	-6.4444905554242
Contig101030	366	0.464480874317	244	0.389344262295	122	0.614754098361	24	46.45	43.44	34.43	61.48	45.08	48.06	20.92	21.27	0.37	nan	nan	nan	nan	nan	nan	-1.84988056000278
Contig101043	360	0.486111111111	240	0.4625	120	0.533333333333	23	48.61	50.83	41.67	53.33	40.05	39.1	17.6	17.77	0.45	nan	nan	nan	nan	nan	nan	-10.1882890253024
Contig101049	342	0.473684210526	228	0.478070175439	114	0.464912280702	25	47.37	51.75	43.86	46.49	39.18	40.83	20.2	20.97	0.4	344	0.529069767442	344	0.529069767442	nan	nan	-9.16503099335748
Contig101051	456	0.434210526316	304	0.460526315789	152	0.381578947368	36	43.42	51.97	40.13	38.16	44.59	46.37	21.03	22.97	0.3	nan	nan	nan	nan	nan	nan	2.94571671815886
Contig101059	461	0.418655097614	308	0.415584415584	153	0.424836601307	18	42.05	54.55	28.57	42.48	43.6	44.3	19.08	21.17	0.37	nan	nan	nan	nan	nan	nan	-10.3454548036704
Contig101060	258	0.434108527132	172	0.476744186047	86	0.348837209302	13	43.41	53.49	41.86	34.88	37.91	41.12	16.42	19.55	nan	nan	nan	nan	nan	nan	nan	-21.0919568667804
Contig101106	687	0.480349344978	458	0.42576419214	229	0.589519650655	33	48.03	50.22	34.93	58.95	46.57	47.3	22.77	22.49	0.39	nan	nan	nan	nan	nan	nan	3.43406511028952
Contig101109	330	0.475757575758	220	0.445454545455	110	0.536363636364	17	47.58	53.64	35.45	53.64	40.43	40.83	19.43	18.11	0.49	nan	nan	nan	nan	nan	nan	-14.7747601209065
Contig101116	768	0.419270833333	512	0.44921875	256	0.359375	41	41.93	52.34	37.5	35.94	48.08	51.12	22.23	24.6	0.29	240	0.308333333333	240	0.308333333333	nan	nan	8.84727163084956
Contig101129	393	0.468193384224	262	0.442748091603	131	0.519083969466	23	46.82	53.44	35.11	51.91	45.87	46.28	22.44	22.15	0.25	nan	nan	nan	nan	nan	nan	-8.48505394124342
Contig101151	237	0.472573839662	158	0.487341772152	79	0.443037974684	30	47.26	59.49	37.97	44.3	38.37	38.13	18.17	19	nan	594	0.373737373737	594	0.373737373737	nan	nan	-4.61324955510787
Contig101160	380	0.521052631579	254	0.456692913386	126	0.650793650794	47	52.38	50.39	40.94	65.08	44.62	46	21.28	22.38	0.36	nan	nan	nan	nan	nan	nan	14.2190044917662
Contig101180	341	0.495601173021	228	0.508771929825	113	0.469026548673	13	49.85	53.51	48.25	46.9	39.1	43.39	23.02	24.8	0.24	nan	nan	nan	nan	nan	nan	-22.1162170039477
Contig101182	210	0.452380952381	140	0.514285714286	70	0.328571428571	14	45.24	68.57	34.29	32.86	35.56	39.25	14.83	18.09	nan	nan	nan	nan	nan	nan	nan	-21.0579406617577
Contig101190	357	0.394957983193	238	0.40756302521	119	0.36974789916	12	39.5	48.74	32.77	36.97	42.87	44.99	19.87	20.77	0.34	nan	nan	nan	nan	nan	nan	-15.4713413270994
Contig101197	228	0.473684210526	152	0.532894736842	76	0.355263157895	13	47.37	53.95	52.63	35.53	39.24	42.11	20.13	23.3	nan	nan	nan	nan	nan	nan	nan	-21.5011529961611
Contig1012	222	0.468468468468	148	0.439189189189	74	0.527027027027	48	46.85	43.24	44.59	52.7	40.9	42.08	19.52	19.41	nan	nan	nan	nan	nan	nan	nan	16.908392802545
Contig101211	213	0.441314553991	142	0.345070422535	71	0.633802816901	11	44.13	42.25	26.76	63.38	35.83	33.55	13.94	11.05	nan	nan	nan	nan	nan	nan	nan	-12.9494030321763
Contig101240	1173	0.613810741688	782	0.517902813299	391	0.805626598465	80	61.38	64.71	38.87	80.56	35.33	47.69	17.05	22.88	0.35	440	0.577272727273	440	0.577272727273	nan	nan	45.0136874111535
Contig101254	363	0.382920110193	242	0.413223140496	121	0.322314049587	16	38.29	45.45	37.19	32.23	41.21	43.58	18.81	20.9	0.37	nan	nan	nan	nan	nan	nan	-12.0765111734571
Contig101267	346	0.679190751445	231	0.575757575758	115	0.886956521739	67	68.12	66.38	48.7	88.7	29.32	44.96	12.71	20.29	0.43	nan	nan	nan	nan	nan	nan	33.975380034252
Contig101269	1671	0.532016756433	1114	0.45960502693	557	0.67684021544	59	53.2	61.22	30.7	67.68	40.39	46.49	18.75	20.95	0.36	4736	0.506334459459	4736	0.506334459459	nan	nan	26.0095073497619
Contig101289	1242	0.401771336554	828	0.423913043478	414	0.357487922705	22	40.18	48.55	36.23	35.75	46.64	51.24	22.55	24.97	0.26	nan	nan	nan	nan	nan	nan	-7.34234420699165
Contig101291	474	0.514767932489	316	0.458860759494	158	0.626582278481	36	51.48	53.8	37.97	62.66	42.27	45.49	23.51	22.01	0.33	nan	nan	nan	nan	nan	nan	3.06180282315824
Contig101292	420	0.57380952381	280	0.464285714286	140	0.792857142857	36	57.38	52.86	40	79.29	35.1	44.59	16.72	20.76	0.4	nan	nan	nan	nan	nan	nan	2.69228793663797
Contig10130	271	0.505535055351	181	0.364640883978	90	0.788888888889	26	50.74	38.46	34.44	78.89	33.46	38.45	13.62	17.83	nan	nan	nan	nan	nan	nan	nan	1.56376785052575
Contig101320	219	0.493150684932	146	0.404109589041	73	0.671232876712	19	49.32	42.47	38.36	67.12	33.58	35.39	13.78	17.57	nan	nan	nan	nan	nan	nan	nan	-8.12592940338298
Contig101345	367	0.569482288828	245	0.485714285714	122	0.737704918033	25	57.1	68.29	28.69	73.77	35.63	40.89	16.9	17.39	0.24	nan	nan	nan	nan	nan	nan	-9.54093614266667
Contig101354	357	0.551820728291	238	0.533613445378	119	0.588235294118	23	55.18	67.23	39.5	58.82	43.44	45.77	22.17	22.59	0.32	nan	nan	nan	nan	nan	nan	-11.4733172852084
Contig101355	378	0.431216931217	252	0.511904761905	126	0.269841269841	11	43.12	60.32	42.06	26.98	40.06	45.87	18.02	22.31	0.35	nan	nan	nan	nan	nan	nan	-24.0912721652811
Contig101359	487	0.455852156057	325	0.452307692308	162	0.462962962963	19	45.68	48.47	41.98	46.3	47.6	48.28	22.9	23.02	0.36	nan	nan	nan	nan	nan	nan	-13.4321322510787
Contig101398	284	0.542253521127	190	0.473684210526	94	0.68085106383	21	54.61	62.11	32.63	68.09	33.91	37.48	16.35	17.09	nan	nan	nan	nan	nan	nan	nan	-12.9148134609668
Contig101415	231	0.415584415584	154	0.396103896104	77	0.454545454545	12	41.56	50.65	28.57	45.45	33.07	33.98	12.52	12.6	nan	nan	nan	nan	nan	nan	nan	-14.3937672204426
Contig101416	278	0.58273381295	186	0.548387096774	92	0.652173913043	15	58.7	64.52	45.16	65.22	34.99	38.85	16.44	18.32	nan	nan	nan	nan	nan	nan	nan	-18.9156807121233
Contig101429	534	0.432584269663	356	0.407303370787	178	0.483146067416	33	43.26	47.19	34.27	48.31	48.52	48.59	24.5	23.67	0.28	nan	nan	nan	nan	nan	nan	5.5552504871805
Contig101430	209	0.535885167464	140	0.421428571429	69	0.768115942029	11	54.11	38.57	45.71	76.81	27.46	30.53	10.78	14.17	nan	nan	nan	nan	nan	nan	nan	-18.0412273875876
Contig101489	351	0.450142450142	234	0.393162393162	117	0.564102564103	13	45.01	46.15	32.48	56.41	41.3	42.07	21.3	20.54	0.33	nan	nan	nan	nan	nan	nan	-13.1487473793587
Contig101491	750	0.498666666667	500	0.424	250	0.648	51	49.87	48	36.8	64.8	46.34	49.04	21.75	23.75	0.34	838	0.437947494033	838	0.437947494033	nan	nan	21.647124404021
Contig101492	240	0.433333333333	160	0.4	80	0.5	28	43.33	51.25	28.75	50	38.1	39.96	18.79	18.28	nan	nan	nan	nan	nan	nan	nan	1.26186216172239
Contig101501	236	0.427966101695	158	0.455696202532	78	0.371794871795	13	43.16	49.37	41.77	37.18	35.91	38.28	13.71	16.2	nan	nan	nan	nan	nan	nan	nan	-19.7057720128299
Contig101507	261	0.452107279693	174	0.344827586207	87	0.666666666667	22	45.21	41.38	27.59	66.67	36.65	39.73	15.1	16.33	nan	nan	nan	nan	nan	nan	nan	-1.94684482105646
Contig101520	265	0.433962264151	177	0.485875706215	88	0.329545454545	11	43.56	46.07	51.14	32.95	39.57	41.89	17.04	19.16	nan	nan	nan	nan	nan	nan	nan	-23.5481950588841
Contig10153	228	0.416666666667	152	0.401315789474	76	0.447368421053	33	41.67	42.11	38.16	44.74	41.73	42.71	16.8	16.78	nan	2274	0.40765171504	1004	0.451195219124	1270	0.373228346457	6.14044698874688
