loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig80016	34	0.294117647059	34	0.294117647059	nan	nan
Contig198501	nan	nan	nan	nan	nan	nan
Contig29708	54	0.37037037037	54	0.37037037037	nan	nan
Contig29704	nan	nan	nan	nan	nan	nan
Contig158648	1438	0.347705146036	1438	0.347705146036	nan	nan
Contig80019	52	0.346153846154	52	0.346153846154	nan	nan
Contig16120	6400	0.39703125	6400	0.39703125	nan	nan
Contig105637	524	0.425572519084	524	0.425572519084	nan	nan
Contig147833	646	0.356037151703	646	0.356037151703	nan	nan
Contig156829	52	0.423076923077	52	0.423076923077	nan	nan
Contig105630	1004	0.335657370518	1004	0.335657370518	nan	nan
Contig26829	4352	0.403492647059	4002	0.391304347826	350	0.542857142857
Contig154455	72	0.388888888889	72	0.388888888889	nan	nan
Contig214427	nan	nan	nan	nan	nan	nan
Contig131336	nan	nan	nan	nan	nan	nan
Contig219074	nan	nan	nan	nan	nan	nan
Contig127381	3364	0.383769322235	3364	0.383769322235	nan	nan
Contig150438	nan	nan	nan	nan	nan	nan
Contig18459	972	0.438271604938	972	0.438271604938	nan	nan
Contig205874	3534	0.389360498019	3534	0.389360498019	nan	nan
Contig251084	nan	nan	nan	nan	nan	nan
Contig166233	nan	nan	nan	nan	nan	nan
Contig60544	nan	nan	nan	nan	nan	nan
Contig100548	15862	0.353738494515	15212	0.35603470944	650	0.3
Contig166236	1012	0.446640316206	nan	nan	1012	0.446640316206
Contig228760	1694	0.39787485242	1694	0.39787485242	nan	nan
Contig261718	7966	0.391664574441	7638	0.393034825871	328	0.359756097561
Contig210494	2178	0.448576675849	nan	nan	2178	0.448576675849
Contig110083	2180	0.41376146789	nan	nan	2180	0.41376146789
Contig161936	892	0.42600896861	892	0.42600896861	nan	nan
Contig199916	90	0.377777777778	nan	nan	90	0.377777777778
Contig254610	32	0.375	nan	nan	32	0.375
Contig136341	4106	0.327812956649	4106	0.327812956649	nan	nan
Contig261951	100	0.24	nan	nan	100	0.24
Contig178800	7020	0.377065527066	3646	0.391387822271	3374	0.36158861885
Contig114000	nan	nan	nan	nan	nan	nan
Contig74629	4854	0.340337865678	4854	0.340337865678	nan	nan
Contig158468	136	0.382352941176	136	0.382352941176	nan	nan
Contig135694	138	0.434782608696	nan	nan	138	0.434782608696
Contig112924	nan	nan	nan	nan	nan	nan
Contig97410	28	0.357142857143	nan	nan	28	0.357142857143
Contig97411	1652	0.340799031477	1644	0.341240875912	nan	nan
Contig108019	2400	0.379583333333	2400	0.379583333333	nan	nan
Contig170975	nan	nan	nan	nan	nan	nan
Contig192749	6634	0.374434730178	6634	0.374434730178	nan	nan
Contig240287	1450	0.386206896552	1450	0.386206896552	nan	nan
Contig192747	2516	0.356915739269	1170	0.311111111111	1346	0.396731054978
Contig107771	944	0.351694915254	854	0.346604215457	90	0.4
Contig8003	nan	nan	nan	nan	nan	nan
Contig192741	nan	nan	nan	nan	nan	nan
Contig179757	nan	nan	nan	nan	nan	nan
Contig122608	8918	0.328773267549	8904	0.328616352201	nan	nan
