loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig1	516	0.37015503876	344	0.354651162791	172	0.401162790698	58	37.02	37.21	33.72	40.12	46.27	49.03	21.64	22.51	0.29	220	0.172727272727	62	0.129032258065	158	0.189873417722	42.7898968590319
Contig10	1149	0.544821583986	766	0.483028720627	383	0.668407310705	85	54.48	56.66	39.95	66.84	48.76	53.74	25.32	27.98	0.2	1552	0.260309278351	1552	0.260309278351	nan	nan	58.1716672878395
Contig10002	315	0.339682539683	210	0.390476190476	105	0.238095238095	6	33.97	41.9	36.19	23.81	35.25	42.56	17.87	20.51	0.34	nan	nan	nan	nan	nan	nan	-11.0181987147887
Contig10008	240	0.429166666667	160	0.475	80	0.3375	9	42.92	51.25	43.75	33.75	35.51	43.11	15.87	21.56	nan	nan	nan	nan	nan	nan	nan	-17.4059355806322
Contig10010	443	0.392776523702	296	0.435810810811	147	0.30612244898	9	39.46	47.3	39.86	30.61	41.79	47.54	20.68	23.32	0.33	nan	nan	nan	nan	nan	nan	-14.4350407079906
Contig10011	456	0.502192982456	304	0.460526315789	152	0.585526315789	89	50.22	51.97	40.13	58.55	44.79	46.59	20.17	21.25	0.36	184	0.304347826087	74	0.108108108108	110	0.436363636364	63.473226158405
Contig10012	276	0.630434782609	184	0.576086956522	92	0.739130434783	16	63.04	66.3	48.91	73.91	38.06	42.46	21.39	22.28	nan	nan	nan	nan	nan	nan	nan	-15.5380007886986
Contig10016	348	0.485632183908	232	0.452586206897	116	0.551724137931	8	48.56	50	40.52	55.17	38.72	41.92	18.78	19.77	0.42	nan	nan	nan	nan	nan	nan	-17.0089547148597
Contig10018	669	0.405082212257	446	0.434977578475	223	0.345291479821	13	40.51	52.02	34.98	34.53	48.7	52.03	24.31	26.89	0.2	nan	nan	nan	nan	nan	nan	-10.2990130493667
Contig10020	374	0.387700534759	250	0.424	124	0.314516129032	10	38.98	52	32.8	31.45	36.15	42.48	19.84	23.65	0.3	nan	nan	nan	nan	nan	nan	-11.4770947137033
Contig10022	222	0.279279279279	148	0.331081081081	74	0.175675675676	7	27.93	35.14	31.08	17.57	31.46	35.87	14.25	13.37	nan	nan	nan	nan	nan	nan	nan	-7.20757676660656
Contig10029	302	0.397350993377	202	0.356435643564	100	0.48	8	40	46.53	24.75	48	36.2	37.54	14.73	15.48	nan	nan	nan	nan	nan	nan	nan	-7.28987610002922
Contig1003	213	0.478873239437	142	0.521126760563	71	0.394366197183	23	47.89	60.56	43.66	39.44	37.61	40.24	17.16	19.7	nan	nan	nan	nan	nan	nan	nan	-5.82225071866682
Contig10034	204	0.426470588235	136	0.397058823529	68	0.485294117647	11	42.65	45.59	33.82	48.53	43.32	45.44	19.94	20.06	nan	nan	nan	nan	nan	nan	nan	-6.60948194203655
Contig10037	207	0.386473429952	138	0.449275362319	69	0.260869565217	6	38.65	50.72	39.13	26.09	35.52	42.44	13.43	18	nan	nan	nan	nan	nan	nan	nan	-18.7994597216639
Contig10038	714	0.387955182073	476	0.38025210084	238	0.403361344538	15	38.8	51.26	24.79	40.34	53.13	54.41	27.07	27.58	0.17	162	0.246913580247	nan	nan	162	0.246913580247	-1.34909151888133
Contig1005	457	0.374179431072	305	0.370491803279	152	0.381578947368	24	37.5	37.25	36.84	38.16	43.6	48.02	20.31	23.15	0.28	nan	nan	nan	nan	nan	nan	8.09016652307037
Contig10055	220	0.354545454545	147	0.319727891156	73	0.424657534247	10	35.62	39.19	24.66	42.47	35.96	39.48	16.6	16.85	nan	nan	nan	nan	nan	nan	nan	-3.76194867548231
Contig10056	333	0.42042042042	222	0.441441441441	111	0.378378378378	7	42.04	47.75	40.54	37.84	45.65	49.08	21.47	24.42	0.28	nan	nan	nan	nan	nan	nan	-17.1754540267074
Contig10057	308	0.422077922078	206	0.436893203883	102	0.392156862745	9	42.48	45.63	41.75	39.22	39.56	43.59	19.71	20.79	nan	nan	nan	nan	nan	nan	nan	-14.6040385866842
Contig10073	360	0.366666666667	240	0.425	120	0.25	9	36.67	44.17	40.83	25	35.3	43.77	16.8	21.22	0.37	nan	nan	nan	nan	nan	nan	-12.6176333521707
Contig10074	311	0.369774919614	208	0.403846153846	103	0.300970873786	7	37.22	50	30.77	30.1	43.44	45.85	20.71	21.86	0.19	nan	nan	nan	nan	nan	nan	-11.324868624834
Contig10078	285	0.4	190	0.357894736842	95	0.484210526316	7	40	37.89	33.68	48.42	36.66	41.25	15.61	17.31	nan	nan	nan	nan	nan	nan	nan	-8.35547897834688
Contig1008	630	0.328571428571	420	0.357142857143	210	0.271428571429	61	32.86	45.24	26.19	27.14	39.64	46.38	20.17	23.23	0.22	76	0.144736842105	76	0.144736842105	nan	nan	45.6783685234615
Contig10085	279	0.448028673835	186	0.462365591398	93	0.41935483871	6	44.8	55.91	36.56	41.94	41.97	43.48	20.4	21.01	nan	nan	nan	nan	nan	nan	nan	-19.6537765326078
Contig10086	312	0.423076923077	208	0.447115384615	104	0.375	8	42.31	42.31	47.12	37.5	35.06	38.8	16.99	20.69	0.37	nan	nan	nan	nan	nan	nan	-16.6512479286137
Contig10089	555	0.414414414414	370	0.440540540541	185	0.362162162162	13	41.44	50.27	37.84	36.22	44.98	48.68	21.27	23.33	0.31	nan	nan	nan	nan	nan	nan	-11.0833368759511
Contig10093	216	0.388888888889	144	0.430555555556	72	0.305555555556	7	38.89	47.22	38.89	30.56	35.83	40.27	15.58	17.11	nan	nan	nan	nan	nan	nan	nan	-15.530732337624
Contig10095	238	0.512605042017	159	0.51572327044	79	0.506329113924	11	51.48	66.25	36.71	50.63	40.01	41.39	15.93	17.02	nan	nan	nan	nan	nan	nan	nan	-17.5460678042529
Contig101	810	0.393827160494	540	0.411111111111	270	0.359259259259	53	39.38	45.19	37.04	35.93	46.34	50.7	21.32	24.33	0.29	450	0.251111111111	nan	nan	450	0.251111111111	33.7432178915227
Contig10109	317	0.593059936909	212	0.514150943396	105	0.752380952381	59	59.68	69.81	33.02	75.24	37.84	41.42	19.85	18.24	0.33	nan	nan	nan	nan	nan	nan	30.5347011729705
Contig1011	403	0.481389578164	269	0.420074349442	134	0.60447761194	7	48.26	43.7	40.3	60.45	43.02	45.64	21.9	21.93	0.36	nan	nan	nan	nan	nan	nan	-13.8469790496745
Contig10113	329	0.38905775076	220	0.409090909091	109	0.348623853211	10	39.14	42.73	39.09	34.86	41.17	46.38	20.24	21.09	0.4	nan	nan	nan	nan	nan	nan	-8.95460368492152
Contig10119	360	0.436111111111	240	0.441666666667	120	0.425	7	43.61	58.33	30	42.5	43.1	44.3	21.22	22.32	0.26	nan	nan	nan	nan	nan	nan	-17.1975393169156
Contig1012	249	0.381526104418	166	0.379518072289	83	0.385542168675	10	38.15	44.58	31.33	38.55	36.46	38.34	17.03	15.88	nan	160	0.35625	160	0.35625	nan	nan	-6.3116686556664
Contig10127	282	0.439716312057	188	0.521276595745	94	0.276595744681	10	43.97	55.32	48.94	27.66	37.54	43.2	19.61	21.22	nan	224	0.205357142857	224	0.205357142857	nan	nan	-18.8298792515596
Contig1013	432	0.493055555556	288	0.4375	144	0.604166666667	39	49.31	43.06	44.44	60.42	48.64	48.61	24.61	23.9	0.28	nan	nan	nan	nan	nan	nan	15.3057316679328
Contig10140	427	0.40281030445	285	0.410526315789	142	0.387323943662	8	40.38	46.15	35.92	38.73	47.53	49.49	23.52	25.53	0.27	nan	nan	nan	nan	nan	nan	-11.165114827758
Contig10148	303	0.320132013201	202	0.311881188119	101	0.336633663366	22	32.01	27.72	34.65	33.66	37.95	42.84	18.46	19.22	nan	58	0.0689655172414	50	0.04	nan	nan	8.53040838410673
Contig10151	204	0.367647058824	136	0.419117647059	68	0.264705882353	8	36.76	42.65	41.18	26.47	39.17	44.63	17.53	21.43	nan	nan	nan	nan	nan	nan	nan	-12.6776453683444
Contig1016	204	0.397058823529	136	0.419117647059	68	0.352941176471	8	39.71	44.12	39.71	35.29	32.7	36.16	13.33	13.7	nan	nan	nan	nan	nan	nan	nan	-12.6776453683444
Contig10166	283	0.508833922261	189	0.513227513228	94	0.5	11	51.06	57.89	44.68	50	42.45	42.94	20.87	20.99	nan	nan	nan	nan	nan	nan	nan	-17.4177755703442
Contig1017	381	0.53280839895	254	0.48031496063	127	0.637795275591	51	53.28	52.76	43.31	63.78	39.46	45.57	19.47	22.51	0.31	516	0.375968992248	516	0.375968992248	nan	nan	24.3133202814696
Contig10174	543	0.377532228361	362	0.447513812155	181	0.237569060773	12	37.75	44.2	45.3	23.76	36.45	46.65	18.91	23.33	0.3	nan	nan	nan	nan	nan	nan	-12.6795817177295
Contig10177	429	0.331002331002	286	0.388111888112	143	0.216783216783	14	33.1	35.66	41.96	21.68	38.22	46.26	16.8	20.06	0.3	nan	nan	nan	nan	nan	nan	-2.83399375856212
Contig10183	229	0.397379912664	153	0.411764705882	76	0.368421052632	8	39.91	55.84	26.32	36.84	38.74	40.13	19.62	20.07	nan	nan	nan	nan	nan	nan	nan	-11.3627201627108
Contig10184	333	0.54954954955	222	0.54954954955	111	0.54954954955	9	54.95	67.57	42.34	54.95	40.07	43.94	19.85	22.02	0.34	nan	nan	nan	nan	nan	nan	-21.2443458514567
Contig10186	228	0.451754385965	152	0.453947368421	76	0.447368421053	10	45.18	47.37	43.42	44.74	41.07	40.6	18.72	19.29	nan	nan	nan	nan	nan	nan	nan	-15.092650000253
