loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig16126	190	0.442105263158	190	0.442105263158	nan	nan
Contig29701	1602	0.41822721598	1602	0.41822721598	nan	nan
Contig16122	nan	nan	nan	nan	nan	nan
Contig26829	126	0.396825396825	126	0.396825396825	nan	nan
Contig38972	nan	nan	nan	nan	nan	nan
Contig60545	nan	nan	nan	nan	nan	nan
Contig10669	4996	0.609287429944	3860	0.606735751295	1136	0.617957746479
Contig10664	nan	nan	nan	nan	nan	nan
Contig10662	1448	0.439917127072	650	0.418461538462	798	0.457393483709
Contig50591	642	0.629283489097	642	0.629283489097	nan	nan
Contig8000	592	0.368243243243	592	0.368243243243	nan	nan
Contig409	11164	0.396273737012	10940	0.387934186472	224	0.803571428571
Contig57718	3062	0.332462442848	3062	0.332462442848	nan	nan
Contig402	2386	0.329421626153	1470	0.315646258503	916	0.351528384279
Contig407	1370	0.375912408759	1370	0.375912408759	nan	nan
Contig53153	nan	nan	nan	nan	nan	nan
Contig53157	nan	nan	nan	nan	nan	nan
Contig53156	nan	nan	nan	nan	nan	nan
Contig31112	466	0.283261802575	466	0.283261802575	nan	nan
Contig24281	1646	0.322600243013	1646	0.322600243013	nan	nan
Contig60157	nan	nan	nan	nan	nan	nan
Contig57905	nan	nan	nan	nan	nan	nan
Contig57676	nan	nan	nan	nan	nan	nan
Contig737	5548	0.430245133381	5548	0.430245133381	nan	nan
Contig6399	nan	nan	nan	nan	nan	nan
Contig6391	4564	0.356704645048	3614	0.362755949087	950	0.333684210526
Contig48050	nan	nan	nan	nan	nan	nan
Contig6395	nan	nan	nan	nan	nan	nan
Contig6396	1580	0.494936708861	512	0.4609375	1068	0.511235955056
Contig6397	3474	0.376223373633	3474	0.376223373633	nan	nan
Contig736	242	0.185950413223	242	0.185950413223	nan	nan
Contig21885	nan	nan	nan	nan	nan	nan
Contig2728	nan	nan	nan	nan	nan	nan
Contig2899	nan	nan	nan	nan	nan	nan
Contig2724	1686	0.268090154211	1686	0.268090154211	nan	nan
Contig2895	358	0.405027932961	130	0.346153846154	228	0.438596491228
Contig2894	6452	0.378952262864	738	0.319783197832	5714	0.386594329716
Contig2721	8094	0.43044230294	7852	0.423204279165	242	0.665289256198
Contig2891	6526	0.347379711922	6070	0.345140032949	456	0.377192982456
Contig9718	306	0.37908496732	306	0.37908496732	nan	nan
Contig7553	nan	nan	nan	nan	nan	nan
Contig7552	498	0.393574297189	nan	nan	498	0.393574297189
Contig48874	690	0.488405797101	690	0.488405797101	nan	nan
Contig7557	2278	0.366110623354	1794	0.351170568562	484	0.421487603306
Contig7556	8370	0.480406212664	8370	0.480406212664	nan	nan
Contig4759	nan	nan	nan	nan	nan	nan
Contig3418	3304	0.382566585956	3304	0.382566585956	nan	nan
Contig6179	14394	0.439627622621	14394	0.439627622621	nan	nan
Contig3414	2584	0.417569659443	2584	0.417569659443	nan	nan
Contig3416	138	0.434782608696	50	0.56	88	0.363636363636
Contig6177	nan	nan	nan	nan	nan	nan
Contig6170	nan	nan	nan	nan	nan	nan
Contig3411	444	0.531531531532	444	0.531531531532	nan	nan
Contig35745	nan	nan	nan	nan	nan	nan
Contig2682	nan	nan	nan	nan	nan	nan
Contig2097	nan	nan	nan	nan	nan	nan
Contig2094	nan	nan	nan	nan	nan	nan
Contig18938	nan	nan	nan	nan	nan	nan
Contig22615	nan	nan	nan	nan	nan	nan
Contig37840	nan	nan	nan	nan	nan	nan
Contig27068	nan	nan	nan	nan	nan	nan
Contig20283	92	0.347826086957	92	0.347826086957	nan	nan
Contig40882	1048	0.386450381679	1048	0.386450381679	nan	nan
Contig28700	nan	nan	nan	nan	nan	nan
Contig27061	nan	nan	nan	nan	nan	nan
Contig27066	1194	0.329983249581	1194	0.329983249581	nan	nan
Contig20289	nan	nan	nan	nan	nan	nan
Contig26625	186	0.333333333333	186	0.333333333333	nan	nan
Contig26624	3338	0.412822049131	3338	0.412822049131	nan	nan
Contig59420	186	0.408602150538	186	0.408602150538	nan	nan
Contig39446	3866	0.357734092085	3866	0.357734092085	nan	nan
Contig42824	1586	0.443253467844	796	0.447236180905	790	0.439240506329
Contig22533	nan	nan	nan	nan	nan	nan
Contig39449	nan	nan	nan	nan	nan	nan
Contig18212	nan	nan	nan	nan	nan	nan
Contig28569	nan	nan	nan	nan	nan	nan
Contig56296	240	0.391666666667	240	0.391666666667	nan	nan
Contig5151	nan	nan	nan	nan	nan	nan
