loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig29708	726	0.398071625344	484	0.390495867769	242	0.413223140496	22	39.81	42.98	35.12	41.32	48.47	50.80	23.65	23.71	0.34
Contig16128	252	0.353174603175	168	0.315476190476	84	0.428571428571	17	35.32	35.71	27.38	42.86	37.50	38.79	16.60	18.30	nan
Contig29705	399	0.461152882206	266	0.458646616541	133	0.466165413534	24	46.12	48.12	43.61	46.62	46.36	46.88	23.01	23.50	0.39
Contig16125	630	0.425396825397	420	0.433333333333	210	0.409523809524	19	42.54	54.29	32.38	40.95	47.62	49.61	24.91	24.25	0.27
Contig16122	1878	0.439829605964	1252	0.434504792332	626	0.450479233227	25	43.98	54.31	32.59	45.05	53.29	53.45	26.67	27.22	0.23
Contig16121	1955	0.463427109974	1304	0.442484662577	651	0.505376344086	72	46.39	52.76	35.74	50.54	53.40	53.60	27.29	27.22	0.23
Contig16120	423	0.444444444444	282	0.432624113475	141	0.468085106383	18	44.44	47.52	39.01	46.81	48.78	48.97	23.74	24.25	0.29
Contig26820	219	0.461187214612	146	0.424657534247	73	0.534246575342	69	46.12	45.21	39.73	53.42	33.84	35.64	15.79	17.04	nan
Contig31446	233	0.416309012876	156	0.391025641026	77	0.467532467532	46	41.99	44.87	33.33	46.75	39.13	38.99	19.73	19.65	nan
Contig26828	2714	0.485630066323	1810	0.483977900552	904	0.488938053097	36	48.60	54.48	42.32	48.89	55.36	54.79	28.11	27.88	0.21
Contig20666	1995	0.480200501253	1330	0.478195488722	665	0.484210526316	26	48.02	53.08	42.56	48.42	55.68	55.93	28.49	28.34	0.17
Contig38970	864	0.496527777778	576	0.460069444444	288	0.569444444444	29	49.65	53.47	38.54	56.94	53.26	53.10	27.70	27.40	0.20
Contig17557	504	0.501984126984	336	0.479166666667	168	0.547619047619	28	50.20	53.57	42.26	54.76	48.53	46.93	23.89	22.88	0.31
Contig35748	630	0.47619047619	420	0.452380952381	210	0.52380952381	19	47.62	48.10	42.38	52.38	46.62	47.30	25.48	25.59	0.27
Contig18458	882	0.495464852608	588	0.505102040816	294	0.47619047619	19	49.55	61.56	39.46	47.62	48.32	49.79	24.66	24.06	0.28
Contig17315	1295	0.525096525097	864	0.459490740741	431	0.656612529002	16	52.59	52.78	39.12	65.66	46.04	52.30	24.54	27.00	0.20
Contig65649	1066	0.483114446529	711	0.45288326301	355	0.543661971831	16	48.36	55.34	35.21	54.37	51.41	51.33	25.93	25.80	0.26
Contig12805	894	0.492170022371	596	0.453020134228	298	0.570469798658	108	49.22	47.99	42.62	57.05	50.45	51.43	25.32	25.91	0.29
Contig35742	651	0.537634408602	434	0.490783410138	217	0.63133640553	16	53.76	49.77	48.39	63.13	44.27	44.77	21.95	21.76	0.34
Contig12807	275	0.378181818182	184	0.402173913043	91	0.32967032967	145	38.10	44.57	35.87	32.97	40.69	44.46	19.37	21.06	nan
Contig12800	261	0.448275862069	174	0.436781609195	87	0.471264367816	291	44.83	49.43	37.93	47.13	38.18	39.42	16.91	17.87	nan
Contig12801	549	0.426229508197	366	0.387978142077	183	0.502732240437	108	42.62	40.44	37.16	50.27	46.58	48.34	22.92	23.88	0.31
Contig17224	1089	0.533516988062	726	0.542699724518	363	0.515151515152	113	53.35	61.71	46.83	51.52	51.70	47.49	25.73	25.70	0.22
Contig12803	1131	0.490716180371	754	0.526525198939	377	0.419098143236	30	49.07	55.17	50.13	41.91	55.29	57.16	29.12	29.91	0.17
Contig14799	1995	0.515288220551	1330	0.46015037594	665	0.625563909774	48	51.53	50.53	41.50	62.56	52.92	55.41	28.26	28.69	0.16
Contig10669	1121	0.474576271186	748	0.463903743316	373	0.495978552279	140	47.54	52.67	40.11	49.60	52.22	52.10	25.54	25.26	0.25
Contig10666	387	0.457364341085	258	0.492248062016	129	0.387596899225	20	45.74	58.14	40.31	38.76	43.77	48.59	23.02	25.06	0.27
Contig17923	957	0.461859979101	638	0.443573667712	319	0.498432601881	70	46.19	50.47	38.24	49.84	53.72	53.53	27.90	27.39	0.19
Contig21554	1548	0.46511627907	1032	0.462209302326	516	0.470930232558	29	46.51	53.49	38.95	47.09	51.72	51.31	25.04	25.42	0.27
Contig10665	758	0.472295514512	506	0.47233201581	252	0.472222222222	77	47.35	52.96	41.50	47.22	50.05	50.77	25.32	25.47	0.26
Contig10662	2355	0.47855626327	1570	0.492993630573	785	0.449681528662	281	47.86	44.20	54.39	44.97	51.53	53.07	25.34	26.51	0.24
Contig10663	1044	0.525862068966	696	0.48132183908	348	0.614942528736	108	52.59	58.33	37.93	61.49	48.84	52.76	25.49	26.38	0.25
Contig10660	1500	0.509333333333	1000	0.452	500	0.624	92	50.93	52.40	38.00	62.40	53.66	56.14	27.74	28.88	0.16
Contig10661	558	0.4229390681	372	0.41935483871	186	0.430107526882	70	42.29	51.61	32.26	43.01	45.76	47.34	21.28	21.67	0.46
Contig75019	696	0.510057471264	464	0.465517241379	232	0.599137931034	18	51.01	53.88	39.22	59.91	45.76	46.54	23.07	24.03	0.33
Contig33048	204	0.504901960784	136	0.522058823529	68	0.470588235294	20	50.49	54.41	50.00	47.06	38.27	38.12	18.60	18.00	nan
Contig11134	2499	0.469387755102	1666	0.436974789916	833	0.534213685474	35	46.94	51.86	35.53	53.42	54.59	54.94	27.43	27.34	0.20
Contig78236	483	0.420289855072	322	0.360248447205	161	0.540372670807	16	42.03	45.34	26.71	54.04	49.42	51.83	24.84	23.44	0.34
Contig29700	205	0.50243902439	137	0.489051094891	68	0.529411764706	23	50.49	49.28	48.53	52.94	37.76	38.10	19.03	18.92	nan
Contig69855	207	0.487922705314	138	0.45652173913	69	0.550724637681	137	48.79	52.17	39.13	55.07	36.95	37.95	16.62	17.13	nan
Contig14793	603	0.41127694859	402	0.427860696517	201	0.378109452736	51	41.13	44.28	41.29	37.81	48.18	49.13	25.82	24.45	0.26
Contig8007	2280	0.497368421053	1520	0.473026315789	760	0.546052631579	38	49.74	54.47	40.13	54.61	54.31	55.00	27.89	27.50	0.22
Contig28620	2334	0.484575835476	1556	0.456940874036	778	0.539845758355	22	48.46	52.44	38.95	53.98	57.01	57.08	29.05	28.96	0.16
Contig8005	1032	0.432170542636	688	0.422965116279	344	0.450581395349	66	43.22	52.03	32.56	45.06	51.35	52.56	24.50	25.78	0.29
Contig8002	819	0.522588522589	546	0.542124542125	273	0.483516483516	37	52.26	64.10	44.32	48.35	48.96	46.60	23.54	22.80	0.32
Contig8000	2031	0.486952240276	1354	0.480797636632	677	0.499261447563	73	48.70	49.78	46.38	49.93	54.80	55.05	26.95	27.07	0.23
Contig8001	1269	0.46414499606	846	0.507092198582	423	0.378250591017	64	46.41	56.97	44.44	37.83	48.84	52.96	22.78	25.55	0.26
Contig409	1119	0.521000893655	746	0.487935656836	373	0.587131367292	54	52.10	60.86	36.73	58.71	50.46	50.88	25.68	25.58	0.28
Contig57719	501	0.439121756487	334	0.431137724551	167	0.455089820359	18	43.91	47.90	38.32	45.51	44.47	46.04	19.72	20.49	0.44
Contig3665	1488	0.492607526882	992	0.487903225806	496	0.502016129032	55	49.26	51.21	46.37	50.20	52.75	52.81	26.08	25.89	0.23
Contig56500	987	0.432624113475	658	0.448328267477	329	0.401215805471	24	43.26	51.67	37.99	40.12	46.49	48.81	23.15	23.85	0.31
Contig400	810	0.466666666667	540	0.501851851852	270	0.396296296296	76	46.67	45.56	54.81	39.63	47.36	49.98	22.81	25.97	0.25
Contig403	213	0.450704225352	142	0.359154929577	71	0.633802816901	67	45.07	49.30	22.54	63.38	35.94	36.95	14.12	14.47	nan
Contig402	1785	0.511484593838	1190	0.48487394958	595	0.564705882353	31	51.15	59.16	37.82	56.47	53.17	55.22	26.01	26.43	0.25
Contig57715	249	0.453815261044	166	0.475903614458	83	0.409638554217	17	45.38	46.99	48.19	40.96	39.99	40.55	17.84	20.50	nan
Contig406	894	0.489932885906	596	0.478187919463	298	0.513422818792	71	48.99	47.65	47.99	51.34	50.38	50.09	23.16	23.60	0.26
Contig37425	466	0.469957081545	311	0.459807073955	155	0.490322580645	18	47.10	50.00	41.94	49.03	46.05	48.79	22.73	23.23	0.31
Contig37423	2382	0.493702770781	1588	0.456549118388	794	0.568010075567	29	49.37	50.50	40.81	56.80	53.88	54.51	28.06	27.22	0.17
Contig15440	432	0.479166666667	288	0.402777777778	144	0.631944444444	144	47.92	51.39	29.17	63.19	38.45	38.02	17.88	16.96	0.42
Contig15615	1139	0.453028972783	760	0.447368421053	379	0.46437994723	20	45.38	49.47	40.00	46.44	51.03	52.13	26.13	26.47	0.25
Contig31118	1056	0.429924242424	704	0.423295454545	352	0.443181818182	67	42.99	50.00	34.66	44.32	46.92	49.27	23.31	23.08	0.34
Contig15616	1254	0.421850079745	836	0.411483253589	418	0.442583732057	78	42.19	47.13	35.17	44.26	53.35	54.93	25.91	27.22	0.22
Contig63169	906	0.473509933775	604	0.470198675497	302	0.480132450331	32	47.35	61.59	32.45	48.01	49.26	50.25	22.82	23.33	0.29
Contig31110	357	0.422969187675	238	0.441176470588	119	0.386554621849	128	42.30	47.90	40.34	38.66	44.04	46.66	22.70	25.21	0.28
Contig63165	248	0.447580645161	166	0.457831325301	82	0.426829268293	17	45.12	54.22	37.35	42.68	38.95	39.98	18.83	18.67	nan
Contig19937	1314	0.446727549467	876	0.449771689498	438	0.440639269406	28	44.67	48.40	41.55	44.06	53.48	54.47	26.56	27.10	0.23
Contig63160	456	0.480263157895	304	0.444078947368	152	0.552631578947	17	48.03	49.34	39.47	55.26	47.95	48.01	23.48	24.07	0.28
Contig36438	1356	0.467551622419	904	0.46017699115	452	0.482300884956	41	46.76	38.72	53.32	48.23	53.16	53.11	28.06	27.80	0.20
Contig26790	393	0.447837150127	262	0.404580152672	131	0.534351145038	18	44.78	43.51	37.40	53.44	43.76	46.17	20.33	20.41	0.34
Contig23839	1662	0.491576413959	1108	0.448555956679	554	0.57761732852	26	49.16	50.72	38.99	57.76	53.64	55.46	27.83	29.07	0.18
Contig17298	225	0.408888888889	150	0.326666666667	75	0.573333333333	74	40.89	44.00	21.33	57.33	34.21	34.03	13.97	13.31	nan
Contig35358	677	0.465288035451	452	0.455752212389	225	0.484444444444	16	46.67	50.88	40.27	48.44	49.00	48.39	23.57	23.62	0.27
Contig23834	1146	0.51832460733	764	0.486910994764	382	0.581151832461	98	51.83	56.81	40.58	58.12	53.95	54.47	27.13	27.70	0.21
Contig17294	1674	0.450418160096	1116	0.462365591398	558	0.426523297491	65	45.04	55.56	36.92	42.65	52.78	54.57	27.43	27.95	0.21
Contig17295	488	0.444672131148	326	0.478527607362	162	0.376543209877	26	44.65	52.76	42.94	37.65	44.24	47.25	21.74	22.85	0.37
Contig17292	591	0.485617597293	394	0.46192893401	197	0.532994923858	29	48.56	50.76	41.62	53.30	50.58	52.01	24.01	23.65	0.32
Contig23833	1410	0.453191489362	940	0.482978723404	470	0.393617021277	34	45.32	54.68	41.91	39.36	50.11	52.11	24.22	25.45	0.26
Contig17291	2556	0.471830985915	1704	0.508802816901	852	0.397887323944	24	47.18	57.04	44.72	39.79	51.82	53.99	25.27	27.22	0.20
Contig15838	810	0.434567901235	540	0.442592592593	270	0.418518518519	30	43.46	42.96	45.56	41.85	47.96	51.06	26.16	26.88	0.26
Contig41930	414	0.434782608696	276	0.434782608696	138	0.434782608696	31	43.48	48.55	38.41	43.48	42.11	40.92	19.18	19.41	0.39
Contig15833	678	0.533923303835	452	0.526548672566	226	0.548672566372	172	53.39	56.64	48.67	54.87	50.89	50.55	26.48	26.47	0.25
Contig15834	1332	0.486486486486	888	0.454954954955	444	0.54954954955	20	48.65	53.38	37.61	54.95	53.16	54.44	27.34	27.78	0.22
Contig15835	1575	0.476825396825	1050	0.41619047619	525	0.598095238095	21	47.68	55.62	27.62	59.81	50.54	52.16	24.77	25.25	0.28
Contig15836	1345	0.525650557621	897	0.569676700111	448	0.4375	19	52.60	66.59	47.32	43.75	50.91	52.48	25.82	27.09	0.24
Contig15837	3747	0.463570856685	2498	0.440752602082	1249	0.509207365893	36	46.36	52.20	35.95	50.92	55.23	55.39	27.43	27.27	0.24
Contig7479	927	0.463861920173	618	0.495145631068	309	0.401294498382	84	46.39	56.96	42.07	40.13	51.81	53.61	27.81	28.46	0.19
Contig46032	462	0.437229437229	308	0.461038961039	154	0.38961038961	16	43.72	37.01	55.19	38.96	38.87	44.57	18.96	20.50	0.38
