loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5	GCcorrected_expression
Contig100021	213	0.431924882629	142	0.485915492958	71	0.323943661972	14	43.19	45.07	52.11	32.39	38.02	40.47	16.16	18.62	nan	nan	nan	nan	nan	nan	nan	-14.6779671489623
Contig10003	390	0.387179487179	260	0.426923076923	130	0.307692307692	19	38.72	53.08	32.31	30.77	40.42	43.46	19.03	19.38	0.41	nan	nan	nan	nan	nan	nan	-8.29738196147438
Contig100033	612	0.403594771242	408	0.450980392157	204	0.308823529412	37	40.36	48.53	41.67	30.88	44.22	49.04	22.51	25.92	0.3	nan	nan	nan	nan	nan	nan	8.6318958297669
Contig100067	453	0.415011037528	302	0.430463576159	151	0.384105960265	20	41.5	49.67	36.42	38.41	42.05	45.61	19.2	21.74	0.37	nan	nan	nan	nan	nan	nan	-7.50292355169468
Contig10007	552	0.41847826087	368	0.453804347826	184	0.347826086957	19	41.85	44.57	46.2	34.78	47.79	51.3	24.29	25.71	0.3	nan	nan	nan	nan	nan	nan	-9.45319024371398
Contig100086	1167	0.443016281063	778	0.488431876607	389	0.352185089974	72	44.3	55.27	42.42	35.22	48.26	52.42	21.85	25.96	0.2	nan	nan	nan	nan	nan	nan	43.3979010139538
Contig100093	732	0.411202185792	488	0.438524590164	244	0.356557377049	24	41.12	47.13	40.57	35.66	48.21	51.56	24.94	25.54	0.26	nan	nan	nan	nan	nan	nan	-3.89607603103696
Contig1001	249	0.325301204819	166	0.301204819277	83	0.373493975904	42	32.53	34.94	25.3	37.35	35.38	35.89	12	11.18	nan	nan	nan	nan	nan	nan	nan	20.4449642831243
Contig10015	318	0.396226415094	212	0.433962264151	106	0.320754716981	44	39.62	51.89	34.91	32.08	38.56	42.56	17.08	21.22	0.19	nan	nan	nan	nan	nan	nan	16.3162847353476
Contig100166	594	0.454545454545	396	0.525252525253	198	0.313131313131	64	45.45	71.21	33.84	31.31	40.86	44.38	20.43	24.47	0.26	nan	nan	nan	nan	nan	nan	36.0997737278459
Contig100188	933	0.439442658092	622	0.508038585209	311	0.302250803859	32	43.94	57.88	43.73	30.23	43.7	50.3	21.68	26.42	0.26	956	0.317991631799	956	0.317991631799	nan	nan	3.90892701369955
Contig100206	303	0.392739273927	202	0.391089108911	101	0.39603960396	22	39.27	38.61	39.6	39.6	42.64	47.45	20.67	22.29	0.23	nan	nan	nan	nan	nan	nan	-2.66232753816769
Contig100209	541	0.380776340111	361	0.429362880886	180	0.283333333333	20	38.15	51.38	34.44	28.33	41.43	50.55	21.9	26.27	0.25	nan	nan	nan	nan	nan	nan	-7.44178262066451
Contig100211	666	0.394894894895	444	0.434684684685	222	0.315315315315	21	39.49	47.3	39.64	31.53	43.71	50.16	20.72	25.73	0.28	nan	nan	nan	nan	nan	nan	-6.71884264918625
Contig10022	324	0.305555555556	216	0.310185185185	108	0.296296296296	19	30.56	36.11	25.93	29.63	38.37	42.94	15	18.69	0.31	116	0.310344827586	116	0.310344827586	nan	nan	-2.60004336161861
Contig100256	495	0.319191919192	330	0.312121212121	165	0.333333333333	13	31.92	35.76	26.67	33.33	42.74	49.6	19.04	21.58	0.3	nan	nan	nan	nan	nan	nan	-8.61743721355905
Contig100262	574	0.376306620209	383	0.420365535248	191	0.287958115183	20	37.7	46.88	37.17	28.8	41.54	48.88	19.81	24.78	0.3	nan	nan	nan	nan	nan	nan	-6.85181692652855
Contig100300	282	0.375886524823	188	0.377659574468	94	0.372340425532	15	37.59	44.68	30.85	37.23	37.42	41.28	18.19	20.38	nan	nan	nan	nan	nan	nan	nan	-8.82168029660912
Contig10031	201	0.293532338308	134	0.298507462687	67	0.283582089552	33	29.35	37.31	22.39	28.36	33.48	37.52	16.9	19.79	nan	4072	0.318025540275	178	0.359550561798	3894	0.316127375449	11.447028085203
Contig100323	237	0.455696202532	158	0.506329113924	79	0.354430379747	15	45.57	62.03	39.24	35.44	37.38	39.04	16.38	17.34	nan	nan	nan	nan	nan	nan	nan	-13.1235608333719
Contig100327	218	0.380733944954	146	0.404109589041	72	0.333333333333	16	38.43	53.42	27.4	33.33	42.41	45.54	21.88	23.43	nan	nan	nan	nan	nan	nan	nan	-9.64264531813621
Contig100378	318	0.418238993711	212	0.452830188679	106	0.349056603774	23	41.82	50.94	39.62	34.91	42.95	46.8	19.84	21.91	0.36	nan	nan	nan	nan	nan	nan	-5.42415453647433
Contig100382	429	0.445221445221	286	0.48951048951	143	0.356643356643	24	44.52	59.44	38.46	35.66	42.07	44.34	21.24	24.05	0.37	nan	nan	nan	nan	nan	nan	-4.56869363461584
Contig10043	270	0.374074074074	180	0.388888888889	90	0.344444444444	39	37.41	47.78	30	34.44	34.89	40.65	15.87	18.31	nan	nan	nan	nan	nan	nan	nan	14.4844961892111
Contig100434	326	0.389570552147	218	0.417431192661	108	0.333333333333	16	39.2	48.62	34.86	33.33	39.85	43.14	18.24	21.06	0.36	nan	nan	nan	nan	nan	nan	-10.6376129805489
Contig100463	687	0.420669577875	458	0.458515283843	229	0.344978165939	17	42.07	57.64	34.06	34.5	43.64	46.51	20.18	22.92	0.39	nan	nan	nan	nan	nan	nan	-11.5978420494438
Contig100496	852	0.447183098592	568	0.503521126761	284	0.334507042254	18	44.72	55.99	44.72	33.45	47.68	50.45	22.61	26.85	0.24	nan	nan	nan	nan	nan	nan	-10.1821785106224
Contig100556	373	0.439678284182	249	0.510040160643	124	0.298387096774	15	44.09	60.8	41.13	29.84	43.43	47.96	20.43	24.71	0.24	nan	nan	nan	nan	nan	nan	-13.0561193855306
Contig100567	481	0.4158004158	321	0.454828660436	160	0.3375	17	41.67	53.42	37.5	33.75	42.8	50.38	19.61	24.11	0.32	nan	nan	nan	nan	nan	nan	-11.4835790439232
Contig100615	234	0.440170940171	156	0.519230769231	78	0.282051282051	14	44.02	52.56	51.28	28.21	40.16	40.36	13.26	17.22	nan	nan	nan	nan	nan	nan	nan	-13.9386158131353
Contig100616	222	0.405405405405	148	0.445945945946	74	0.324324324324	13	40.54	47.3	41.89	32.43	38.52	40.61	17.18	18	nan	nan	nan	nan	nan	nan	nan	-15.2019804807559
Contig10065	453	0.388520971302	302	0.427152317881	151	0.311258278146	37	38.85	53.64	31.79	31.13	44.1	49.65	25.4	27.12	0.2	nan	nan	nan	nan	nan	nan	9.68845855524937
Contig100660	811	0.346485819975	541	0.384473197782	270	0.27037037037	27	34.69	39.48	37.41	27.04	42.05	52.01	19.64	25.25	0.26	106	0.264150943396	nan	nan	106	0.264150943396	2.76840159122131
Contig100671	306	0.392156862745	204	0.387254901961	102	0.401960784314	17	39.22	48.04	29.41	40.2	42.51	42.4	20.78	20.47	0.18	nan	nan	nan	nan	nan	nan	-7.40877340619924
Contig10068	258	0.531007751938	172	0.488372093023	86	0.616279069767	18	53.1	52.33	45.35	61.63	35.09	36.17	17.67	16.11	nan	28	0.0714285714286	nan	nan	28	0.0714285714286	-10.6039399838953
Contig10069	210	0.371428571429	140	0.378571428571	70	0.357142857143	17	37.14	52.86	22.86	35.71	36.12	39.38	16.65	17.86	nan	nan	nan	nan	nan	nan	nan	-6.87455910061995
Contig10071	257	0.400778210117	172	0.459302325581	85	0.282352941176	15	40.39	52.33	39.53	28.24	36.5	40.37	15.16	20.09	nan	nan	nan	nan	nan	nan	nan	-13.6239300886194
Contig100724	204	0.416666666667	136	0.463235294118	68	0.323529411765	11	41.67	52.94	39.71	32.35	34.54	36.32	17.33	21.12	nan	nan	nan	nan	nan	nan	nan	-17.7531563662178
Contig100742	681	0.381791483113	454	0.418502202643	227	0.308370044053	57	38.18	45.37	38.33	30.84	44.11	48.38	22.12	23.3	0.33	nan	nan	nan	nan	nan	nan	30.2837963369895
Contig10075	236	0.449152542373	158	0.449367088608	78	0.448717948718	60	45.3	49.37	40.51	44.87	39.17	41.54	16.25	15.51	nan	nan	nan	nan	nan	nan	nan	31.6824422528227
Contig100752	230	0.382608695652	154	0.409090909091	76	0.328947368421	18	38.6	42.86	38.96	32.89	36.43	38.48	16.55	17.89	nan	nan	nan	nan	nan	nan	nan	-8.02845747157258
Contig100753	1743	0.389558232932	1162	0.427710843373	581	0.313253012048	41	38.96	46.3	39.24	31.33	47.1	54.44	22.08	26.77	0.24	nan	nan	nan	nan	nan	nan	13.6544866674245
Contig100765	241	0.373443983402	161	0.403726708075	80	0.3125	9	37.5	50.62	30	31.25	35.18	38.39	16.62	15.36	nan	nan	nan	nan	nan	nan	nan	-16.6125098959987
Contig100774	212	0.433962264151	142	0.471830985915	70	0.357142857143	20	43.81	57.75	36.62	35.71	37.77	41.08	18.04	19.6	nan	nan	nan	nan	nan	nan	nan	-8.92355568814165
Contig100811	282	0.414893617021	188	0.425531914894	94	0.393617021277	14	41.49	47.87	37.23	39.36	41.46	42.75	16.17	17.75	nan	nan	nan	nan	nan	nan	nan	-13.2089482646151
Contig10082	377	0.389920424403	252	0.388888888889	125	0.392	21	39.2	42.06	35.71	39.2	45.76	46.49	20.01	21.15	0.36	nan	nan	nan	nan	nan	nan	-3.51550381078889
Contig100820	289	0.321799307958	193	0.341968911917	96	0.28125	13	32.29	37.11	31.25	28.12	37.46	42.53	17.03	17.17	nan	nan	nan	nan	nan	nan	nan	-9.23153062403449
Contig100821	591	0.421319796954	394	0.444162436548	197	0.375634517766	23	42.13	52.28	36.55	37.56	48.06	51.98	25.28	27.38	0.22	158	0.278481012658	158	0.278481012658	nan	nan	-5.13546314331601
Contig100826	357	0.420168067227	238	0.449579831933	119	0.361344537815	15	42.02	47.9	42.02	36.13	45.32	49.98	22.32	25.4	0.25	nan	nan	nan	nan	nan	nan	-13.3243385198743
Contig100847	258	0.383720930233	172	0.360465116279	86	0.43023255814	67	38.37	40.7	31.4	43.02	37.56	39.42	14.56	15.59	nan	92	0.391304347826	nan	nan	92	0.391304347826	44.061039857858
Contig100856	282	0.36524822695	188	0.367021276596	94	0.36170212766	36	36.52	36.17	37.23	36.17	42.01	45.5	18.26	18.5	nan	nan	nan	nan	nan	nan	nan	12.7500758246133
Contig10086	244	0.385245901639	163	0.386503067485	81	0.382716049383	26	38.68	36.59	40.74	38.27	41.47	44.78	19.77	20.05	nan	212	0.254716981132	nan	nan	212	0.254716981132	1.63967507929224
Contig100878	1404	0.40811965812	936	0.438034188034	468	0.348290598291	59	40.81	47.86	39.74	34.83	50.61	55.72	24.67	28.31	0.25	690	0.344927536232	690	0.344927536232	nan	nan	31.1258203493058
Contig100894	1170	0.42905982906	780	0.483333333333	390	0.320512820513	68	42.91	51.03	45.64	32.05	45.52	52.25	21.91	26.92	0.23	436	0.435779816514	436	0.435779816514	nan	nan	39.2496215894243
Contig1009	219	0.438356164384	146	0.5	73	0.315068493151	53	43.84	60.27	39.73	31.51	36	38.57	15.03	20.01	nan	nan	nan	nan	nan	nan	nan	24.7351236217477
Contig100926	321	0.389408099688	214	0.443925233645	107	0.280373831776	11	38.94	42.99	45.79	28.04	36.93	42.46	17.81	19.23	0.32	nan	nan	nan	nan	nan	nan	-17.1262211529288
Contig100932	924	0.390692640693	616	0.410714285714	308	0.350649350649	26	39.07	49.35	32.79	35.06	45.3	48.21	21.65	22.69	0.28	nan	nan	nan	nan	nan	nan	-0.149581307734366
Contig100941	609	0.408866995074	406	0.470443349754	203	0.285714285714	22	40.89	54.68	39.41	28.57	44.98	50.48	20.88	25.18	0.29	nan	nan	nan	nan	nan	nan	-6.91464455790539
Contig100958	861	0.437862950058	574	0.463414634146	287	0.386759581882	63	43.79	54.36	38.33	38.68	45.34	48.35	23.12	24.82	0.31	192	0.416666666667	nan	nan	192	0.416666666667	34.241261929259
Contig100964	302	0.397350993377	202	0.415841584158	100	0.36	21	40	53.47	29.7	36	40.55	42.93	20.84	21.54	nan	nan	nan	nan	nan	nan	nan	-5.52084745398821
Contig100980	204	0.392156862745	136	0.448529411765	68	0.279411764706	12	39.22	38.24	51.47	27.94	35	38.81	17.48	20.54	nan	nan	nan	nan	nan	nan	nan	-16.2904585268293
Contig101000	852	0.406103286385	568	0.415492957746	284	0.387323943662	24	40.61	43.31	39.79	38.73	48.49	50.67	24.24	25.4	0.24	nan	nan	nan	nan	nan	nan	-2.49529887537855
Contig101001	351	0.461538461538	234	0.534188034188	117	0.316239316239	16	46.15	59.83	47.01	31.62	42.18	45.94	19.58	25.18	0.29	nan	nan	nan	nan	nan	nan	-11.9002173121853
Contig101010	480	0.385416666667	320	0.4	160	0.35625	52	38.54	45	35	35.62	43.13	45.24	22.22	24.2	0.35	704	0.291193181818	532	0.336466165414	172	0.151162790698	26.6804882577544
Contig101011	1266	0.438388625592	844	0.489336492891	422	0.336492890995	24	43.84	55.69	42.18	33.65	48.82	53.73	24.34	27.15	0.2	270	0.314814814815	270	0.314814814815	nan	nan	-4.57410225641181
Contig101023	204	0.392156862745	136	0.397058823529	68	0.382352941176	13	39.22	41.18	38.24	38.24	38.67	40.72	14.15	15.59	nan	nan	nan	nan	nan	nan	nan	-12.0925597253974
Contig101089	1179	0.425784563189	786	0.458015267176	393	0.361323155216	53	42.58	49.36	42.24	36.13	50.08	54.88	25.22	28.16	0.21	nan	nan	nan	nan	nan	nan	24.4185245308551
Contig101103	612	0.454248366013	408	0.477941176471	204	0.406862745098	24	45.42	52.45	43.14	40.69	49.26	51.28	26.15	27.09	0.22	nan	nan	nan	nan	nan	nan	-4.87032434877888
Contig10113	250	0.364	167	0.377245508982	83	0.33734939759	33	36.55	44.05	31.33	33.73	35.26	38.75	16.71	16.83	nan	nan	nan	nan	nan	nan	nan	9.20212963730318
Contig101137	216	0.384259259259	144	0.409722222222	72	0.333333333333	24	38.43	44.44	37.5	33.33	35.45	37.4	16.08	18.11	nan	nan	nan	nan	nan	nan	nan	-2.07592900764435
Contig101158	300	0.373333333333	200	0.44	100	0.24	17	37.33	52	36	24	36.55	40.15	17.67	19.83	nan	nan	nan	nan	nan	nan	nan	-10.9609956990784
Contig10119	370	0.397297297297	247	0.433198380567	123	0.325203252033	21	39.84	46.77	39.84	32.52	43.21	48.01	20.66	22.93	0.29	nan	nan	nan	nan	nan	nan	-6.64582134129625
Contig101218	351	0.435897435897	234	0.444444444444	117	0.418803418803	26	43.59	49.57	39.32	41.88	36.26	46.38	18.76	24.66	0.19	nan	nan	nan	nan	nan	nan	-2.14632402331188
Contig10122	241	0.394190871369	161	0.403726708075	80	0.375	13	39.58	49.38	31.25	37.5	32.75	40.03	13.24	13.74	nan	nan	nan	nan	nan	nan	nan	-12.6125098959987
Contig10123	255	0.392156862745	170	0.476470588235	85	0.223529411765	27	39.22	56.47	38.82	22.35	36.54	42.28	17.33	21.37	nan	nan	nan	nan	nan	nan	nan	-1.8928460990759
Contig101291	723	0.402489626556	482	0.406639004149	241	0.394190871369	36	40.25	47.72	33.61	39.42	46.13	49.48	23.29	24.53	0.31	402	0.400497512438	176	0.323863636364	226	0.46017699115	10.1594892778586
Contig101294	210	0.347619047619	140	0.335714285714	70	0.371428571429	11	34.76	35.71	31.43	37.14	36.43	42.41	14.87	15.18	nan	nan	nan	nan	nan	nan	nan	-11.0489677593894
Contig101349	432	0.381944444444	288	0.40625	144	0.333333333333	18	38.19	49.31	31.94	33.33	41.01	45.56	17.87	20.18	0.44	nan	nan	nan	nan	nan	nan	-7.81027708300731
Contig101380	210	0.385714285714	140	0.378571428571	70	0.4	14	38.57	44.29	31.43	40	39.04	38.94	17.41	16.45	nan	nan	nan	nan	nan	nan	nan	-9.87455910061995
Contig101392	630	0.385714285714	420	0.369047619048	210	0.419047619048	24	38.57	44.76	29.05	41.9	49.09	49.66	23.62	24.17	0.28	nan	nan	nan	nan	nan	nan	0.647581020534862
Contig101396	647	0.428129829985	432	0.467592592593	215	0.348837209302	30	42.95	57.87	35.65	34.88	44.07	48.8	21.18	23.51	0.33	nan	nan	nan	nan	nan	nan	1.12999813632689
Contig101422	225	0.386666666667	150	0.413333333333	75	0.333333333333	10	38.67	36	46.67	33.33	35.87	38.06	16.79	18.76	nan	nan	nan	nan	nan	nan	nan	-16.3383785827991
Contig101435	396	0.421717171717	264	0.42803030303	132	0.409090909091	22	42.17	43.94	41.67	40.91	46.13	46.77	22.17	22.32	0.36	nan	nan	nan	nan	nan	nan	-5.3645965360014
Contig101446	428	0.397196261682	286	0.402097902098	142	0.387323943662	23	39.91	46.85	33.57	38.73	46.49	48.67	23.34	24.53	0.27	nan	nan	nan	nan	nan	nan	-2.48418713735443
Contig101477	216	0.421296296296	144	0.479166666667	72	0.305555555556	13	42.13	56.94	38.89	30.56	38.83	43.41	18.1	20.01	nan	nan	nan	nan	nan	nan	nan	-15.8478080032373
Contig10148	444	0.398648648649	296	0.429054054054	148	0.337837837838	22	39.86	52.03	33.78	33.78	43.69	46.27	21.77	21.89	0.32	856	0.366822429907	856	0.366822429907	nan	nan	-5.42421339994053
Contig101540	691	0.360347322721	461	0.41431670282	230	0.252173913043	18	36.09	57.14	25.65	25.22	42.18	49.61	21.1	23.14	0.3	nan	nan	nan	nan	nan	nan	-8.40947533327676
Contig101541	210	0.380952380952	140	0.392857142857	70	0.357142857143	14	38.1	44.29	34.29	35.71	36.91	40.31	18.25	20.05	nan	nan	nan	nan	nan	nan	nan	-10.7840492567869
Contig101589	525	0.462857142857	350	0.557142857143	175	0.274285714286	20	46.29	68	43.43	27.43	42.54	45.81	19.19	23.56	0.33	nan	nan	nan	nan	nan	nan	-8.21765765703319
Contig101603	200	0.41	134	0.462686567164	66	0.30303030303	14	41.41	52.24	40.3	30.3	38.54	43.27	18.05	22.61	nan	nan	nan	nan	nan	nan	nan	-14.7358102034656
Contig10161	267	0.441947565543	178	0.477528089888	89	0.370786516854	28	44.19	49.44	46.07	37.08	40	43.25	19.27	21.76	nan	112	0.232142857143	112	0.232142857143	nan	nan	-0.877167672336391
Contig10163	348	0.422413793103	232	0.469827586207	116	0.327586206897	29	42.24	54.31	39.66	32.76	43.29	46.16	20.41	22.36	0.34	nan	nan	nan	nan	nan	nan	0.0922012830860979
Contig101632	1155	0.390476190476	770	0.405194805195	385	0.361038961039	62	39.05	46.75	34.29	36.1	47.85	52.38	22.71	26.14	0.26	104	0.25	104	0.25	nan	nan	36.2721393174156
Contig101638	245	0.485714285714	164	0.548780487805	81	0.358024691358	16	48.97	58.54	51.22	35.8	41.2	44.37	20.93	21.56	nan	nan	nan	nan	nan	nan	nan	-12.0485262564244
Contig101641	549	0.391621129326	366	0.445355191257	183	0.284153005464	22	39.16	48.63	40.44	28.42	39.92	45.39	19.83	25.27	0.31	nan	nan	nan	nan	nan	nan	-6.18050123762142
Contig101663	252	0.376984126984	168	0.404761904762	84	0.321428571429	15	37.7	52.38	28.57	32.14	37.22	40.51	14.86	16.89	nan	nan	nan	nan	nan	nan	nan	-10.693911096041
Contig101667	234	0.42735042735	156	0.461538461538	78	0.358974358974	14	42.74	35.9	56.41	35.9	35.53	36.74	14.45	15.13	nan	nan	nan	nan	nan	nan	nan	-14.6984794469734
Contig101693	415	0.489156626506	277	0.469314079422	138	0.528985507246	20	49.03	56.12	37.68	52.9	39.36	41.92	21.85	23.33	0.26	nan	nan	nan	nan	nan	nan	-8.90083780604981
Contig10170	285	0.371929824561	190	0.4	95	0.315789473684	19	37.19	45.26	34.74	31.58	32.86	35.59	16.09	17.41	nan	nan	nan	nan	nan	nan	nan	-6.31951174224561
Contig101712	260	0.438461538462	174	0.477011494253	86	0.360465116279	17	44.19	49.43	45.98	36.05	38.76	41.2	21.18	24.16	nan	nan	nan	nan	nan	nan	nan	-11.8851651457755
Contig101727	243	0.390946502058	162	0.376543209877	81	0.41975308642	12	39.09	43.21	32.1	41.98	33.42	35.6	12.14	12.41	nan	nan	nan	nan	nan	nan	nan	-11.7577744730582
Contig10173	255	0.376470588235	170	0.458823529412	85	0.211764705882	55	37.65	45.88	45.88	21.18	41.08	49.76	20.88	24.28	nan	nan	nan	nan	nan	nan	nan	26.3919793534711
Contig101745	412	0.468446601942	275	0.483636363636	137	0.43795620438	16	46.96	52.9	43.8	43.8	44.27	46.99	20.71	21.24	0.38	nan	nan	nan	nan	nan	nan	-12.7422650498628
Contig10176	216	0.37962962963	144	0.430555555556	72	0.277777777778	31	37.96	47.22	38.89	27.78	38.9	41.56	17.23	18.93	nan	nan	nan	nan	nan	nan	nan	3.49206800953202
Contig101777	387	0.410852713178	258	0.434108527132	129	0.364341085271	15	41.09	44.96	41.86	36.43	40.26	44.42	17.22	19.7	0.39	nan	nan	nan	nan	nan	nan	-12.6908812118559
Contig101778	487	0.390143737166	325	0.393846153846	162	0.382716049383	44	39.09	45.4	33.33	38.27	42.31	43.8	19.5	19.61	0.4	nan	nan	nan	nan	nan	nan	19.1455432242693
Contig101785	198	0.414141414141	132	0.462121212121	66	0.318181818182	21	41.41	51.52	40.91	31.82	40	45.27	20.17	21.93	nan	nan	nan	nan	nan	nan	nan	-7.71757606525311
Contig101811	311	0.366559485531	208	0.379807692308	103	0.339805825243	18	36.89	41.35	34.62	33.98	40.97	45.68	18.61	19.35	0.41	nan	nan	nan	nan	nan	nan	-5.94722727801864
Contig101819	255	0.427450980392	170	0.464705882353	85	0.352941176471	47	42.75	54.12	38.82	35.29	42.38	44.37	20.23	21.06	nan	412	0.354368932039	324	0.327160493827	88	0.454545454545	18.2026284751799
Contig101831	413	0.416464891041	276	0.445652173913	137	0.357664233577	17	41.85	47.1	42.03	35.77	42.57	46.25	21.21	23.43	0.31	nan	nan	nan	nan	nan	nan	-11.1913641677658
Contig101832	269	0.408921933086	180	0.427777777778	89	0.370786516854	69	41.2	50	35.56	37.08	38.57	41.16	16.65	20.52	nan	nan	nan	nan	nan	nan	nan	41.6504669177425
Contig101871	294	0.418367346939	196	0.44387755102	98	0.367346938776	16	41.84	51.02	37.76	36.73	39.61	42.12	19.51	20.56	nan	nan	nan	nan	nan	nan	nan	-12.1243513465675
Contig101902	223	0.381165919283	149	0.395973154362	74	0.351351351351	17	38.29	48	31.08	35.14	35.09	35.66	16.19	18.03	nan	nan	nan	nan	nan	nan	nan	-8.01069151572867
Contig10193	933	0.416934619507	622	0.474276527331	311	0.302250803859	23	41.69	52.09	42.77	30.23	45.01	51.7	23.04	24.96	0.29	302	0.403973509934	302	0.403973509934	nan	nan	-5.91614965803804
Contig101934	234	0.358974358974	156	0.384615384615	78	0.307692307692	14	35.9	38.46	38.46	30.77	40.02	43.9	21.12	24.11	nan	nan	nan	nan	nan	nan	nan	-10.2405165370571
Contig101936	363	0.424242424242	242	0.45041322314	121	0.371900826446	17	42.42	55.37	34.71	37.19	41.56	43.56	19.11	20.82	0.41	nan	nan	nan	nan	nan	nan	-11.3505501950031
Contig101939	363	0.443526170799	242	0.48347107438	121	0.363636363636	18	44.35	57.02	39.67	36.36	45.36	47.36	23.2	24.11	0.27	nan	nan	nan	nan	nan	nan	-10.7467048593733
Contig101941	251	0.414342629482	168	0.428571428571	83	0.385542168675	13	41.77	54.76	30.95	38.55	35.76	36.95	16.82	15.43	nan	nan	nan	nan	nan	nan	nan	-14.3963766305637
Contig101954	324	0.404320987654	216	0.439814814815	108	0.333333333333	62	40.43	45.37	42.59	33.33	39.14	44.72	18.11	22.33	0.36	286	0.356643356643	286	0.356643356643	nan	nan	34.0470833738605
Contig101957	291	0.426116838488	194	0.417525773196	97	0.443298969072	18	42.61	51.55	31.96	44.33	34.78	37.9	14.85	15.9	nan	nan	nan	nan	nan	nan	nan	-8.6445619739308
Contig101980	873	0.39175257732	582	0.379725085911	291	0.415807560137	30	39.18	43.99	31.96	41.58	46.69	48.5	22.83	23.89	0.31	416	0.389423076923	326	0.411042944785	90	0.311111111111	6.05766341968835
Contig10200	1166	0.403087478559	778	0.412596401028	388	0.384020618557	21	40.38	48.07	34.45	38.4	48.89	53.45	23.41	27.19	0.21	nan	nan	nan	nan	nan	nan	-5.28563188920739
Contig102011	675	0.395555555556	450	0.437777777778	225	0.311111111111	60	39.56	50.67	36.89	31.11	42.24	47.17	19.66	23.65	0.24	460	0.3	330	0.309090909091	130	0.276923076923	32.1373417932125
Contig102039	477	0.383647798742	318	0.440251572327	159	0.270440251572	51	38.36	51.57	36.48	27.04	42.57	48.68	20.8	23.94	0.27	112	0.214285714286	112	0.214285714286	nan	nan	23.0280565483162
Contig102046	267	0.449438202247	178	0.544943820225	89	0.258426966292	43	44.94	52.81	56.18	25.84	34.01	40.08	17.94	20.89	nan	1012	0.357707509881	892	0.367713004484	120	0.283333333333	15.0084560360581
Contig102048	2425	0.401237113402	1617	0.421768707483	808	0.360148514851	30	40.14	49.94	34.41	36.01	52.15	56.35	27.26	29.21	0.13	nan	nan	nan	nan	nan	nan	3.04777130844119
Contig102057	522	0.425287356322	348	0.42816091954	174	0.419540229885	17	42.53	51.15	34.48	41.95	45.33	47.22	21.6	23.67	0.28	nan	nan	nan	nan	nan	nan	-10.3723246184498
Contig10206	741	0.443994601889	494	0.485829959514	247	0.36032388664	22	44.4	54.66	42.51	36.03	46.71	48.83	21.37	22.38	0.36	456	0.245614035088	456	0.245614035088	nan	nan	-6.68047062096749
Contig102066	255	0.435294117647	170	0.494117647059	85	0.317647058824	28	43.53	65.88	32.94	31.76	35.29	41.04	17.43	18.77	nan	164	0.30487804878	164	0.30487804878	nan	nan	-0.426454167962142
Contig102075	374	0.403743315508	250	0.48	124	0.25	19	40.59	57.6	38.4	25	39.39	47.02	18.38	18.29	0.23	nan	nan	nan	nan	nan	nan	-9.83073173935569
