loci	Ltot	GCtot	L12	GC12	L3	GC3	nReads	GC_cubt	GC1_cubt	GC2_cubt	GC3_cubt	ENc_cubt	ENcP_cubt	ENcFDS_cubt	ENcPFDS_cubt	Um_cubt
Contig539860	270	0.407407407407	180	0.45	90	0.322222222222	16	40.74	47.78	42.22	32.22	39.65	39.86	21.20	20.69	nan
Contig539863	204	0.392156862745	136	0.397058823529	68	0.382352941176	28	39.22	48.53	30.88	38.24	33.95	35.06	14.92	15.56	nan
Contig534233	235	0.489361702128	157	0.547770700637	78	0.371794871795	60	49.15	45.57	64.10	37.18	39.86	43.25	21.87	24.29	nan
Contig485745	329	0.434650455927	220	0.495454545455	109	0.311926605505	55	43.73	52.73	46.36	31.19	42.38	47.03	20.11	24.42	0.23
Contig540720	234	0.423076923077	156	0.461538461538	78	0.346153846154	13	42.31	53.85	38.46	34.62	37.11	39.29	18.96	20.45	nan
Contig29707	228	0.416666666667	152	0.447368421053	76	0.355263157895	16	41.67	53.95	35.53	35.53	38.46	38.38	21.19	19.15	nan
Contig29703	513	0.391812865497	342	0.444444444444	171	0.286549707602	22	39.18	50.88	38.01	28.65	41.04	48.10	18.61	24.61	0.28
Contig285781	675	0.447407407407	450	0.44	225	0.462222222222	41	44.74	51.11	36.89	46.22	50.75	52.09	25.63	26.30	0.25
Contig38978	219	0.465753424658	146	0.554794520548	73	0.287671232877	20	46.58	61.64	49.32	28.77	32.21	36.42	14.14	15.71	nan
Contig147440	402	0.440298507463	268	0.444029850746	134	0.432835820896	22	44.03	53.73	35.07	43.28	42.31	43.38	20.63	20.17	0.32
Contig502223	333	0.351351351351	222	0.418918918919	111	0.216216216216	21	35.14	43.24	40.54	21.62	36.74	43.77	19.28	23.84	0.28
Contig518681	260	0.392307692308	174	0.385057471264	86	0.406976744186	12	39.53	43.68	33.33	40.70	33.75	35.30	12.46	14.46	nan
Contig38976	402	0.427860696517	268	0.462686567164	134	0.358208955224	27	42.79	40.30	52.24	35.82	44.93	49.07	22.34	22.67	0.35
Contig482306	375	0.44	250	0.46	125	0.4	44	44.00	55.20	36.80	40.00	45.43	45.57	22.22	22.31	0.29
Contig178951	234	0.354700854701	156	0.365384615385	78	0.333333333333	17	35.47	43.59	29.49	33.33	39.39	39.34	18.58	16.49	nan
Contig35748	477	0.392033542977	318	0.430817610063	159	0.314465408805	25	39.20	49.06	37.11	31.45	41.16	45.22	19.19	21.10	0.42
Contig35749	371	0.393530997305	248	0.395161290323	123	0.390243902439	22	39.57	44.35	34.68	39.02	40.71	44.54	20.34	21.41	0.39
Contig284670	654	0.412844036697	436	0.463302752294	218	0.311926605505	30	41.28	52.29	40.37	31.19	46.64	54.00	24.53	28.41	0.19
Contig157235	414	0.487922705314	276	0.460144927536	138	0.54347826087	38	48.79	43.48	48.55	54.35	44.29	45.31	21.66	21.27	0.28
Contig12807	404	0.462871287129	270	0.451851851852	134	0.485074626866	30	46.52	52.59	37.78	48.51	46.24	45.39	25.22	24.74	0.26
Contig35745	521	0.420345489443	348	0.399425287356	173	0.462427745665	18	42.20	42.53	37.36	46.24	46.21	47.32	23.16	23.73	0.32
Contig18456	447	0.498881431767	298	0.406040268456	149	0.684563758389	34	49.89	46.31	34.90	68.46	42.22	45.85	19.67	22.24	0.31
Contig152494	891	0.401795735129	594	0.420875420875	297	0.363636363636	41	40.18	48.48	35.69	36.36	46.15	50.84	21.30	24.04	0.32
Contig10669	672	0.459821428571	448	0.473214285714	224	0.433035714286	28	45.98	51.34	43.30	43.30	51.24	51.59	25.74	25.83	0.24
Contig10667	756	0.494708994709	504	0.501984126984	252	0.480158730159	35	49.47	63.10	37.30	48.02	48.32	48.10	23.27	23.67	0.34
Contig10665	489	0.41717791411	326	0.41717791411	163	0.41717791411	26	41.72	49.69	33.74	41.72	41.20	42.55	17.73	17.43	0.40
Contig115205	279	0.523297491039	186	0.44623655914	93	0.677419354839	17	52.33	60.22	29.03	67.74	33.96	32.10	16.17	11.00	nan
Contig200157	247	0.425101214575	165	0.424242424242	82	0.426829268293	19	42.68	55.42	29.27	42.68	38.59	38.00	17.06	16.87	nan
Contig158392	239	0.338912133891	160	0.3375	79	0.341772151899	14	34.18	33.75	33.75	34.18	33.35	36.19	14.24	12.41	nan
Contig361895	467	0.396145610278	312	0.439102564103	155	0.309677419355	19	39.78	51.28	36.54	30.97	44.69	50.48	20.82	23.98	0.33
Contig311694	341	0.480938416422	228	0.5	113	0.442477876106	64	48.38	67.54	32.46	44.25	46.92	48.31	24.07	25.43	0.26
Contig464475	240	0.445833333333	160	0.46875	80	0.4	16	44.58	48.75	45.00	40.00	36.41	35.40	16.07	15.07	nan
Contig178803	252	0.357142857143	168	0.363095238095	84	0.345238095238	18	35.71	45.24	27.38	34.52	34.47	33.87	15.56	15.87	nan
Contig162911	231	0.372294372294	154	0.357142857143	77	0.402597402597	24	37.23	42.86	28.57	40.26	35.92	39.07	12.90	14.66	nan
Contig11134	212	0.424528301887	142	0.401408450704	70	0.471428571429	10	42.86	53.52	26.76	47.14	39.99	42.19	15.27	16.09	nan
Contig11137	612	0.406862745098	408	0.392156862745	204	0.436274509804	21	40.69	45.10	33.33	43.63	47.22	48.29	24.69	24.78	0.26
Contig345804	513	0.409356725146	342	0.438596491228	171	0.350877192982	47	40.94	49.12	38.60	35.09	43.75	46.81	18.90	22.69	0.34
Contig162914	256	0.39453125	171	0.397660818713	85	0.388235294118	15	39.61	50.00	29.41	38.82	39.57	41.25	18.07	17.95	nan
Contig497909	387	0.413436692506	258	0.445736434109	129	0.348837209302	24	41.34	51.16	37.98	34.88	42.95	45.42	20.94	20.62	0.40
Contig314408	218	0.449541284404	146	0.472602739726	72	0.402777777778	14	45.37	43.84	50.68	40.28	40.07	40.99	18.63	19.49	nan
