loci	Lutr	GCutr	Lutr3	GCutr3	Lutr5	GCutr5
Contig1863	384	0.330729166667	384	0.330729166667	nan	nan
Contig1861	nan	nan	nan	nan	nan	nan
Contig1867	360	0.358333333333	360	0.358333333333	nan	nan
Contig17412	nan	nan	nan	nan	nan	nan
Contig11743	nan	nan	nan	nan	nan	nan
Contig15588	nan	nan	nan	nan	nan	nan
Contig16125	242	0.322314049587	242	0.322314049587	nan	nan
Contig15610	nan	nan	nan	nan	nan	nan
Contig3893	nan	nan	nan	nan	nan	nan
Contig11213	nan	nan	nan	nan	nan	nan
Contig15615	nan	nan	nan	nan	nan	nan
Contig15344	190	0.226315789474	190	0.226315789474	nan	nan
Contig17554	nan	nan	nan	nan	nan	nan
Contig9445	nan	nan	nan	nan	nan	nan
Contig7731	nan	nan	nan	nan	nan	nan
Contig9447	nan	nan	nan	nan	nan	nan
Contig15349	nan	nan	nan	nan	nan	nan
Contig7601	nan	nan	nan	nan	nan	nan
Contig9440	nan	nan	nan	nan	nan	nan
Contig10865	nan	nan	nan	nan	nan	nan
Contig1866	nan	nan	nan	nan	nan	nan
Contig575	nan	nan	nan	nan	nan	nan
Contig574	nan	nan	nan	nan	nan	nan
Contig571	nan	nan	nan	nan	nan	nan
Contig19105	146	0.369863013699	146	0.369863013699	nan	nan
Contig1469	nan	nan	nan	nan	nan	nan
Contig572	nan	nan	nan	nan	nan	nan
Contig1467	106	0.283018867925	106	0.283018867925	nan	nan
Contig1466	326	0.328220858896	326	0.328220858896	nan	nan
Contig1465	522	0.367816091954	522	0.367816091954	nan	nan
Contig1464	nan	nan	nan	nan	nan	nan
Contig9283	nan	nan	nan	nan	nan	nan
Contig578	134	0.276119402985	134	0.276119402985	nan	nan
Contig1461	nan	nan	nan	nan	nan	nan
Contig1460	nan	nan	nan	nan	nan	nan
Contig1269	182	0.395604395604	182	0.395604395604	nan	nan
Contig15298	nan	nan	nan	nan	nan	nan
Contig3048	nan	nan	nan	nan	nan	nan
Contig10669	nan	nan	nan	nan	nan	nan
Contig1260	nan	nan	nan	nan	nan	nan
Contig18691	nan	nan	nan	nan	nan	nan
Contig1265	512	0.275390625	512	0.275390625	nan	nan
Contig1264	nan	nan	nan	nan	nan	nan
Contig1266	nan	nan	nan	nan	nan	nan
Contig10610	nan	nan	nan	nan	nan	nan
Contig18959	nan	nan	nan	nan	nan	nan
Contig8609	nan	nan	nan	nan	nan	nan
Contig15225	nan	nan	nan	nan	nan	nan
Contig11131	500	0.406	500	0.406	nan	nan
Contig12247	nan	nan	nan	nan	nan	nan
Contig3895	nan	nan	nan	nan	nan	nan
Contig16233	nan	nan	nan	nan	nan	nan
Contig20463	nan	nan	nan	nan	nan	nan
Contig11911	nan	nan	nan	nan	nan	nan
Contig2872	nan	nan	nan	nan	nan	nan
Contig16589	nan	nan	nan	nan	nan	nan
Contig11915	nan	nan	nan	nan	nan	nan
Contig5189	nan	nan	nan	nan	nan	nan
Contig2703	nan	nan	nan	nan	nan	nan
Contig16239	120	0.325	120	0.325	nan	nan
Contig3964	56	0.25	56	0.25	nan	nan
Contig8003	nan	nan	nan	nan	nan	nan
Contig8000	nan	nan	nan	nan	nan	nan
Contig8001	nan	nan	nan	nan	nan	nan
Contig409	120	0.241666666667	120	0.241666666667	nan	nan
Contig408	nan	nan	nan	nan	nan	nan
Contig20160	nan	nan	nan	nan	nan	nan
Contig7043	nan	nan	nan	nan	nan	nan
Contig3658	250	0.3	nan	nan	250	0.3
Contig401	406	0.310344827586	406	0.310344827586	nan	nan
Contig400	nan	nan	nan	nan	nan	nan
Contig403	418	0.303827751196	244	0.241803278689	174	0.390804597701
Contig402	62	0.306451612903	62	0.306451612903	nan	nan
Contig15908	nan	nan	nan	nan	nan	nan
Contig404	nan	nan	nan	nan	nan	nan
Contig5026	138	0.347826086957	138	0.347826086957	nan	nan
Contig8600	nan	nan	nan	nan	nan	nan
Contig12934	nan	nan	nan	nan	nan	nan
Contig19031	nan	nan	nan	nan	nan	nan
Contig8345	nan	nan	nan	nan	nan	nan
Contig12938	nan	nan	nan	nan	nan	nan
Contig11622	nan	nan	nan	nan	nan	nan
Contig1756	nan	nan	nan	nan	nan	nan
Contig4623	nan	nan	nan	nan	nan	nan
Contig148	nan	nan	nan	nan	nan	nan
Contig8603	nan	nan	nan	nan	nan	nan
